Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,2,2.2815,3.43193434175952,1.07663395749603,0.946414285606467,845,562.25,580.5,162,1046,668.798148148148,729,81
1,3,1.804075,2.5888477631085,1.01990150833745,0.946414285606467,605,388.185011709602,396,133,1124,704.644028103045,733,162
1,5,2.623725,3.77923881554251,1.05870584611445,1.0090713552569,533,325.729468599034,336,115,1155,743.705314009662,792,103
1,6,1.795625,2.77688770786299,1.06770012962046,0.867208164168212,405,241.790588235294,243,67,991,638.738823529412,662,128
1,7,2.2139,3.28154328932551,1.04814360431868,0.946414285606467,581,383.820610687023,400,135,1158,773.13358778626,810,194
1,10,2.57725,4.07959369428526,1.07875847007727,0.946414285606467,514,314.803278688525,322,76,994,597.660655737705,630.5,68
1,12,2.4167,3.74578210486802,1.07813720622286,0.946414285606467,795,523.701048951049,545,161,1210,762.582167832168,830,95
1,13,2.361775,3.46539105243401,1.05288244020121,0.946414285606467,602,371.697674418605,382,116,886,581.284436493739,611,161
1,15,2.733575,4.00116269709676,1.06037115235574,0.946414285606467,501,297.089644513138,307,81,1065,615.015455950541,674,95
1,16,3.401125,5.13345191759903,1.0703777767193,0.990050503762308,637,397.336645962733,411,104,1011,603.269565217391,662,69
1,18,3.375775,5.1877269068328,1.06680758709952,0.975,663,434.444305381727,444,112,1275,816.743429286608,841,198
1,22,2.17165,3.19423881554251,1.07518898417013,0.990050503762308,414,267.928015564202,278.5,75,1051,681.573929961089,720,107
1,25,2.150525,3.22116269709676,1.06975529699975,0.946414285606467,700,457.204322200393,474,113,1123,713.854616895874,778,84
1,26,2.1294,3.23693434175952,1.0785168470185,0.990050503762308,854,523.974206349206,538.5,130,1050,675.581349206349,699.5,111
1,27,1.9097,2.90959369428526,1.05478060080272,0.990050503762308,853,532.347345132743,555.5,112,1082,703.676991150443,732,113
