Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,2,1.744925,2.642695526217,1.0370431784541,0.946414285606467,417,254.852300242131,259,60,1127,699.63196125908,712,169
1,3,2.716675,3.92728922050227,1.07059401345068,1.0174109297624,651,419.43701399689,436,94,1490,943.738724727838,1004,130
1,4,1.913925,2.83769552621701,1.03476668459675,0.946414285606467,769,488.761589403974,501,102,1272,805.891832229581,836,116
1,5,2.64485,3.88225304681101,1.05451631422075,0.990050503762308,624,393.001597444089,412,90,1290,823.774760383387,891,146
1,6,3.50675,4.94689816806826,1.07372928557258,1.0090713552569,637,369.155421686747,379,70,1323,746.585542168675,796,126
1,7,1.660425,2.537278760297,1.07685479130642,0.990050503762308,838,539.918575063613,560,140,1300,818.206106870229,852,120
1,8,2.9913,4.44452134690274,1.05357985609153,0.990050503762308,468,274.235875706215,284.5,76,1107,700.588983050847,759.5,111
1,9,2.218125,3.51732539419352,1.08991023042916,0.946414285606467,605,376.744761904762,394,77,1439,881.140952380952,914,153
1,10,1.736475,2.512695526217,1.03872748463706,0.975,384,220.888077858881,223,57,1186,691.335766423358,734,135
1,11,2.150525,3.03263363903975,1.02645858830246,1.02774023955472,527,319.445972495088,329,103,1371,812.49115913556,883,165
1,12,1.7576,2.60881158941724,1.06024507378799,0.946414285606467,603,380.951923076923,388,123,1456,852.822115384615,914,168
1,13,2.2139,3.22344145739376,1.05801396978512,0.990050503762308,984,615.94465648855,637.5,190,1145,675.904580152672,699,141
1,14,1.8083,2.77540151263927,1.08349456245717,1.02774023955472,1078,663.002336448598,680,200,1369,865.75,902.5,169
1,15,2.834975,4.32844145739376,1.09475598800932,1.0174109297624,629,368.894187779434,381,68,1424,909.219076005961,960,139
1,16,3.0589,4.42498474671927,1.10478589979551,1.02774023955472,639,379.71270718232,385,92,1555,962.055248618785,1004.5,159
1,17,2.792725,4.22998474671927,1.06582890209374,1.0174109297624,519,314.701966717095,321,97,1310,783.641452344932,848,134
1,18,2.285725,3.41382204962251,1.07724114201123,1.0090713552569,754,477.96303142329,493,120,1425,884.898336414048,956,131
1,19,2.530775,3.86882204962251,1.0791598842178,1.0090713552569,737,465.041736227045,481,119,1488,889.779632721202,967,182
1,20,3.042,5.08656420973603,1.08012218953195,0.930658369112963,495,304.879166666667,306.5,76,1257,744.1625,760,156
2,2,2.404025,3.51498474671927,1.04751796870007,0.990050503762308,390,221.435852372583,229,45,1052,693.681898066784,739,116
2,3,2.0111,2.95420264185125,1.07815999075367,0.990050503762308,697,440.997899159664,459.5,107,1013,638.936974789916,671.5,124
2,4,2.809625,3.98952134690275,1.0438972338951,1.02774023955472,403,223.32030075188,230,51,1165,698.975939849624,744,83
2,5,3.181425,4.57580302527855,1.0451282208109,1.04809350727881,595,377.758300132802,388,117,1191,749.229747675963,811,78
2,6,1.770275,2.69654328932551,1.05135584562486,0.946414285606467,483,291.498806682578,295,66,1248,754.300715990453,820,128
2,7,3.122275,4.48308657865101,1.05920699754198,1.0090713552569,395,231.040595399188,232,55,1131,617.470906630582,673,92
2,8,2.0111,2.80885822331377,1.1232737359714,1.04,488,318.823529411765,327,80,1385,844.023109243697,928.5,97
2,9,2.4167,3.57265935252575,1.05758665024018,0.946414285606467,387,224.578671328671,228.5,47,1003,667.256993006993,706.5,81
2,10,2.9575,4.47846717087976,1.0428549678493,0.946414285606467,508,302.204285714286,308,76,1493,960.962857142857,1005.5,95
2,11,1.685775,2.56192388155425,1.01028880179665,0.867208164168212,1022,659.208020050125,684,177,1308,844.884711779449,890,94
2,12,2.496975,3.514557520594,1.05193981299403,1.0174109297624,682,414.534686971235,430,94,1273,765.551607445008,847,91
2,14,2.682875,4.08883250982777,1.05891264670973,0.990050503762308,493,288.099212598425,300,91,1214,754.237795275591,781,114
2,15,2.353325,3.4180142312685,1.08962175521484,1.0090713552569,455,271.019748653501,280,74,1231,816.114901256733,860,206
2,16,2.158975,3.12461940777126,1.03890404128266,0.946414285606467,417,264.133072407045,278,60,1267,808.921722113503,862,52
2,17,1.93505,2.85574593117676,1.06275994751422,1.02774023955472,507,292.196506550218,302,57,1179,721.489082969432,794,80
2,18,2.733575,4.06424927574778,1.08224057966853,1.0090713552569,478,278.389489953632,292,64,1470,881.369397217929,983,90
2,19,1.626625,2.33808657865101,1.0820967514902,1.04,531,286.371428571429,289,88,1392,785.057142857143,853,140
2,20,1.69,2.29077164466275,1.03253665829878,1.07200746266059,523,310.4225,313.5,87,1355,836.67,904,99
2,21,3.113825,4.75885822331377,1.07272812619965,0.946414285606467,477,284.951153324288,294,67,1541,862.29986431479,933,107
2,22,2.50965,3.59077164466275,1.02143678763816,0.946414285606467,1169,757.462962962963,783,223,1429,975.973063973064,1035.5,108
2,24,1.9604,2.83258700514323,1.05414140104369,1.02774023955472,420,256.775862068966,262.5,68,1306,779.834051724138,865.5,98
2,25,2.564575,3.75459369428526,1.07634958055307,1.0090713552569,455,282.388797364086,288,88,1156,690.673805601318,761,73
2,27,2.015325,3.10416646815999,1.07514763514033,0.946414285606467,959,616.995807127883,626,234,1035,618.658280922432,679,92
2,28,2.0956,3.18493811282275,1.08220792693218,0.990050503762308,570,331.739919354839,344.5,89,1292,835.727822580645,869.5,188
2,29,3.080025,4.83962986797652,1.07322519807809,0.946414285606467,961,590.20987654321,602,203,1202,758.661179698217,772,179
2,30,2.006875,2.95228922050227,1.03387227622995,0.990050503762308,690,421.456842105263,436,98,957,519.018947368421,555,29
2,31,2.767375,4.21883250982777,1.05890824481577,0.990050503762308,584,362.343511450382,374,89,1527,963.160305343511,996,209
2,32,2.336425,3.2207354709715,1.07488556958559,1.0090713552569,469,288.189873417722,298,59,1449,846.754068716094,938,111
2,33,2.184325,3.1738477631085,1.01725889843221,0.946414285606467,606,387.920696324952,400,128,1571,948.36170212766,1010,112
2,34,1.7576,2.577695526217,1.03786731044288,0.946414285606467,676,425.247596153846,437,121,1304,866.372596153846,909.5,142
2,35,3.156075,4.70458323408,1.05072651432794,0.946414285606467,564,340.109772423025,348,92,951,585.303882195448,641,99
2,36,2.8054,4.42917692836526,1.07727206121538,0.937443331620637,468,282.525602409639,284,87,1268,803.231927710843,817.5,209
2,37,3.0251,4.85959369428526,1.07899827464119,0.884095583067804,839,514.515363128492,521,148,930,590.317039106145,596,143
2,38,2.197,3.39151757583951,1.0915348675698,0.990050503762308,485,301.082692307692,317,74,1311,855.965384615385,929,129
2,39,1.95195,3.04193434175952,1.08020042269884,0.946414285606467,426,243.874458874459,248.5,40,1180,744.755411255411,793.5,164
2,40,2.13785,3.24808657865101,1.07296230398034,0.946414285606467,468,274.551383399209,282,77,1562,1009.83596837945,1054.5,160
2,41,2.606825,3.57961940777126,1.03448351520888,1.0090713552569,547,343.858995137763,359,73,1232,744.640194489465,798,163
2,42,2.108275,3.17378587593125,1.06121611780497,0.990050503762308,469,294.496993987976,303,81,1314,866.785571142285,926,78
2,43,1.63085,2.49458323408,1.07396268965753,0.975,466,283.764248704663,283.5,85,1163,718.839378238342,722,222
2,44,1.78295,2.82001046020527,1.08023981159432,0.946414285606467,483,291.206161137441,292,75,1075,614.964454976303,679,108
2,45,2.2984,3.58041197284454,1.03416533492867,0.937443331620637,488,307.066176470588,322.5,89,1156,773.270220588235,813,195
3,2,3.181425,4.64037579915328,1.06128128243005,0.975,572,364.254980079681,384,87,1016,659.917662682603,706,81
3,3,2.353325,3.52847763108502,1.08222781927339,1.0090713552569,416,236.418312387792,243,30,1038,619.016157989228,683,58
3,4,2.454725,3.54844145739377,1.06816342114887,1.0174109297624,511,332.631669535284,352,91,1206,771.139414802065,826,96
3,5,1.7238,2.62309703885628,1.03748430755801,0.975,482,299.629901960784,311.5,74,1377,838.477941176471,899.5,95
3,6,2.944825,4.38080302527855,1.03577385147612,0.990050503762308,852,552.104734576758,577,151,1109,703.944045911047,750,69
3,7,2.1125,2.96769552621701,1.03339434035808,0.946414285606467,328,206.206,210.5,55,1139,697.754,747.5,82
3,8,2.496975,3.84694480196478,1.0746483916862,0.990050503762308,1174,746.626057529611,779,249,1192,756.086294416244,838,114
3,9,2.535,3.80105417602299,1.07885929402985,0.990050503762308,389,233.343333333333,241.5,46,1153,754.793333333333,816,88
3,13,1.79985,2.65846717087976,1.05849312387088,0.946414285606467,874,553.551643192488,580,185,1493,924.401408450704,998.5,155
3,14,1.93505,2.80885822331377,1.08236141971605,1.0090713552569,383,248.842794759825,252.5,59,1148,694.342794759825,755.5,94
