Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.8899,3.99001046020526,1.06776319182078,1.0090713552569,1203,829.277777777778,873,220,1160,705.412280701754,765,115
1,2,2.311075,3.54382204962251,1.07818475129328,0.946414285606467,2540,1739.2449725777,1833,470,1239,733.440585009141,773,98
1,3,2.98285,4.1477269068328,1.01338670314522,1.0174109297624,3337,2372.45184135977,2487.5,767,1329,857.963172804533,936.5,98
1,4,1.98575,3.01920264185125,1.12788801600839,0.975,4108,2832.36808510638,2956.5,835,1285,808.225531914894,868.5,147
1,5,2.192775,3.38689816806826,1.11701585354896,0.946414285606467,1539,1064.47976878613,1106,325,1352,862.105973025048,908,247
1,6,3.232125,4.77080302527855,1.05370182740959,1.01533245786787,4803,3393.98562091503,3490,843,1414,896.696732026144,974,152
1,7,2.015325,2.95462986797652,1.08105700875118,1.0090713552569,2894,1939.27882599581,2035,559,1123,722.425576519916,740,155
1,8,2.10405,2.9138477631085,1.01882788919878,0.946414285606467,1772,1193.85742971888,1262.5,356,1336,850.706827309237,920,162
1,9,2.9068,4.51648140214825,1.08331492348375,0.946414285606467,3782,2597.37209302326,2732.5,628,1355,910.844476744186,953.5,137
1,10,2.944825,4.162278760297,1.06888523263875,1.0090713552569,3013,2151.1406025825,2291,610,1442,932.694404591105,992,242
1,12,2.66175,3.69464032818178,1.05605019756149,1.02774023955472,1687,1128.90476190476,1185.5,367,1425,931.639682539683,979.5,214
1,13,2.72935,3.65385822331377,1.07684967654196,1.0090713552569,4318,3004.66873065015,3161,927,1349,804.665634674923,910.5,136
1,14,4.09825,5.83310749906154,1.07878171402305,1.0090713552569,1483,973.776288659794,1031,219,1202,753.050515463918,782,138
1,16,3.291275,4.97382204962251,1.07519481603065,0.946414285606467,1934,1306.71758664955,1368,373,1501,1000.46598202824,1047,129
1,17,3.8701,5.4904224330498,1.06050035089673,1.02774023955472,2013,1300.78820960699,1360,371,1244,776.908296943231,827.5,120
1,18,3.9377,5.87303515167902,1.05305568494389,0.990050503762308,4463,3139.88519313305,3242,845,1296,847.630901287554,898.5,147
1,19,2.598375,3.71381158941724,1.05806597989095,1.0090713552569,2725,1997.34634146341,2124,660,1177,734.078048780488,815,139
1,20,3.40535,4.8627269068328,1.04777156427428,1.04809350727881,3280,2205.06079404466,2333.5,624,1328,845.084367245658,883,134
1,21,2.64485,3.66039105243401,1.05062157607039,1.0090713552569,2769,1964.43130990415,2074.5,592,1245,817.674121405751,847.5,170
1,22,2.218125,3.16078210486802,1.08194582775902,1.0090713552569,2221,1462.24,1553,410,1265,767.434285714286,806,154
1,23,2.260375,3.17421310205652,1.04447402617596,1.01533245786787,2256,1538.17757009346,1599,439,1392,846.835514018692,909,145
1,24,4.1067,5.74956798079927,1.06564424941653,1.02774023955472,2385,1637.37139917695,1725,478,1474,970.207818930041,1028.5,186
1,25,2.197,3.2657097574855,1.0510445509857,0.990050503762308,1371,938.051923076923,973,283,1451,970.261538461538,1026.5,288
1,26,2.18855,3.24346717087976,1.05010851751204,0.946414285606467,5501,3840.83204633205,3979,1113,1152,740.442084942085,762.5,180
1,28,3.0082,4.30656420973604,1.07015863606634,1.02774023955472,1644,1115.23735955056,1159.5,271,997,629.581460674157,702,91
1,29,4.212325,6.31694480196478,1.07815708344425,0.946414285606467,2670,1841.3149448345,1928,469,1313,862.650952858576,910,211
1,30,2.564575,3.66728922050227,1.08479623832143,1.02774023955472,3404,2451.12685337727,2530,801,1487,972.380560131796,1045,165
1,31,3.899675,5.72270598642227,1.06375788308633,0.946414285606467,4386,3216.15059588299,3307,1129,1090,721.398699891658,761,116
1,32,2.96595,4.23651757583951,1.07882058244068,0.990050503762308,2088,1427.0811965812,1486,370,1383,825.270655270655,896.5,176
1,33,2.860325,4.2238791437243,1.02939952588396,0.966294468575703,6560,4782.75775480059,5004,1213,1309,876.809453471196,950,139
1,34,2.277275,3.2007097574855,1.05319274400816,1.02774023955472,1997,1356.79777365492,1409,461,1280,798.634508348794,873,124
1,36,2.437825,3.45041197284454,1.02596704223966,1.02774023955472,1633,1090.63951473137,1143,295,1029,663.738301559792,688,112
1,37,1.913925,2.89424927574778,1.06318240851159,1.0090713552569,1962,1343.00883002208,1386,398,1262,806.55408388521,836,238
1,38,3.28705,4.31692388155425,1.00616047836248,1.0090713552569,841,531.316195372751,558,148,1435,918.006426735218,1006.5,180
1,39,3.2279,5.16271644662753,1.10947617685924,0.884095583067804,6772,4831.97382198953,5042.5,1587,1606,1046.75392670157,1111,185
1,40,2.197,3.07077164466275,1.02483676728191,0.946414285606467,1662,1174.92307692308,1224,353,1063,694.046153846154,730,153
1,41,2.4505,3.3957097574855,1.05222531027732,1.04809350727881,3670,2468.05344827586,2564.5,779,1145,706.518965517241,777,89
1,42,2.8899,4.24958323408,1.05476158222947,0.946414285606467,6899,4844.8932748538,5098,1513,1298,843.023391812865,917,200
1,43,2.4674,3.52385822331377,1.07802952550868,0.990050503762308,1634,1111.20376712329,1166,312,1426,926.073630136986,971.5,157
1,44,2.649075,3.90036533894802,1.07255547210076,1.0174109297624,3018,2138.20733652313,2270,726,1366,932.583732057416,970,296
1,45,2.5857,3.83117315730203,1.08026177093079,0.990050503762308,2408,1751.56209150327,1823,617,1180,781.02614379085,819,199
1,46,3.958825,5.96119407771255,1.06146333807729,0.975,3465,2436.17395944504,2521,807,1284,874.976520811099,920,231
1,47,2.4843,3.74806086516502,1.06381811774218,0.990050503762308,2164,1498.90816326531,1576,457,1354,914.028911564626,962,256
1,48,2.480075,3.63155374953077,1.08225727308894,0.959713498915171,2605,1876.65247018739,1969,655,1379,934.449744463373,986,192
1,49,2.404025,3.31961940777126,1.04204970935704,1.0090713552569,1821,1230.73286467487,1285,425,1232,696.750439367311,756,124
1,50,2.235025,3.19423881554251,1.06604259790424,0.946414285606467,1944,1353.28166351607,1414,503,1225,784.608695652174,832,162
1,51,2.5181,3.84374970223999,1.04454637421955,0.990050503762308,2193,1497.13255033557,1584.5,369,1223,834.843959731544,882,145
1,52,2.513875,4.01459369428526,1.07842840819013,0.946414285606467,2520,1863.98487394958,1955,770,1461,1038.56638655462,1080,379
1,53,3.1603,4.40040151263927,1.08099865597707,1.0090713552569,1838,1278.32085561497,1317,413,1093,665.435828877005,728,121
1,54,2.79695,3.83998474671927,1.06971041180345,1.06607926534569,1180,783.335347432024,820.5,231,1099,715.187311178248,754.5,116
1,55,3.1265,4.44537579915328,1.04245902337098,1.02774023955472,3855,2677.49324324324,2769,676,1148,751.913513513514,777.5,200
1,56,2.387125,3.47420264185125,1.07654782471609,1.0090713552569,4807,3338.28495575221,3489,1026,1338,874.430088495575,926,141
1,58,2.218125,3.12,1,0.91,2479,1833.32571428571,1910,613,1349,896.489523809524,934,195
1,59,2.496975,3.91151757583951,1.07648236243229,0.946414285606467,4534,3230.28764805415,3421,872,1287,867.191201353638,912,131
1,60,3.705325,5.43344145739376,1.08707046392544,1.0090713552569,3367,2282.89851767389,2365,646,1397,902.921322690992,937,201
1,61,2.387125,3.26577164466275,1.02344365057307,0.946414285606467,1942,1263.7592920354,1319,342,1180,724.127433628319,797,141
1,62,2.32375,3.15154328932551,1.04517445537336,1.04,1621,1073.69090909091,1130.5,313,1337,834.823636363636,900.5,180
1,63,2.353325,3.53458323408,1.0621634331301,0.946414285606467,1194,810.929982046679,843,241,1292,829.407540394973,854,112
1,64,2.006875,3.05074593117676,1.10564394215755,0.990050503762308,10534,7409.84,7767,2423,1687,1166.38736842105,1214,343
1,65,2.699775,3.82002092041053,1.08424265546391,1.02774023955472,2683,1856.28638497653,1958,555,1587,1075.78716744914,1134,217
1,66,2.192775,3.25923881554251,1.06516760365481,1.0090713552569,1535,1057.1098265896,1102,373,1729,1137.03275529865,1179,248
1,67,2.4674,3.31961940777126,1.03688248887293,1.0090713552569,1161,754.469178082192,780.5,223,1353,777.239726027397,860,122
1,68,3.67575,5.58617315730203,1.07831536178965,0.946414285606467,2420,1680.99770114943,1749.5,509,1242,807.435632183908,850,119
1,69,4.65595,7.022278760297,1.04789677866944,0.91,4096,2928.77586206897,3032,983,1170,775.170598911071,802.5,119
1,70,1.93505,2.72765935252575,1.0679554275927,1.0090713552569,1327,875.451965065502,914,302,1135,652.42576419214,721.5,105
1,71,2.79695,4.04805040495976,1.07615537988866,0.990050503762308,1702,1149.20543806647,1204,306,1319,881.906344410876,921,247
1,72,2.2139,3.45694480196478,1.08089048483145,0.990050503762308,4357,3081.11641221374,3194.5,1108,1546,1004.58778625954,1049.5,240
1,73,3.223675,4.40188770786299,1.04174363712701,1.0090713552569,1560,1052.07994757536,1085,375,1291,845.866317169069,869,123
1,74,1.8252,2.81724258660575,1.06187498374969,0.992181938960794,2498,1796.4375,1889,552,1120,727.828703703704,792,114
1,75,2.62795,4.14921310205652,1.0788382318683,0.990050503762308,3794,2774.93408360129,2876,1187,1172,758.226688102894,793,247
1,76,3.47295,5.03833293631999,1.04177867964943,0.975,3900,2820.28223844282,2952,1061,1431,967.599756690998,1030,255
1,77,2.589925,3.747695526217,1.02958668302665,0.975,3430,2332.94616639478,2440,722,1311,864.274061990212,906,236
1,78,2.45895,3.80382204962251,1.07909411158974,0.946414285606467,2431,1780.60481099656,1855.5,652,1474,963.36941580756,1008,192
1,79,3.519425,4.94960415449053,1.06732877903271,1.0090713552569,1856,1251.65666266507,1320,463,1387,954.027611044418,1015,170
1,80,3.0758,4.57537579915328,1.05048593879536,1.01533245786787,3455,2497.25274725275,2606.5,707,1349,905.521978021978,951.5,189
1,81,3.003975,4.62651757583951,1.07968234225176,0.946414285606467,5327,3896.76230661041,4103,1288,1277,840.950773558368,902,216
1,82,2.86455,4.072695526217,1.02660990080986,1.0090713552569,2430,1729.03097345133,1800.5,532,1346,905.507374631268,962.5,89
1,83,2.197,3.3957097574855,1.06174398967242,0.937443331620637,2437,1744.53269230769,1817.5,553,1442,962.848076923077,995.5,299
