Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,3.18565,4.6711265234055,1.07727918541584,1.0090713552569,1062,663.888594164456,681,211,1364,849.183023872679,865,240
1,2,1.8928,2.71650711563425,1.07442975310935,1.0090713552569,609,371.09375,384,110,1245,775.761160714286,792.5,233
1,3,1.897025,2.927278760297,1.11890500805392,0.990050503762308,2784,1921.34743875278,2029,614,1067,665.997772828508,680,115
1,4,2.13785,3.02424927574778,1.0679627982988,1.07594144822105,1053,672.387351778656,708,181,1642,1065.61462450593,1095,201
1,5,1.8083,2.77078210486802,1.082039609461,1.0090713552569,675,399.852803738318,414,116,1131,668.957943925234,710.5,150
1,6,2.2646,3.254557520594,1.03952419618972,1.02774023955472,792,528.662313432836,557.5,100,1293,863.404850746269,910,220
1,7,1.930825,2.74300377106323,1.06673336017722,1.04,1014,661.5295404814,695,193,1662,1097.8249452954,1133,258
1,8,2.35755,3.65385822331377,1.07684967654196,0.946414285606467,1200,839.992831541219,864.5,265,1234,807.575268817204,884.5,156
1,9,2.175875,3.14039105243401,1.05706368889328,0.946414285606467,2437,1665.56699029126,1737,568,1255,784.464077669903,858,166
1,10,1.8759,2.92117315730203,1.07583638708066,0.990050503762308,1693,1127.27702702703,1152.5,390,1060,658.756756756757,691.5,181
1,11,2.13785,3.23650711563425,1.069137182015,0.946414285606467,625,384.626482213439,401.5,101,1343,872.559288537549,905,241
1,12,1.897025,2.79493811282275,1.04596098884409,1.02774023955472,407,247.910913140312,255,69,1086,693.140311804009,725,201
1,13,1.61395,2.34461940777126,1.04962471947159,1.0090713552569,1006,627.759162303665,645.5,227,1243,799.007853403141,849.5,167
1,14,1.609725,2.35109034971425,1.02305964890166,1.01533245786787,978,630.582677165354,646,225,1260,819.11811023622,862,253
1,15,1.8928,2.92493811282275,1.04620661257676,0.990050503762308,1573,1057.58705357143,1085.5,361,1307,858.678571428571,916,227
1,16,2.2477,3.34882204962251,1.07661635442214,1.02774023955472,920,616.447368421053,653.5,177,1271,843.229323308271,884.5,170
1,17,2.12095,3.25079256507328,1.05552306659976,0.990050503762308,523,326.229083665339,338,74,1164,774.569721115538,806,178
1,18,2.860325,4.24262317883449,1.0764014862538,0.946414285606467,1250,806.488921713442,842,269,1328,784.692762186115,872,123
1,19,2.429375,3.73001046020527,1.07060404539402,0.946414285606467,1630,1083.37739130435,1124,250,1327,835.56,871,215
1,20,2.79695,3.92075639138202,1.05241932815273,1.02774023955472,1557,1053.98187311178,1115.5,347,1543,1036.51963746224,1098,265
1,21,2.08715,3.19651757583951,1.0680603911146,0.990050503762308,1450,942.726720647773,979.5,310,1252,778.406882591093,811,116
1,22,2.67865,4.25462986797652,1.07783671148814,0.946414285606467,1627,1097.12776025237,1124,326,1181,758.875394321767,788.5,177
1,23,2.598375,3.51461940777126,1.0350544060197,1.0090713552569,745,463.99512195122,481,118,1398,924.424390243902,967,228
1,24,1.618175,2.47461940777126,1.05712189984412,0.946414285606467,818,573.882506527415,598,178,1498,986.819843342037,1037,272
1,25,3.105375,4.61998474671927,1.07298555564233,1.02774023955472,2206,1573.51700680272,1653,544,1372,954.307482993197,1002,298
1,26,3.181425,4.88189816806826,1.07415100944473,0.946414285606467,983,640.557768924303,656,206,1366,909.665338645418,934,263
1,27,2.775825,4.20035487874275,1.07329380449597,0.946414285606467,621,383.776255707763,400,114,1253,789.8599695586,826,159
1,28,1.73225,2.61151757583951,1.03154174041449,0.975,1564,994.704878048781,1031.5,299,1208,776.907317073171,817,142
1,29,2.894125,4.02346717087976,1.04183694186275,1.0090713552569,424,271.556204379562,276,97,1253,840.6,875,221
1,30,1.668875,2.41189816806826,1.07071554342291,1.06607926534569,1399,924.959493670886,960,355,1611,1023.28101265823,1057,289
1,31,2.623725,3.76802469147376,1.02444752977603,0.966294468575703,2166,1497.94363929147,1582,407,1389,941.17230273752,985,210
1,32,2.251925,3.22848809129029,1.01790239087125,1.01533245786787,746,464.360225140713,480,114,1191,786.056285178236,820,169
1,33,2.133625,3.09763363903975,1.03673305745168,0.975,1325,893.271287128713,932,292,1144,716.091089108911,758,142
1,34,2.099825,2.97231493398826,1.06459220434141,1.0090713552569,1763,1224.06036217304,1277,422,1098,734.89939637827,773,168
1,35,2.0111,3.17464032818179,1.03079665265513,0.937443331620637,3519,2453.0231092437,2528.5,919,1233,812.174369747899,862,234
1,36,2.94905,4.43379633613651,1.04830330906029,0.990050503762308,894,586.538681948424,610,200,1362,913.467048710602,941,288
1,37,1.8252,2.83535487874275,1.07713997336116,0.946414285606467,1444,959.699074074074,993.5,290,1454,941.912037037037,969.5,306
1,38,2.243475,3.28616269709676,1.06891387081554,1.0090713552569,751,495.128060263653,514,129,1326,891.470809792844,928,280
1,39,2.911025,4.26152803604478,1.04395923430601,1.0174109297624,2682,1897.07547169811,1998,709,1706,1110.88098693759,1165,389
1,40,2.513875,3.71694480196478,1.08513760787007,0.990050503762308,717,478.087394957983,498,183,1054,677.121008403361,730,164
1,41,2.471625,3.75878587593125,1.06686221472368,1.0090713552569,914,617.738461538462,642,188,1139,779.355555555556,818,235
1,42,3.206775,4.86193434175951,1.06239562480173,0.946414285606467,900,601.512516469038,627,207,1160,770.287220026351,811,140
1,43,2.573025,3.92458323408,1.05796501908732,0.946414285606467,1515,1012.4367816092,1057,355,1267,861.591133004926,918,178
1,44,2.437825,3.66728922050227,1.08801881129751,1.0174109297624,1206,819.084922010399,860,236,1197,740.032928942808,796,144
1,45,2.1463,3.03688770786299,1.04866101148136,1.0090713552569,1838,1314.12204724409,1387.5,524,1155,777.712598425197,815.5,190
1,46,1.81675,2.66117315730203,1.0442941466722,1.02774023955472,1017,650.011627906977,676.5,175,1524,954.46511627907,976.5,252
1,47,2.158975,3.13996382630874,1.0413342546079,0.946414285606467,947,608.802348336595,635,190,1172,766.407045009785,802,147
1,48,2.3829,3.47228922050227,1.07748590121209,1.0174109297624,1037,683.209219858156,713,216,1293,866.526595744681,911.5,233
1,49,2.530775,3.69150711563425,1.06419290896984,0.946414285606467,1130,765.20367278798,806,229,1199,776.9449081803,837,182
1,50,3.122275,4.42264409924502,1.03460739798232,1.01533245786787,841,534.997293640054,554,168,1289,840.304465493911,872,199
1,51,2.716675,3.98539105243401,1.05152142574161,0.930658369112963,974,660.662519440124,696,207,1459,988.940902021773,1030,175
1,52,1.7069,2.3288477631085,1.02200213139557,1.0090713552569,1878,1250.82920792079,1297,446,1640,1077.62128712871,1112,303
1,53,2.99975,4.54383250982777,1.08539941700052,1.05812333874648,1021,660.152112676056,685.5,230,1315,829.247887323944,856.5,203
1,55,2.5181,3.7834309971885,1.06662096149967,0.975,628,384.76677852349,394.5,93,1477,1007.99832214765,1032,284
1,56,1.7238,2.49039105243401,1.06715556138715,0.975,576,348.379901960784,357,120,1161,771.529411764706,820,178
1,57,3.48985,5.36233585439879,1.08464838262427,0.937443331620637,2559,1857.86198547215,1922,707,1443,974.578692493947,1015.5,265
1,58,2.218125,3.47271644662753,1.05162757404923,0.990050503762308,1699,1149.17714285714,1204,426,1475,973.569523809524,1019,310
1,59,2.2646,3.35116269709676,1.06808101583851,1.0090713552569,493,314.296641791045,324,108,1486,1022.71828358209,1061,357
1,60,4.009525,5.77691908847878,1.08336648491533,1.02774023955472,2227,1452.19178082192,1520,443,1634,1091.82086406744,1132,285
1,61,1.787175,2.68766981273101,1.04924480818816,1.0174109297624,2052,1411.65721040189,1490,536,1495,995.765957446809,1035,266
1,62,2.877225,4.32616269709676,1.06235498726954,0.946414285606467,509,325.196769456681,340,77,1218,829.816446402349,872,166
1,63,1.78295,2.43192388155425,1.01082584451998,1.0090713552569,573,370.258293838863,383,114,1470,960.220379146919,1020,283
