Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.285725,3.21228922050227,1.04699278875816,1.105,2486,1702.33271719039,1753,624,1195,737.587800369686,773,199
1,2,2.074475,3.21462986797652,1.08231174597005,0.946414285606467,4315,3033.60285132383,3178,1063,1219,791.627291242363,821,172
1,3,2.235025,3.26613698361077,1.04457435974735,1.0174109297624,3030,2118.46691871456,2233,612,1295,821.289224952741,884,184
1,4,2.623725,3.80154328932551,1.03843661857109,0.946414285606467,4743,3393.32367149758,3533,1199,1261,829.193236714976,896,158
1,5,2.446275,4.01921310205652,1.08748887923426,0.930658369112963,5019,3580.91191709845,3720,1192,1110,738.33506044905,780,220
1,6,2.3153,3.39805040495976,1.0786361010114,1.0090713552569,884,553.921532846715,576,167,1230,791.877737226277,872,165
1,7,3.01665,4.0838477631085,1.0128348955875,0.946414285606467,6526,4617.02521008403,4878.5,1429,1169,703.731092436975,777.5,118
1,9,3.240575,4.84886868351903,1.082039609461,1.0090713552569,1829,1260.86962190352,1322,356,1246,814.554106910039,860,156
1,10,2.243475,3.12461940777126,1.04477636713917,1.0090713552569,1153,765.975517890772,804,243,1137,786.064030131827,823,195
1,11,2.4674,3.61720641291449,1.06702718313061,0.990050503762308,1145,709.885273972603,736.5,202,1341,865.015410958904,898.5,175
1,12,2.7209,3.76346717087976,1.0442941466722,1.0090713552569,887,599.604037267081,617,212,1395,903.75,963.5,182
1,13,2.66175,3.82925973595304,1.03625298013505,1.02774023955472,1332,885.871428571429,919,268,1101,706.447619047619,740.5,161
1,14,3.65885,5.36886868351903,1.11936180313458,0.990050503762308,2248,1536.42032332564,1591.5,522,1132,695.245958429561,735,114
1,15,2.9068,4.18877541572599,1.08664462255929,1.0090713552569,2932,2052.40261627907,2175.5,601,1337,855.933139534884,903,144
1,16,1.68155,2.36692388155425,1.011115916491,0.975,1856,1136.35427135678,1192.5,285,1311,815.482412060301,836,243
1,17,2.1463,3.21143476825173,1.05914715198583,0.990050503762308,3064,2103.29527559055,2228,708,1133,704.694881889764,736,126
1,18,3.52365,5.19340528370251,1.0760807504837,0.990050503762308,3096,2205.3896882494,2330,707,1241,784.767386091127,828.5,176
1,19,2.142075,3.14458323408,1.06667616805086,0.975,1957,1338.21893491124,1400,468,1316,859.285996055227,903,173
1,20,2.809625,4.03461940777126,1.03094432229408,0.946414285606467,1420,972.240601503759,1008,318,1193,717.980451127819,789,132
1,21,2.573025,3.72539105243401,1.04990590532474,0.946414285606467,949,642.711001642036,678,189,1259,823.229885057471,897,182
1,22,3.494075,5.18729968070753,1.07549867235367,0.990050503762308,1013,675.814993954051,709,184,1162,805.385731559855,839,197
1,23,2.336425,3.31117315730203,1.0722665460656,1.02774023955472,2295,1538.89150090416,1622,443,1251,826.457504520796,881,173
1,24,2.911025,4.07731493398826,1.05578028636153,1.0090713552569,994,634.579100145138,658,170,1286,861.689404934688,899,232
1,26,2.260375,3.23231493398826,1.060926466358,0.946414285606467,943,617.56261682243,643,200,1119,739.370093457944,779,117
1,27,2.437825,3.57074593117676,1.07735521781967,1.0090713552569,2061,1396.36048526863,1440,466,1153,758.178509532062,792,135
1,28,3.08425,4.37305040495975,1.0740058011455,1.0090713552569,1574,1080.82876712329,1142.5,344,1304,877.387671232877,947.5,175
1,29,3.4983,4.93191908847879,1.03939285320944,0.990050503762308,1428,935.239130434783,974,292,1139,725.073671497585,772,154
1,30,2.091375,3.24617315730203,1.07060404539402,0.990050503762308,2239,1512.15555555556,1588,421,1159,655.462626262626,703,117
1,31,2.2815,3.24808657865101,1.07296230398034,1.0090713552569,1286,845.135185185185,882,268,1367,896.746296296296,949.5,228
1,32,3.042,4.57118361750729,1.060926466358,0.975,889,577.2125,595.5,171,1283,785.508333333333,809,228
