Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.454725,3.449557520594,1.05613477623372,1.02774023955472,2520,1797.70051635112,1886,484,1217,790.18760757315,827,228
1,2,2.8561,4.21655374953077,1.07966912753363,0.946414285606467,1792,1257.56360946746,1309,402,1172,777.100591715976,809.5,167
1,3,2.319525,3.37808657865101,1.07138720591744,0.946414285606467,2602,1807.71584699454,1929,499,1089,674.023679417122,706,148
1,4,2.2308,3.21228922050227,1.05124791358548,1.02774023955472,1690,1221.42045454545,1271.5,394,970,634.638257575758,688.5,142
1,5,2.412475,3.33490193913149,1.03275459022832,1.02774023955472,1998,1355.7880910683,1418,407,1312,806.971978984238,872,169
1,6,3.7011,5.33923881554251,1.04760861341486,1.0090713552569,2408,1588.18607305936,1646,435,1364,861.019406392694,922,185
1,7,4.220775,6.56615790402129,1.0618756847236,0.966294468575703,5673,4078.75475475475,4231,1418,1176,774.641641641642,820,240
1,8,2.581475,3.62878587593125,1.0638147752262,1.02774023955472,1105,734.671031096563,775,170,1031,651.50736497545,698,71
1,10,3.418025,5.03924927574777,1.07999666447943,0.946414285606467,1656,1114.26699629172,1165,374,1328,908.375772558715,954,225
1,11,2.843425,3.85077164466275,1.02006122189194,1.0090713552569,2671,1857.21248142645,1958,593,1306,864.001485884101,933,152
1,12,2.3829,3.34605417602299,1.04192323271985,1.02774023955472,1875,1301.35106382979,1372.5,470,1057,641.879432624114,700,114
1,13,2.420925,3.46156420973604,1.04241051031048,1.02774023955472,2267,1559.83769633508,1621,479,1184,774.095986038394,828,130
1,14,2.201225,3.02154328932551,1.04679588990053,1.0090713552569,1261,848.26103646833,883,226,1133,739.046065259117,782,142
1,15,3.2955,4.54346717087976,1.03762826150671,0.975,4084,2821.51025641026,2951,746,1136,726.302564102564,804.5,138
1,17,3.8194,5.22039105243401,1.03745087458637,0.946414285606467,3549,2472.16703539823,2569,793,1167,695.182522123894,774,124
1,18,3.958825,5.42924927574778,1.0778787736471,1.0090713552569,717,449.001067235859,467,104,1117,708.537886872999,738,144
1,19,3.485625,4.81923881554251,1.04852813742386,0.946414285606467,3852,2680.01333333333,2817,905,1125,667.821818181818,745,78
1,20,1.93505,2.72489147892623,1.06514846367022,1.07200746266059,2733,1875.81877729258,1977.5,623,1196,690.515283842795,767,116
1,21,1.79985,2.48577164466275,1.03020407701254,1.0090713552569,2875,1939.8779342723,2040,725,1163,723.892018779343,763,116
1,23,2.513875,3.78990193913149,1.06647740557808,0.990050503762308,2535,1847.35966386555,1930,506,1239,810.808403361345,839,251
1,24,3.1941,4.45616269709676,1.05571302960786,0.975,3248,2264.25793650794,2396,693,1451,915.56746031746,971,197
1,25,2.801175,4.38924927574778,1.08226767610348,0.946414285606467,1792,1193.1161387632,1248,464,1288,834.129713423831,860,216
1,26,2.3153,3.46156420973604,1.03962597048738,0.990050503762308,1178,795.95802919708,832,210,985,590.447080291971,651.5,93
1,27,3.401125,4.74579256507328,1.08098023814786,1.0174109297624,2217,1503.93788819876,1568,481,1013,644.849689440994,702,88
1,28,3.0082,4.32105417602299,1.06916671486235,1.0090713552569,1872,1250.25561797753,1320,418,1012,651.080056179775,710,132
1,29,2.834975,4.25924927574778,1.08238736029691,0.946414285606467,1313,862.013412816691,897,329,1151,789.706408345753,826,176
1,32,2.89835,4.09961940777126,1.03049596896474,0.946414285606467,4335,3107.27842565598,3288.5,846,1411,934.960641399417,996,220
1,33,2.7885,3.88693434175952,1.07194882797645,1.0090713552569,1540,1015.8303030303,1058.5,334,1267,776.137878787879,841.5,187
1,34,2.927925,4.23694480196478,1.10164937935092,1.0090713552569,1437,933.122655122655,965,321,1176,734.126984126984,788,135
