Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.42515,3.2007097574855,1.05319274400816,1.105,726,460.935540069686,477.5,163,871,578.571428571429,614.5,156
1,2,3.046225,3.98539105243401,1.0565049675259,1.07200746266059,680,455.396671289875,469,180,1070,704.174757281553,737,158
1,3,2.209675,2.87066312358898,1.05966591356554,1.16275534829989,628,393.590822179732,409,111,1159,776.391969407266,805,254
1,4,3.764475,4.84233585439879,1.07248911335735,1.07594144822105,864,586.023569023569,602,173,1087,750.508417508418,781,226
1,5,2.704,3.59539105243401,1.05135584562486,1.07200746266059,612,386.89375,400,92,892,571.6859375,601.5,178
1,6,3.25325,4.41993811282275,1.07664075046539,1.0174109297624,887,569.216883116883,593,216,1027,695.44025974026,740.5,191
1,7,2.218125,2.94958323408,1.06898080280061,1.07200746266059,605,391.651428571429,408,101,904,598.007619047619,626,177
1,8,4.508075,5.99762317883449,1.0657394217893,1.04,543,329.589503280225,337,79,1046,702.185567010309,729,180
1,9,2.725125,3.14692388155425,1.00841063384327,1.105,1349,895.362790697674,924,285,1353,909.037209302326,958,269
1,10,3.84475,5.00849855149555,1.04605447364109,1.08181560351106,669,413.71978021978,420,149,1142,778.353846153846,812.5,230
1,11,2.606825,3.30002092041053,1.0641851824526,1.19854077944808,710,431.602917341977,449,132,1039,678.157212317666,725,151
1,12,4.263025,5.59079256507328,1.08981017122721,1.13517619777724,825,567.196233894946,591,182,1134,783.333002973241,819,166
1,13,2.564575,3.18308657865101,1.07375061921325,1.17,514,332.187808896211,344,106,915,613.138385502471,645,122
1,14,5.239,6.6850056671298,1.05690600358248,1.105,810,536.093548387097,551,206,1104,714.739516129032,758.5,139
1,15,3.451825,4.61913029446874,1.07327640879203,1.105,872,606.828641370869,622,262,1176,791.518971848225,825,226
1,16,2.6026,3.25498474671927,1.0253955052711,1.11830228471554,872,571.13474025974,591.5,176,992,646.964285714286,706,157
1,17,2.86455,3.53501046020526,1.14399236769168,1.25029996400864,827,542.8598820059,560.5,205,1039,683.290560471976,736.5,119
1,18,3.0589,3.89346717087976,1.04303248550369,1.07200746266059,1064,658.71408839779,692,186,1127,725.122928176796,764,189
1,19,2.6702,3.33766981273101,1.07232884103795,1.16275534829989,784,522.863924050633,540,193,1175,764.503164556962,826,189
1,20,3.27015,3.86654328932551,1.04295960626131,1.13517619777724,807,531.8165374677,549.5,200,1726,1172.97545219638,1235,291
1,21,4.5461,5.59689816806826,1.06933195608202,1.13517619777724,808,520.594795539034,540,159,1492,952.32156133829,1007.5,248
1,23,2.429375,3.18031870505149,1.07255913665717,1.13517619777724,475,306.314782608696,315,79,1066,686.285217391304,723,161
1,24,2.7378,3.09116269709676,1.07145859782737,1.235,658,416.100308641975,424,126,1088,733.541666666667,764.5,192
2,1,3.029325,3.68078210486802,1.07866638684783,1.13517619777724,816,548.542538354254,572,159,1107,746.022315202232,775,201
2,3,3.113825,3.91656420973604,1.0597149030778,1.16275534829989,556,366.816824966079,380,81,1208,808.829036635007,837,183
2,4,2.91525,3.69569929728024,1.06954039517099,1.13517619777724,1097,741.869565217391,761.5,231,1123,737.072463768116,790.5,214
2,5,2.894125,3.682695526217,1.02741108590655,1.07200746266059,434,274.693430656934,282,52,733,464.470072992701,490,122
2,6,2.015325,2.65846717087976,1.05849312387088,1.07200746266059,381,246,255,54,678,438.329140461216,454,80
