Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.9744,3.89808657865101,1.08965367397506,1.07594144822105,1194,754.610795454546,779,241,1307,724.982954545455,706.5,177
1,2,2.589925,3.31913029446874,1.05470775898316,1.16275534829989,1184,758.672104404568,793,276,1709,978.301794453507,1016,247
1,3,4.770025,7.03003138061579,1.08235536048684,1.07594144822105,722,455.776793622675,472,117,1474,875.750221434898,917,182
1,4,5.14605,6.30579256507328,1.08018269309279,1.16275534829989,599,346.580459770115,361.5,53,1711,1017.40968801314,1113,148
1,5,2.76315,3.51923881554251,1.06924289227234,1.105,558,335.565749235474,355,81,1617,962.137614678899,1031.5,181
1,6,1.98575,3.09116269709676,1.07145859782737,0.946414285606467,840,576.625531914894,598.5,197,1497,1023.33191489362,1078,325
1,7,2.17165,2.97878587593125,1.04045922310423,1.05812333874648,971,646.258754863813,660,196,1433,873.873540856031,877,219
1,8,3.891225,4.8234309971885,1.05686436247499,1.07200746266059,739,460.926167209555,492,112,1753,1044.83061889251,1106,227
1,9,2.116725,2.91378587593125,1.03913288888012,1.11830228471554,687,447.710578842315,455,194,1438,914.600798403194,973,274
1,10,3.536325,4.38001046020526,1.06371972143375,1.105,931,584.406212664277,616,117,1665,1018.78853046595,1122,170
1,11,2.758925,3.55078210486802,1.07966912753363,1.07594144822105,742,467.687595712098,500,127,1469,903.814701378254,984,180
1,12,5.31505,6.74040151263927,1.06583299526038,1.13517619777724,731,474.647058823529,496,119,1833,1127.87440381558,1240,235
1,13,3.519425,4.94270598642227,1.0700540911909,1.07200746266059,1223,769.177671068427,803,217,1862,1190.58103241297,1272,266
1,14,3.4645,4.35961940777126,1.02882321552617,1.105,772,479.123170731707,495,148,1527,884.837804878049,940.5,175
1,15,3.375775,4.60193434175951,1.07111484662682,1.07200746266059,756,479.819774718398,504,130,1494,966.234042553191,1048,231
1,16,3.48985,4.18039105243401,1.05432309014729,1.17,990,605.883777239709,630,156,1976,1115.0617433414,1214.5,230
