Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.412475,3.252278760297,1.07633390958664,1.105,1879,1239.33274956217,1296,316,1271,837.77057793345,887,256
1,2,3.967275,5.00961940777125,1.02679313129771,1.07200746266059,1307,871.928647497338,907,263,1192,735.072417465389,769,160
1,3,3.3631,4.61536533894802,1.13279601656172,1.04809350727881,1220,832.494974874372,865.5,292,1259,860.547738693467,889.5,285
1,4,5.2897,7.15923881554251,1.03741614622426,1.0090713552569,1860,1260.83785942492,1287,465,1957,1323.70846645367,1380.5,422
1,5,2.682875,3.6107354709715,1.05261539137041,1.0090713552569,799,517.988976377953,536,151,1370,930.527559055118,967,355
1,6,4.6982,6.12194480196478,1.07908478406561,1.13517619777724,935,613.126798561151,634,189,1448,980.723920863309,1016.5,321
1,7,3.249025,4.36423881554251,1.05257077141232,1.0090713552569,1564,1042.65019505852,1091,272,1410,934.282184655397,979,254
1,8,2.4674,3.47271644662753,1.05162757404923,1.02774023955472,3110,2134.61643835616,2268.5,643,1426,914.993150684931,957,282
1,9,2.72935,3.74763363903975,1.08246560085888,1.07594144822105,1696,1148.83126934985,1184.5,406,1671,1136.37151702786,1165,381
1,10,3.7518,5.18040151263927,1.13485018009509,1.0174109297624,1335,914.67454954955,939.5,302,1205,819.315315315315,850,222
1,11,2.530775,3.53728922050227,1.07873140042028,1.02774023955472,2000,1368.2570951586,1456,423,1337,845.18530884808,891,258
1,12,3.527875,4.80617315730203,1.08176926914207,1.02774023955472,974,628.589221556886,652,172,1327,927.053892215569,950,308
1,13,2.327975,3.22344145739377,1.07578866323702,1.06607926534569,3531,2508.72958257713,2605,948,1407,966.57168784029,1006,316
1,14,4.01375,5.33769073314154,1.04518197640043,1.07594144822105,1142,733.153684210526,761,244,1825,1276.32210526316,1320,387
1,15,3.139175,4.40310749906154,1.0517839955886,1.02774023955472,2677,1938.16823687752,2027,652,1206,834.029609690444,876,279
1,16,3.249025,4.53693434175952,1.08584786347104,1.0090713552569,4116,2884.46423927178,3031,902,1628,1101.31989596879,1141,343
1,17,2.78005,3.75231493398826,1.05449021401442,1.0090713552569,2346,1635.92249240122,1703.5,671,1310,879.469604863222,916.5,365
1,18,2.082925,2.88458323408,1.06974258088128,1.07200746266059,2704,1897.16024340771,1980,617,1511,1028.34482758621,1068,305
1,19,2.0787,2.78846717087976,1.05643273845386,1.0174109297624,1412,957.548780487805,1002,260,1696,1153.91260162602,1198.5,394
1,20,2.851875,3.709557520594,1.06473355250355,1.13517619777724,1872,1258.07259259259,1302,507,1581,1041.03259259259,1070,384
1,21,2.78005,3.59575639138202,1.02902987401584,1.06607926534569,2060,1348.94224924012,1414.5,416,1635,1066.11550151976,1118.5,328
1,22,2.6364,3.39577164466275,1.0241686428036,1.04,1329,833.504807692308,860,225,1440,957.532051282051,995,288
1,23,3.84475,5.18729968070753,1.07549867235367,1.11830228471554,4977,3545.02417582418,3665.5,1555,1746,1220.76703296703,1263.5,419
1,24,2.775825,3.72766981273101,1.0774590983698,1.105,1469,1017.8203957382,1077,285,1361,892.762557077626,937,302
1,25,2.268825,3.08228922050227,1.0457996102789,1.02774023955472,1992,1280.92737430168,1337,473,1505,987.947858472998,1021,271
1,26,2.818075,3.96579256507328,1.0715443046841,1.07594144822105,3795,2682.04647676162,2791,738,1714,1180.18290854573,1240,316
1,27,3.122275,4.03917692836526,1.0460530044857,1.13517619777724,1496,993.615696887686,1026,334,2035,1395.85926928281,1457,478
1,28,2.108275,2.87066312358898,1.08233513003492,1.07594144822105,2652,1817.59118236473,1903,672,1545,1017.24448897796,1051,329
1,29,2.96595,4.02808657865101,1.0638821202286,1.04,2096,1372.07264957265,1427,432,1491,991.407407407407,1035,292
1,31,3.3124,4.69990193913149,1.07064478010612,1.0174109297624,1492,969.829081632653,1016,339,1430,936.130102040816,986,251
1,32,2.801175,3.99228922050227,1.10065024694493,1.04809350727881,1927,1299.604826546,1347,512,1656,1108.95173453997,1167,379
2,1,2.311075,3.14309703885628,1.0692955923574,1.06607926534569,1887,1275.48080438757,1323,387,1451,956.923217550274,1020,256
2,2,3.798275,4.96501046020526,1.07065098277965,1.04,869,566.718576195773,592,173,1439,915.497219132369,994,179
2,3,2.32375,3.19609034971425,1.06565802665717,1.02774023955472,751,467.430909090909,482.5,161,1356,895.374545454545,942.5,195
2,4,3.28705,4.24724258660574,1.0756736428054,1.07594144822105,1084,716.470437017995,735,272,1398,868.466580976864,950.5,213
2,5,3.798275,5.08385822331377,1.06346103789448,1.04,1373,908.637374860957,949,261,1596,1061.2914349277,1117,294
2,6,2.62795,3.31961940777126,1.0403187285783,1.105,701,464.644694533762,485,131,1206,771.556270096463,846,187
2,7,3.012425,4.38690862827352,1.06645852945779,0.990050503762308,1438,964.120617110799,1002,337,1436,951.681626928471,1017,249
2,8,3.798275,5.15113698361077,1.15386979366036,1.07594144822105,1356,888.027808676307,917,218,1509,1038.21245828699,1090,173
2,9,4.930575,6.27616269709676,1.04797897528348,1.07200746266059,2388,1633.66152527849,1723,399,1942,1278.83718937446,1365,211
2,10,3.91235,5.28575639138202,1.42643539420461,1.07200746266059,1387,920.068034557235,951,306,1855,1257.84557235421,1321.5,287
2,11,3.510975,4.78848809129029,1.10596234502827,1.05812333874648,2421,1613.33935018051,1661,484,1695,1137.79061371841,1181,294
2,12,5.0531,6.97575639138202,1.08001897963074,1.02774023955472,2005,1353.69983277592,1409,335,1688,1174.72993311037,1230.5,198
2,13,2.88145,3.68916646816,1.07490110961712,1.105,1694,1146.56891495601,1210,297,1651,1101.02639296188,1159,226
2,14,2.72935,3.85156420973604,1.0656241227493,1.02774023955472,1409,932.712074303406,973.5,250,1696,1094.57894736842,1160.5,249
2,15,3.81095,4.99193434175952,1.06124149049816,1.0174109297624,1659,1089.91574279379,1138,227,1495,979.784922394678,1014,223
2,16,5.108025,7.11228922050226,1.0981588552979,1.0090713552569,1980,1434.04631927213,1492,534,1290,907.684863523573,957,187
2,17,4.26725,5.79885822331377,1.06191145866916,0.975,5646,3970.0801980198,4155.5,1195,1531,1051.66237623762,1097,228
2,18,3.7011,4.95465078838705,1.04703634840256,1.105,2421,1660.81164383562,1722,616,1629,1063.43835616438,1157.5,172
2,19,3.2448,4.49879633613651,1.04234845429987,1.02774023955472,1864,1246.40755208333,1312,268,1784,1191.23307291667,1232.5,234
2,20,2.860325,3.78385822331377,1.12934262909587,1.13517619777724,3051,2092.82570162482,2232,753,1700,1101.73264401773,1187,249
2,21,3.350425,4.80717023922323,1.0663594144384,1.0174109297624,5139,3520.23329129887,3646,917,1754,1178.63808322825,1246,263
2,22,2.606825,3.54339482349724,1.10814988761688,1.105,1078,708.30794165316,737,186,1323,866.80226904376,914,170
2,23,2.285725,3.10231493398826,1.06272177114388,1.0090713552569,1819,1247.75600739372,1292,329,1557,1009.59519408503,1059,178
2,24,3.578575,4.94960415449053,1.08451022566474,1.06607926534569,1444,938.97520661157,972,265,1796,1165.6906729634,1228,257
2,25,3.48985,4.82194480196478,1.11306262708281,1.07200746266059,2295,1560.70338983051,1636.5,522,1723,1141.92978208232,1206,205
2,26,3.003975,3.9784309971885,1.07248096799883,1.07200746266059,3245,2276.25035161744,2381,745,1627,1042.04219409283,1095,200
3,1,2.1632,2.7838477631085,1.0197244553511,1.0090713552569,982,681.685546875,702.5,259,1009,608.431640625,657,132
3,2,2.35755,3.07077164466275,1.02677133581307,1.04,1690,1147.03584229391,1218,263,1251,799.629032258065,878.5,183
3,3,2.5857,3.42269552621701,1.02932625208237,1.0090713552569,584,374.12091503268,390,114,1355,914.687908496732,962,215
3,4,2.3153,3.09344145739377,1.05240254268779,1.07594144822105,2513,1739.69708029197,1834,497,1466,955.709854014599,1037.5,180
3,5,2.83075,3.839557520594,1.08481447796203,1.07594144822105,1837,1305.76417910448,1351,469,1247,814.494029850746,882,177
3,6,2.522325,3.32423881554251,1.0643069377557,1.07594144822105,612,386.874371859297,400,93,1565,1053.32830820771,1121,206
3,7,3.8194,5.06383250982777,1.09196089247605,1.11830228471554,897,576.975663716814,609.5,127,1696,1097.91703539823,1148.5,194
3,8,2.344875,3.17569929728024,1.07280710293711,1.07594144822105,2677,1893.74594594595,2000,533,1450,960.072072072072,1048,211
3,9,2.86455,3.85539105243401,1.04852813742386,1.0090713552569,1424,967.73598820059,1015,296,1526,1036.62241887906,1087,194
3,10,3.350425,4.60655374953077,1.10815658690334,1.0090713552569,2009,1315.2131147541,1389,329,1764,1121.50693568726,1227,271
3,11,2.8561,4.18771644662753,1.07317740370634,1.01116269709676,3310,2417.40532544379,2500,651,1414,982.949704142012,1031.5,234
3,12,2.902575,3.80886868351903,1.07109818872567,1.07200746266059,1726,1140.37409024745,1249,243,1440,915.63173216885,988,149
3,13,3.147625,4.50539105243401,1.04972584733355,0.946414285606467,2524,1838.71812080537,1904,722,1610,1119.52214765101,1185,207
3,14,3.020875,4.07682582068574,1.05655193668984,1.105,1076,686.383216783217,724,152,1412,926.478321678322,995,160
3,15,3.3969,4.80425973595304,1.06938848071687,1.02774023955472,2136,1477.87686567164,1559,468,1516,983.725124378109,1044,201
3,16,4.322175,5.78111127012477,1.06046609955813,1.07594144822105,2036,1341.34017595308,1411,325,1566,982.617790811339,1060,165
3,17,2.25615,2.8488477631085,1.01816502781669,1.04,2236,1479.56367041199,1546,494,1209,707.621722846442,800.5,144
3,18,2.665975,3.49964032818179,1.05106152944082,1.105,2351,1619.1030110935,1695,366,1592,1037.20760697306,1113,141
3,19,3.781375,5.02809703885628,1.17910956584121,1.02774023955472,1857,1277.61787709497,1323,428,1350,885.26592178771,965,145
3,20,3.94615,5.42499520692453,1.05893737920271,1.02774023955472,3600,2492.15631691649,2572.5,819,1307,818.28051391863,910.5,129
3,21,3.0758,3.87769552621701,1.02795548343975,1.07200746266059,1519,1029.51785714286,1063,237,1683,1156.7239010989,1208.5,181
3,22,3.3631,4.94689816806826,1.11344353202528,0.966294468575703,2387,1688.05778894472,1756,495,1931,1302.17713567839,1377,191
3,23,3.679975,4.83771644662753,1.08057449507612,1.07200746266059,4087,2863.25602755454,2961,949,1619,1028.23765786452,1157,229
3,24,3.130725,4.10460415449053,1.04998638905179,1.07594144822105,2967,2026.0620782726,2169,526,1434,892.246963562753,995,149
3,25,5.7798,7.79191908847878,1.14374984151486,1.07594144822105,2277,1554.8019005848,1643.5,363,1638,1122.39766081871,1178,197
3,26,2.995525,4.08150711563425,1.06017463402579,1.0174109297624,2730,1899.39210155148,2008,398,2248,1503.39774330042,1588,210
3,27,3.57435,5.07732539419352,1.17214476971794,1.05812333874648,1867,1143.54137115839,1202.5,289,3277,1943.88888888889,2156.5,345
4,1,2.7209,3.62310749906154,1.01028880179665,1.10308657865101,1497,1009.9751552795,1046,310,1206,754.105590062112,826,114
4,2,2.79695,3.76155374953077,1.08191959463443,1.13517619777724,3586,2406.47583081571,2580,559,1599,985.02416918429,1092.5,142
4,3,4.051775,5.46036533894801,1.19642336257979,1.0174109297624,4545,3269.98331595412,3420,1058,1483,901.467153284672,1006,198
4,4,3.688425,5.20079256507328,1.08233347908253,1.02774023955472,1595,1053.28407789233,1090,306,1344,849.465063001146,916,132
4,5,3.274375,4.44039105243401,1.04310935202441,1.0090713552569,4281,2985.98838709677,3158,913,1293,734.230967741936,818,131
4,6,2.9406,4.05039105243401,1.04658734381606,1.0090713552569,1156,758.831896551724,787,192,1480,994.877873563218,1039,115
4,7,3.25325,4.46078210486802,1.09779279391693,1.0090713552569,2313,1475.48441558442,1593.5,332,1311,800.688311688312,904,109
4,8,4.394,5.89768027293627,1.07893862841062,1.07594144822105,3001,2110.65192307692,2236,683,1330,763.964423076923,836,135
4,9,3.781375,5.01836911001125,1.08837592965233,1.07594144822105,1892,1278.48603351955,1351,251,1547,965.164245810056,1068,119
4,10,3.553225,4.64001046020527,1.06119772726037,1.07200746266059,1391,903.862068965517,952,234,1641,965.67063020214,1088,173
4,11,3.6335,4.70039105243401,1.04408480419768,1.0174109297624,2438,1708.51511627907,1770,478,1378,908.739534883721,970,117
4,12,3.739125,5.02384297003304,1.03532852106963,1.02774023955472,1741,1203.49152542373,1258,355,1656,1076.49265536723,1197,173
4,13,3.282825,4.58148140214825,1.0717648641884,1.02774023955472,2409,1666.54954954955,1742,321,1962,1283.90476190476,1393,134
4,14,4.11515,5.75844145739376,1.07750241290555,1.0090713552569,2403,1586.25359342916,1664.5,440,1623,984.679671457906,1102,143
4,15,3.57435,4.83537579915328,1.05948159396867,1.05812333874648,2310,1585.64657210402,1664,472,1386,824.245862884161,921.5,119
4,17,2.8392,3.5457354709715,1.05332790218109,1.105,1372,812.017857142857,868.5,149,1656,977.840773809524,1087,121
4,18,3.4983,4.71610080991951,1.06286171775785,1.105,1535,1076.72463768116,1130,234,2052,1319.40338164251,1449.5,168
4,19,3.38,4.67617315730203,1.0820967514902,1.0174109297624,3099,2106.71,2235,537,1630,983.02,1095,149
4,20,3.046225,4.10189816806826,1.07830403417338,1.07200746266059,1325,850.314840499307,904,214,1469,872.065187239945,991,119
4,21,3.91235,5.44268027293627,1.07589695708115,1.07200746266059,2517,1726.08099352052,1805.5,371,1493,959.17818574514,1036.5,127
4,23,2.13785,2.84188770786299,1.06353112559553,1.04,988,650.296442687747,681,165,1407,749.324110671937,776,126
4,24,2.78005,3.76765935252575,1.05546200633902,1.0090713552569,2657,1804.42097264438,1975.5,391,1430,847.700607902736,965,113
4,25,2.201225,2.85155374953077,1.10612407301504,1.07594144822105,2415,1647.65451055662,1757,420,1691,1001.07677543186,1117,143
4,26,3.299725,4.42498474671927,1.09051895430057,1.06607926534569,1756,1160.87964148528,1220,273,1725,1095.76184379001,1232,133
4,27,2.35755,3.18579256507328,1.04828424558128,1.07594144822105,2807,1910.06272401434,2074.5,402,1564,983.150537634409,1107.5,124
4,28,3.64195,4.92040151263927,1.07811162029842,1.0090713552569,1771,1157.95707656613,1251,209,1643,977.216937354988,1097,130
4,29,3.01665,3.93616269709676,1.06766290580496,1.07594144822105,784,481.764705882353,520,83,1532,921.49299719888,1035,116
4,30,2.8899,4.00116269709676,1.07844329483967,1.0090713552569,1529,1066.45906432749,1122.5,259,1846,1246.81140350877,1326,169
