Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.5688,3.72532916525676,1.04205011615574,1.02774023955472,658,440.340460526316,456,166,1618,1095.42927631579,1131,429
1,2,2.6364,3.52577164466275,1.02181042602799,1.0090713552569,694,437.61217948718,461,130,1226,864.490384615385,907.5,223
1,3,3.046225,4.32424927574777,1.09517666485811,1.0090713552569,950,600.674063800277,623,189,1632,1043.8294036061,1078,345
1,4,2.556125,3.63069929728024,1.07002437559045,1.0090713552569,594,402.059504132231,419,121,1548,1080.49090909091,1132,399
1,5,3.0927,4.27502092041053,1.08109870010437,1.02774023955472,773,521.460382513661,544.5,144,1503,1055.66256830601,1101.5,350
1,6,2.5688,3.90732539419352,1.0822775231629,1.0090713552569,989,669.289473684211,698,210,1777,1156.24506578947,1198.5,379
1,7,2.708225,3.96308657865101,1.06459220434141,1.0090713552569,840,545.425897035881,573,146,1370,962.83151326053,1007,362
1,8,3.4138,5.22771644662753,1.15844427461493,0.990050503762308,1267,878.842821782178,910,293,1683,1179.70049504951,1216.5,454
1,9,3.350425,4.81079256507328,1.08876785505212,1.02774023955472,687,440.040353089533,456,97,1704,1193.31399747793,1242,375
1,10,6.688175,6.69387914372429,1.11799171981783,1.95,1218,580.41124447252,500,106,1800,1235.55653821857,1268,257
1,11,2.361775,3.13577164466275,1.02435455066902,1.0090713552569,801,518.833631484794,544,155,1677,1140.00894454383,1177,335
1,12,3.94615,5.84696572237531,1.04533299742853,1.01533245786787,619,406.919700214133,420,140,1547,1048.05246252677,1091.5,374
1,13,4.051775,5.79688291478753,1.04870167875326,1.01533245786787,751,463.857142857143,478,139,1655,1136.26590198123,1175,346
1,14,2.192775,3.19885822331377,1.08063059566088,1.04,726,457.410404624277,484,133,1652,1110.12909441233,1171,344
1,15,2.9744,4.57494857302801,1.05999254407067,0.959713498915171,1014,691.416193181818,718,204,1565,1064.88210227273,1128,342
1,16,2.454725,3.70998474671927,1.05625150724929,0.990050503762308,684,469.526678141136,495,168,1573,1138.86058519793,1201,435
1,17,2.235025,3.22116269709676,1.06975529699975,1.0090713552569,870,567.04347826087,593,207,1823,1287.71077504726,1351,509
1,18,1.7745,2.59346717087976,1.05956909575825,0.946414285606467,1250,830.569047619048,869,247,1459,999.3,1059,260
1,19,3.8363,5.68271644662754,1.08968475532817,0.975,691,465.811674008811,483.5,148,1678,1149.56057268722,1195.5,339
1,20,1.9942,2.94958323408,1.06898080280061,1.0090713552569,643,405.125,419.5,115,1432,978.158898305085,1014.5,310
1,21,2.3322,3.18961940777126,1.03820693170169,1.0090713552569,1015,582.822463768116,609,157,1539,1007.1231884058,1039.5,396
1,22,2.598375,3.63808657865101,1.0682883666796,1.04,1030,707.575609756098,737,250,1219,875.671544715447,910,311
1,23,3.071575,4.15346717087976,1.04070286557572,1.0090713552569,644,415.757909215956,437,93,1596,1077.18156808803,1126,352
1,24,2.18855,3.1088477631085,1.01670601290957,0.946414285606467,863,529.57528957529,547,151,1399,964.420849420849,1000.5,319
1,25,2.18855,3.0438477631085,1.01704844576215,0.946414285606467,970,641.600386100386,676.5,194,1545,1064.05212355212,1116.5,395
1,27,1.998425,3.01039105243401,1.07243292719867,0.990050503762308,1036,687.365750528541,718,201,1602,1080.92389006343,1113,327
1,28,2.01955,2.9138477631085,1.01777700919844,0.91,1217,820.228033472803,852,286,1752,1216.26359832636,1246,504
1,29,2.547675,3.81306086516502,1.06238436067384,1.0090713552569,650,408.444444444444,423,102,1620,1131.2271973466,1155,378
1,30,2.674425,3.64923881554251,1.06022959864934,1.07200746266059,815,525.300157977883,549,108,1401,948.251184834123,986,354
1,31,3.4476,5.0038791437243,1.07366711949341,1.0174109297624,701,465.149509803922,486,131,1411,935.490196078431,983,278
1,32,2.277275,3.23502092041053,1.06766221645757,1.01533245786787,706,445.187384044527,457,128,1639,1110.0426716141,1155,360
1,33,2.564575,3.93886868351903,1.07375061921325,1.0090713552569,1634,1147.15156507414,1208,399,1586,1150.70016474465,1200,457
1,34,2.7716,3.73001046020527,1.07060404539402,1.0090713552569,660,421.324695121951,428.5,114,1713,1154.87804878049,1195.5,380
1,35,2.5688,3.71885822331377,1.07624261981353,1.0090713552569,853,548.421052631579,573,138,1473,1040.13651315789,1086.5,365
1,36,3.096925,4.20269552621701,1.02423687679375,1.0090713552569,1034,670.976807639836,709,160,1746,1142.81173260573,1193,377
1,37,3.2955,4.86925973595304,1.08035716152586,1.0174109297624,875,575.603846153846,600,191,1563,1063.11282051282,1102,357
1,38,2.366,3.292695526217,1.03038586360076,0.946414285606467,1130,743.560714285714,784.5,217,1284,830.776785714286,860.5,224
1,39,3.0082,4.13116269709676,1.05897836662197,1.0090713552569,968,632.391853932584,657,188,2057,1333.31601123596,1375,527
1,40,3.460275,5.1227269068328,1.05599108064292,1.01533245786787,883,592.717948717949,616,192,1664,1173.81562881563,1205,477
1,41,3.9208,5.28809703885628,1.08080606803408,1.0090713552569,913,617.867456896552,638,147,2132,1519.37823275862,1583,553
1,42,2.843425,4.05266981273101,1.07915716526226,1.07200746266059,603,382.472511144131,393,91,1567,1113.23774145617,1176,318
1,43,3.282825,4.70309703885628,1.08234422849334,1.02774023955472,803,531.362934362934,554,176,1628,1094.70656370656,1147,374
1,44,2.6702,4.01921310205652,1.06976759679033,0.990050503762308,1196,790.81170886076,829,261,1586,1100.03639240506,1136,396
1,45,2.9406,3.99654328932551,1.03677610832671,1.0090713552569,703,461.334770114943,487,160,1534,1047.85201149425,1101.5,325
1,46,3.612375,5.19808657865101,1.06025953123018,0.990050503762308,1337,833.991812865497,866,199,1462,1012.04210526316,1050,350
1,47,2.4505,3.85156420973604,1.06185320362057,0.990050503762308,1062,734.934482758621,771,263,1469,1010.70344827586,1038.5,371
1,48,3.536325,4.88885822331376,1.07120015450098,1.0090713552569,975,628.89486260454,652,195,1490,974.175627240143,1028,260
1,49,2.818075,3.9538477631085,1.01324436148967,1.0090713552569,937,635.23988005997,664,248,1783,1248.5952023988,1293,514
1,50,6.020625,8.34388960392956,1.10694576367927,1.02774023955472,1400,945.246315789474,994,300,2165,1561.19649122807,1631,534
1,51,2.56035,3.642278760297,1.07343702606621,0.946414285606467,820,527.871287128713,553.5,138,1281,856.282178217822,905.5,229
1,52,2.4843,3.55269552621701,1.03052792900537,0.946414285606467,757,466.222789115646,483,174,1758,1260.23469387755,1302,455
1,53,3.215225,4.77228922050227,1.09447826721359,1.01116269709676,1102,745.865965834428,781,209,1467,988.298291721419,1022,343
1,54,2.412475,3.42348809129029,1.03451779686442,1.02774023955472,947,634.697022767075,666,197,1355,900.264448336252,942,372
1,55,2.52655,3.68959369428526,1.07560444173522,1.0174109297624,994,674.54347826087,710,265,1735,1246.62040133779,1284,586
1,56,2.2477,3.55959369428526,1.07378391984472,0.946414285606467,988,638.971804511278,658.5,176,1588,1099.78383458647,1140.5,412
1,57,1.913925,2.74109034971425,1.0649689967736,1.07594144822105,535,349.651214128035,364,123,1660,1132.49668874172,1169,460
1,58,2.243475,3.13762317883449,1.07401845327827,1.0090713552569,678,428.53483992467,442,123,1745,1147.83050847458,1179,443
1,59,2.353325,3.30193434175952,1.07790577136014,1.0090713552569,749,472.337522441652,495,136,1496,1035.07360861759,1079,372
1,60,3.088475,4.94270598642227,1.10101245366189,0.884095583067804,1149,779.389876880985,802,285,1900,1332.97948016416,1374,433
