Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,3.046225,4.10651757583951,1.07810282461336,1.02774023955472,2701,1795.10540915395,1908,610,1886,1203.24549237171,1307,242
1,2,2.911025,4.28383250982777,1.06078036747866,1.07594144822105,3471,2464.74020319303,2570,600,1649,1128.12626995646,1229,210
1,3,3.147625,4.79231493398826,1.04802892011364,0.946414285606467,3989,2724.28053691275,2805,844,1621,1098.42147651007,1126,219
1,5,3.0589,4.4111265234055,1.1307440309726,1.07200746266059,3340,2367.52762430939,2420,812,1645,999.165745856354,1063,233
1,6,3.1772,4.42732539419352,1.08169915371763,1.04,4822,3411.72739361702,3535.5,926,1573,1008.56515957447,1109,192
1,7,5.14605,7.4404224330498,1.20485996041025,1.0090713552569,6383,4508.40804597701,4627,1703,1312,810.877668308703,870.5,218
1,8,2.235025,3.36040151263927,1.08033904827525,0.990050503762308,7853,5291.3572778828,5521,1584,1778,1132.50283553875,1202,199
1,9,2.775825,3.78151757583951,1.07496192228751,1.04809350727881,3132,2163.46270928463,2309,750,1525,933.972602739726,1011,211
1,10,4.719325,6.49425973595304,1.13120458963843,1.0174109297624,6199,4306.75559534467,4459,1474,1533,988.767233661594,1082,239
1,11,2.0618,2.82924927574778,1.06037115235574,1.06607926534569,4074,2758.68442622951,2817,919,1875,1215.60860655738,1298.5,278
1,13,3.603925,4.5880142312685,1.10329214802309,1.19854077944808,1894,1230.97655334115,1238,380,1986,1237.36459554513,1325,240
1,14,3.502525,4.91763363903975,1.07674100070356,1.07594144822105,1572,1065.5681544029,1110,425,1367,790.530759951749,861,164
1,15,2.826525,4.06844145739376,1.0766049303208,1.07200746266059,3135,2150.02092675635,2282,715,1669,1052.14050822123,1153,299
1,17,3.291275,4.26578210486802,1.07355367376469,1.07200746266059,845,583.530166880616,607,210,1644,1026.22593068036,1110,215
1,18,2.277275,3.06651757583951,1.0738742953148,1.07594144822105,2344,1571.70686456401,1607,432,1730,1133.35621521336,1206,237
1,19,2.057575,2.77959369428526,1.05692366346757,1.06607926534569,2118,1363.98562628337,1412,467,2377,1520.41273100616,1648,333
1,20,5.3235,6.98456798079926,1.08717920601802,1.08181560351106,1333,940.946825396825,973,287,1599,1030.03095238095,1076.5,233
1,21,4.448925,5.63731493398826,1.03882538132999,1.04,2803,1906.61348528015,1989,593,1831,1162.52706552707,1261,249
1,22,2.2984,2.94077164466275,1.02586010971339,1.07200746266059,1583,1082.73529411765,1112.5,451,1616,1045.71691176471,1151,226
1,23,2.860325,3.88502092041053,1.07749746481129,1.04,2885,1952.28064992614,2058,669,1702,1115.82422451994,1227,236
1,24,1.78295,3.21924927574778,1.08883232265633,0.872066511224918,2805,2243.63744075829,2324,1156,1811,1276.37203791469,1355.5,505
1,25,2.480075,4.64690862827352,1.0713328674843,0.872066511224918,2464,1768.0800681431,1876,431,2148,1490.57751277683,1590,235
1,26,2.598375,3.34605417602299,1.0540844825604,1.07594144822105,1825,1235.13658536585,1279,357,1782,1187.21788617886,1257,272
1,27,2.71245,3.73654328932551,1.04243372038043,1.0090713552569,1403,896.207165109034,921.5,362,1510,913.084112149533,983,220
1,28,3.38,4.42923881554251,1.05195703127728,1.0090713552569,3241,2205.665,2305,658,1590,1013.62,1105.5,234
1,29,4.06445,5.42001046020526,1.06198951157454,1.0090713552569,2247,1408.79106029106,1399,478,1636,945.058212058212,1021,211
1,30,3.3631,4.59114744381603,1.03849657705458,1.02774023955472,3158,2262.85552763819,2412.5,624,2040,1327.34422110553,1428,272
1,31,3.60815,5.58574593117676,1.0730926030497,0.946414285606467,7418,5162.87822014052,5277,1733,1905,1221.77985948478,1272,216
1,32,3.38,4.60193434175951,1.06479696347014,1.0090713552569,2191,1502.53875,1601,412,1637,1068.77875,1164,177
1,33,2.3153,3.31451088669748,1.06488832543677,1.0090713552569,5862,4007.99635036496,4129,1420,1794,1209.87773722628,1271,391
1,34,2.7378,3.67616269709676,1.06407475837916,1.04,4534,3140.20833333333,3228,951,1789,1128.64351851852,1225.5,225
1,35,3.5321,4.73655374953077,1.07604909883854,1.07200746266059,4183,2803.77631578947,2895,756,1624,995.674641148325,1070,242
1,36,2.429375,3.60924927574778,1.07966912753363,1.0090713552569,4632,3145.1547826087,3278,1063,1529,978.881739130435,1095,248
1,37,2.327975,3.64498474671927,1.04619959028812,0.990050503762308,2452,1821.03811252269,1870,605,1302,891.655172413793,932,300
1,41,3.5321,4.74117315730203,1.10860968253915,1.07200746266059,1602,1106.20215311005,1123,488,1499,904.954545454546,992,219
1,42,2.4505,3.38732539419352,1.07891241845699,1.13517619777724,1818,1224.35517241379,1277.5,355,1401,892.779310344828,970,200
1,43,2.015325,2.31769552621701,1.04154783370988,1.17,1357,890.287211740042,903,318,1862,1237.7106918239,1300,295
1,44,2.40825,3.29497428651401,1.08970776330899,1.0090713552569,3359,2266.86315789474,2383,588,2072,1313.19122807018,1397,265
1,45,3.409575,4.77654328932551,1.03500396301744,0.946414285606467,5278,3645.69640644362,3799,1225,1500,1025.38661710037,1069,198
1,47,3.392675,4.78763363903975,1.07610030755259,1.02774023955472,1253,852.454545454546,878,244,1640,1033.87297633873,1125,213
1,48,3.43915,4.56422356226178,1.04248343398031,1.06607926534569,3444,2343.14496314496,2446.5,666,1716,1139.11056511057,1203,260
1,49,3.35465,4.74117315730203,1.08194582775902,1.0090713552569,6284,4352.39294710327,4588,1295,1691,1107.03274559194,1194,233
1,50,4.5461,6.02540151263927,1.1034751992593,1.07200746266059,1946,1350.8624535316,1403.5,406,1675,1085.88197026022,1167,264
1,51,4.13205,5.69806086516502,1.08019674461427,1.02774023955472,4324,3066.52351738241,3172.5,841,1882,1254.29345603272,1326.5,266
1,52,2.88145,4.05118361750729,1.04901384098168,0.975,6455,4459.05571847507,4656,1523,1721,1113.45307917889,1206.5,202
1,53,2.801175,3.68035487874275,1.07060707185097,1.07594144822105,2079,1424.27601809955,1476,468,1827,1211.10256410256,1303,244
1,56,3.916575,5.34805040495975,1.06674385725839,1.0090713552569,1506,1024.48651564186,1053,346,1504,988.983818770227,1048,238
1,57,3.13495,4.19616269709676,1.0745967456506,1.0090713552569,2642,1847.42722371968,1912,648,1610,988.898921832884,1088,162
1,59,3.72645,5.35999520692453,1.06236197846681,1.02774023955472,9490,6904.11224489796,7122,2307,1853,1255.92970521542,1351.5,232
1,60,3.6842,5.06617315730203,1.08084894017939,1.07200746266059,1514,1035.90252293578,1058,383,1935,1221.05275229358,1249,356
