Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.978625,3.99690862827352,1.05564752464473,1.13517619777724,1166,775.26524822695,806,229,1968,1325.84397163121,1406,345
1,2,3.080025,4.05877541572599,1.08946674308309,1.07200746266059,894,574.23731138546,594,129,1553,1035.77777777778,1092,264
1,3,3.578575,4.72114744381603,1.0461902977599,1.07594144822105,2438,1729.28925619835,1816,613,1771,1209.38842975207,1265,282
1,4,2.851875,4.33497428651401,1.07595594332616,0.946414285606467,3152,2266.30518518519,2383,655,1674,1137.43259259259,1186,296
1,5,1.521,1.99269552621701,1.04721819226499,1.07594144822105,1309,860.369444444444,905,205,2208,1377.86388888889,1430,332
1,6,2.167425,2.84040151263928,1.0863683887459,1.105,1567,1026.98245614035,1057,259,1981,1278.94931773879,1321,395
1,7,2.454725,3.42220641291449,1.0544638728349,1.02774023955472,834,501.175559380379,519,144,1872,1265.55249569707,1332,324
1,8,2.099825,2.87109034971425,1.05467513757083,1.06607926534569,1291,844.89939637827,886,228,2096,1352.58752515091,1419,333
1,9,2.40825,3.25881158941724,1.05812682091421,1.0090713552569,2103,1441.24210526316,1513,380,1851,1247.28947368421,1333.5,281
1,10,2.1632,2.98346717087976,1.05356128345522,1.0090713552569,2093,1440.431640625,1515,419,1670,1099.447265625,1169.5,253
1,11,2.158975,2.99036533894802,1.04450381026027,1.02774023955472,2503,1749.7553816047,1847,445,2422,1631.6771037182,1713,385
1,12,2.30685,3.2634309971885,1.07187160469142,1.0090713552569,1358,908.79304029304,938.5,289,2019,1389.61538461538,1452.5,361
1,13,2.480075,3.35763363903975,1.04983864651972,1.06607926534569,1609,1108.45655877342,1166,311,1621,1096.97955706985,1155,274
1,14,3.130725,4.40040151263927,1.08099865597707,1.0090713552569,1222,814.762483130904,842,230,1666,1089.9028340081,1143,225
1,15,3.274375,4.44494857302801,1.05505972086225,1.06607926534569,1380,925.202580645161,955,329,1713,1139.84,1204,289
1,16,4.017975,5.29462986797652,1.06956763273314,1.0090713552569,2322,1599.8832807571,1676,538,1664,1142.32386961094,1225,215
1,17,4.26725,5.91807132537028,1.07622067219851,1.07594144822105,1254,839.258415841584,870,287,1646,1047.38118811881,1129.5,255
1,18,2.50965,3.32694480196478,1.07075259750814,1.07594144822105,748,476.456228956229,489.5,116,1764,1201.27946127946,1246,300
1,19,3.0251,3.87769552621701,1.02795548343975,1.07200746266059,935,633.744413407821,657,184,1761,1204.71229050279,1276.5,324
1,20,2.784275,3.90832247611473,1.06609326326249,1.07594144822105,757,502.688922610015,525,146,1836,1265.12443095599,1313,298
1,21,4.9348,6.4877269068328,1.08741231991157,1.10308657865101,843,540.317636986301,562,169,2322,1478.66866438356,1568,405
1,22,2.429375,3.18265935252575,1.08701560152206,1.07200746266059,3049,2101.3947826087,2218,689,2234,1475.97913043478,1547,382
1,23,4.170075,5.70076685158729,1.05921596640021,1.04809350727881,1819,1229.28470111449,1268,501,1915,1287.30699088146,1388,368
1,24,3.603925,5.17806086516502,1.07908472080848,1.02774023955472,3785,2695.73974208675,2796,967,1719,1142.02696365768,1234,292
1,25,2.311075,3.31308657865101,1.07217384563508,1.0090713552569,1049,692.504570383912,713,264,2012,1307.47349177331,1364,305
1,26,2.387125,3.26847763108502,1.11059376228375,1.07200746266059,1130,776.047787610619,791,282,1864,1208.1185840708,1229,320
2,1,3.6166,5.02809703885628,1.09903694776481,1.04809350727881,1467,972.454439252336,1010,293,1817,1159.63317757009,1175,333
2,2,3.57435,4.89341574390777,1.04198989378632,1.06607926534569,1769,1146.52718676123,1184,369,1484,1000.31914893617,1014.5,352
