Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.6533,3.52656420973604,1.05096882167725,1.105,4788,3511.15605095541,3625,1550,1151,751.614649681529,791,145
1,2,2.251925,3.10231493398826,1.06272177114388,1.0090713552569,4162,2980.9512195122,3090,1256,1464,1015.25703564728,1045,306
1,3,2.471625,3.26762317883449,1.07373803283463,1.13517619777724,5322,3837.9641025641,3926,1377,1677,1147.0905982906,1187,539
1,4,3.916575,5.18693434175951,1.07679276693591,1.0090713552569,2467,1750.28478964401,1810,716,1205,782.098166127292,839,155
1,5,2.006875,2.78421310205652,1.00904776058394,1.01533245786787,5261,3729.01263157895,3845,1661,1287,855.928421052632,891,230
1,6,3.2448,4.55960415449053,1.07601746138377,1.07594144822105,2563,1849.96875,1944.5,671,1715,1171.13411458333,1234,361
1,7,2.175875,3.05536533894802,1.04872065698367,1.06607926534569,2571,1765.80776699029,1824,665,1210,813.330097087379,837,195
1,8,3.718,4.93155374953077,1.07457772286381,1.07200746266059,6523,4849.86704545455,5092,1862,1780,1243.34204545455,1297,448
1,9,3.042,4.04613698361077,1.0675488738185,1.10691011378522,1503,961.925,995.5,356,1600,1068.44861111111,1103.5,413
1,10,5.65305,7.52459369428526,1.08900650989566,1.07200746266059,4031,2892.90582959641,3004,1064,1939,1393.24514200299,1460,439
1,11,2.243475,3.18870306834347,1.04661196314445,1.02774023955472,1933,1312.36723163842,1346,486,1395,952.911487758945,981,232
1,13,4.220775,5.40232539419352,1.07657490619211,1.07594144822105,2955,2060.51351351351,2172,654,1357,902.75975975976,932,286
1,14,2.395575,3.1761265234055,1.07842504002355,1.07200746266059,5712,3992.89065255732,4124,1482,1362,940.403880070547,987,253
1,15,2.7547,3.63346717087976,1.0456269584503,1.07200746266059,2806,2036.87883435583,2147,823,1414,953.449386503067,1009.5,264
1,16,2.15475,2.8307354709715,1.06218967015816,1.07200746266059,2137,1474.96274509804,1511,515,1263,816.064705882353,878,221
1,17,3.1772,4.13195526217004,1.03325927426489,1.16275534829989,1935,1365.43882978723,1403.5,543,1346,906.462765957447,939,203
1,18,2.00265,2.80885822331377,1.08236141971605,1.07200746266059,2322,1534.15400843882,1586,608,1593,1086.43670886076,1129,403
1,20,2.4167,3.1088477631085,1.01670601290957,1.07200746266059,2955,2118.20104895105,2231.5,874,1660,1134.29545454545,1169.5,335
1,21,3.62505,4.70501046020526,1.06058991839668,1.07200746266059,1555,1019.88578088578,1048,332,1894,1287.3041958042,1331.5,390
1,22,2.99975,4.30385822331377,1.07060404539402,1.0090713552569,3149,2270.59154929577,2358,797,1541,1117.00845070423,1166,450
1,23,3.147625,4.19616269709676,1.05830080632957,1.07200746266059,4936,3497.91812080537,3640,1237,1650,1137.88187919463,1183,391
1,24,4.38555,5.91265935252575,1.04528693825251,1.04,2806,2058.34489402698,2162,909,1697,1188.5655105973,1234.5,359
1,25,1.9942,2.63382204962251,1.05865452985745,1.16275534829989,754,475.919491525424,486.5,180,1249,787.728813559322,830.5,202
1,26,2.370225,3.14728922050227,1.04742042029138,1.11830228471554,2574,1810.43493761141,1875,675,1442,936.322638146168,984,282
1,27,3.74335,5.31693434175952,1.07038870358399,0.975,7445,5414.79683972912,5631,2293,1679,1151.95259593679,1198,319
1,28,2.885675,3.76340528370251,1.04854946135506,1.105,2128,1471.18887262079,1547,546,1609,1106.08491947291,1154,311
1,29,2.9406,3.89346717087976,1.04941585283707,1.0090713552569,1289,875.853448275862,914.5,298,1388,964.443965517241,1003,287
1,30,2.86455,3.74954706038874,1.07304152984772,1.07594144822105,1630,1106.28613569322,1146,455,1434,996.076696165192,1065,317
1,31,2.78005,3.85113698361077,1.08370893093562,1.07594144822105,3754,2597.25075987842,2662.5,1147,1251,841.054711246201,874,217
1,32,3.38,4.66693434175952,1.08339585221192,1.0090713552569,3595,2480.03375,2514.5,846,1472,946.2475,990,301
1,33,3.443375,4.74265935252575,1.05700519767401,1.0090713552569,2191,1523.2773006135,1565,603,1531,1066.85521472393,1105,313
1,34,2.877225,4.03079256507328,1.1100184766815,1.07594144822105,5074,3671.29368575624,3797,1465,1230,839.668135095448,870,217
1,35,2.015325,2.79117315730203,1.0523647784842,1.06607926534569,6496,4797.52201257862,4963,2107,1997,1341.19496855346,1392,398
1,36,2.184325,2.79579256507328,1.01324436148967,1.06607926534569,2125,1421.89555125725,1476,459,1514,1012.67311411992,1052,298
1,37,4.9517,6.86806086516502,1.11131343160644,1.0174109297624,4012,2646.47098976109,2697,830,1797,1180.53156996587,1207.5,365
1,38,3.054675,4.10885822331377,1.07248911335735,1.04,4932,3449.19502074689,3593,1102,2143,1439.6694329184,1490,481
1,39,3.1603,4.57075639138202,1.06483342525065,0.990050503762308,5906,4239.27673796791,4370.5,1810,1677,1176.42780748663,1233,436
1,40,2.750475,3.62693434175952,1.0746483916862,1.07200746266059,3342,2379.62826420891,2466,1082,1255,829.198156682028,874,260
1,41,2.7885,3.75231493398826,1.060165278012,1.07200746266059,2847,1951.52424242424,2030,682,1763,1217.81666666667,1272.5,364
1,42,3.50675,4.59810749906154,1.07416513662436,1.14996739084202,1935,1353.39879518072,1391,552,1597,1099.91445783133,1135.5,327
1,43,3.87855,5.23652803604478,1.09136914787653,1.07594144822105,1913,1343.69498910675,1371,520,1701,1175.50653594771,1225.5,319
1,44,2.3491,3.26805040495976,1.07856302159913,1.0090713552569,4446,3262.04496402878,3347.5,1447,1348,946.444244604317,978.5,246
1,45,2.6364,3.51689816806826,1.07867625445728,1.13517619777724,2277,1587.81570512821,1665,629,1628,1122.6266025641,1177.5,332
1,46,2.59415,3.43002092041053,1.06828836667959,1.07594144822105,4651,3370.00977198697,3505,1439,1611,1097.66449511401,1143.5,356
1,47,2.125175,2.80423881554251,1.0715443046841,1.0174109297624,2914,2051.51292246521,2175,874,1477,999.79324055666,1045,302
1,48,4.1236,5.50114744381603,1.08808354177045,1.07594144822105,3455,2356.90368852459,2424,964,2045,1412.72540983607,1458.5,454
1,49,1.8252,2.35996382630874,1.05160795273933,1.105,2008,1329.53009259259,1365,558,3555,2367.84490740741,2491.5,671
1,50,2.704,3.55454706038874,1.07391436930742,1.07594144822105,2972,2120.225,2228,827,1502,1030.865625,1076.5,320
1,51,2.9575,3.969557520594,1.08279666191854,1.07594144822105,2314,1641.65428571429,1715.5,613,1552,1104.48428571429,1177.5,372
1,52,2.370225,3.19694480196478,1.05998511413923,1.05812333874648,1949,1360.13368983957,1412,526,1485,1007.43315508021,1062,248
