Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,1.922375,2.537278760297,1.07685479130642,1.17,1148,739.907692307692,765,166,3367,2220.17582417582,2344,581
1,2,2.649075,3.4584309971885,1.06992589870248,1.07200746266059,788,498.976076555024,516,158,1354,883.821371610845,932,185
1,3,4.719325,6.22878587593125,1.07447731693329,1.07594144822105,3036,2096.78513876455,2199,667,1789,1185.98478066249,1263,360
1,5,3.5828,4.7584309971885,1.05741801418268,1.07200746266059,864,532.123820754717,548,220,1286,837.754716981132,887.5,205
1,6,2.429375,3.46347763108502,1.082039609461,0.990050503762308,1897,1277.45565217391,1338,429,1323,904.869565217391,961,198
1,7,4.491175,6.23383250982777,1.15876798317134,1.0090713552569,654,408.69896519285,422,114,1403,897.769520225776,962,197
1,8,3.84475,5.56110080991951,1.08055848099338,1.07594144822105,982,654.692307692308,675.5,152,1140,737.830769230769,764,156
1,9,3.81095,5.16456798079927,1.06971762087713,1.07594144822105,1360,884.443458980044,913.5,238,1540,1019.84922394678,1068,282
1,10,3.64195,5.03462986797652,1.07164910887391,1.0090713552569,640,404.381670533643,417,110,1441,928.003480278422,979,219
1,11,4.2419,5.80718069942849,1.07796640240786,1.07594144822105,2887,2021.89143426295,2108,522,1277,864.351593625498,894,184
1,12,3.79405,5.462278760297,1.07306003675808,1.0090713552569,1783,1198.02561247216,1237,406,1808,1257.63363028953,1307,278
1,13,2.23925,3.20724258660574,1.07113883065688,1.02774023955472,1413,921.083018867925,956.5,251,1585,1070.79433962264,1124,266
1,14,3.384225,4.749557520594,1.14719512070307,1.02774023955472,914,581.706616729089,604,147,1618,1090.52309612984,1130,289
1,15,3.941925,5.37078210486802,1.08383051359597,1.0090713552569,1157,774.039657020364,811,228,1473,963.024651661308,1003,196
1,16,2.59415,3.23231493398826,1.08078642979138,1.13517619777724,700,430.92996742671,449,113,1472,991.838762214984,1041.5,257
1,17,4.04755,5.48039105243401,1.03586998826175,1.07200746266059,1736,1166.86638830898,1213.5,318,1291,886.451983298539,916.5,228
1,18,3.45605,4.68923881554251,1.06091375917251,1.0090713552569,1647,1093.08190709046,1117,286,1676,1034.9804400978,1093,218
1,19,2.378675,3.31536533894802,1.06238656818714,1.02774023955472,998,678.513321492007,709,202,1310,894.802841918295,937,208
1,20,3.2448,4.38001046020526,1.06371972143375,1.0090713552569,975,629.563802083333,653,236,1579,1063.20052083333,1117,225
1,21,3.274375,4.99655374953077,1.08863193425001,0.946414285606467,1831,1263.66322580645,1314,412,1658,1123.69677419355,1151,273
1,22,2.235025,3.08001046020527,1.07776210103145,1.07200746266059,1214,804.156899810964,839,265,1533,1044.67674858223,1099,239
