Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,3.38845,5.19191908847879,1.0556666786845,0.937443331620637,4374,3072.98503740648,3152.5,1021,1208,755.382793017456,791.5,205
1,2,1.736475,2.80232539419353,1.07180541542627,0.990050503762308,982,630.688564476886,644,247,1186,735.824817518248,789,225
1,3,1.989975,2.84188770786299,1.05116406410913,0.946414285606467,2338,1543.3821656051,1588,347,1069,650.632696390658,674,150
1,4,1.728025,2.71188770786299,1.05295186881664,0.946414285606467,940,599.481662591687,608,182,1248,769.665036674817,819,246
1,5,2.530775,3.82846717087976,1.04365474598586,0.946414285606467,686,428.95325542571,441,96,1409,946.510851419032,988,268
1,6,2.091375,2.94077164466275,1.02586010971339,0.946414285606467,505,313.614141414141,327,106,1771,1188.10303030303,1233,342
1,7,2.2477,3.23416646816,1.06935046605856,1.02774023955472,1901,1212.27631578947,1256.5,332,1257,831.009398496241,845.5,201
1,8,1.7407,2.55496382630874,1.05620084922743,0.946414285606467,561,346.983009708738,360,83,1203,713.055825242718,736,155
1,9,1.69845,2.67232539419353,1.06508151606746,0.990050503762308,637,403.86815920398,409,139,1257,820.878109452736,849,245
1,12,1.930825,3.08882204962251,1.07282782938659,0.930658369112963,1788,1206.18599562363,1231,503,938,619.916849015317,644,102
1,13,1.8759,2.77269552621701,1.03549475603858,0.975,536,327.349099099099,337,91,888,591.308558558559,614,163
1,14,2.209675,3.39847763108502,1.11217959337001,1.0090713552569,1210,798.304015296367,819,201,1243,814.5965583174,843,227
1,15,2.387125,3.46809703885628,1.07269939685489,1.0174109297624,1217,822.463716814159,863,226,1192,766.24778761062,804,159
1,16,2.2308,3.42078210486802,1.08057449507612,1.0090713552569,416,250.462121212121,252.5,80,868,557.022727272727,593.5,181
1,17,3.05045,4.72348809129029,1.07495768305416,0.990050503762308,715,441.857340720222,454,135,1462,944.015235457064,980.5,222
1,18,1.96885,3.06566312358898,1.06478413507583,0.946414285606467,584,347.418454935622,355,90,1012,667.618025751073,692.5,194
1,19,1.973075,3.02886868351903,1.04589197983166,0.990050503762308,600,357.284796573876,368,114,980,610.477516059957,635,174
1,20,1.5886,2.60270598642227,1.07866638684783,0.990050503762308,303,163.928191489362,163,34,967,590.159574468085,611,138
1,21,2.74625,4.67425973595304,1.07957985073591,0.930658369112963,896,598.423076923077,609.5,214,969,613.72,640,170
1,23,3.0589,4.41617315730203,1.08239213056679,1.0090713552569,1055,699.230662983425,719,222,1255,812.477900552486,835.5,236
1,24,2.0787,3.2411265234055,1.07839726507371,0.990050503762308,1400,933.80487804878,973,285,1110,698.44918699187,726,179
1,25,1.8421,3.00805040495976,1.07739155591069,0.930658369112963,1754,1163.23623853211,1201.5,355,1173,774.378440366972,787,218
1,26,2.589925,3.93616269709676,1.06108653953442,0.946414285606467,621,376.719412724307,387,94,1326,828.048939641109,871,167
1,27,2.83075,4.01310749906154,1.03476668459675,1.02774023955472,1222,802.802985074627,838.5,278,1356,902.286567164179,946,213
1,28,2.319525,3.6311265234055,1.07708973051706,0.946414285606467,1095,738.04189435337,763,222,1302,885.367941712204,926,240
1,29,2.404025,3.35073547097149,1.05555919877954,1.0090713552569,1158,763.530755711775,802,248,1371,850.905096660808,894,190
1,30,2.84765,4.51228922050227,1.07786457328211,0.946414285606467,2378,1672.8234421365,1762.5,508,1366,919.890207715134,959,218
1,31,3.012425,4.45616269709676,1.06793882324476,0.975,1232,763.970546984572,775,282,950,602.058906030856,627,152
1,32,3.7518,5.36154328932551,1.02817832077932,0.946414285606467,712,467.94481981982,484,125,1469,974.318693693694,1010.5,236
1,33,2.082925,3.01039105243401,1.05889298903198,0.975,504,300.484787018256,303,75,1012,659.549695740365,683,181
1,34,2.742025,4.3257354709715,1.05621260896304,0.867208164168212,1818,1205.07087827427,1237,363,1166,800.71186440678,810,243
1,35,2.116725,3.30421310205652,1.04595920349553,0.990050503762308,851,542.079840319361,564,184,1404,873.39121756487,911,212
1,36,3.274375,5.15809703885628,1.08129196811767,0.946414285606467,1752,1192.42064516129,1221,458,1367,876.869677419355,904,252
1,37,1.85055,2.65846717087976,1.05849312387088,0.946414285606467,668,413.972602739726,426,118,1287,834.623287671233,870.5,221
1,38,1.95195,3.06651757583951,1.06237696677618,0.990050503762308,906,551.720779220779,566.5,164,1145,731.75974025974,748,202
1,39,2.015325,3.20347763108502,1.08036946009204,1.0090713552569,1125,705.930817610063,733,202,1254,812.706498951782,842,168
1,41,2.598375,3.86654328932551,1.04104122400033,0.946414285606467,1449,961.182113821138,984,353,1145,722.965853658537,769,162
