Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,2,2.20545,3.29731493398826,1.06005727715878,0.946414285606467,548,349.896551724138,362,101,1291,826.335249042146,906.5,95
1,4,3.48985,5.28994857302801,1.06862196482413,1.0090713552569,391,220.610169491525,228,44,1288,851.933414043584,877.5,154
1,5,3.527875,5.27232539419352,1.07739245167326,0.975,533,314.638323353293,321,108,1390,873.68622754491,934,238
1,6,2.37445,3.21192388155425,1.00824339664216,0.975,498,286.421708185053,300,61,1435,906.195729537367,942.5,155
1,7,2.57725,3.67154328932551,1.04530702901419,0.946414285606467,725,449.685245901639,467.5,115,1352,902.493442622951,948,160
1,8,2.649075,3.75231493398826,1.05449021401442,0.946414285606467,722,484.253588516746,505,151,1392,964.998405103668,1028,152
1,9,1.989975,3.0461265234055,1.07824785424096,0.990050503762308,527,306.087048832272,308,85,1115,707.670912951168,724,183
1,10,1.888575,2.84459369428526,1.05706447478004,1.02774023955472,541,323.659955257271,337,102,1302,839.178970917226,893,145
1,13,2.251925,3.11346717087976,1.0517839955886,1.0090713552569,523,299.724202626642,310,66,1244,778.240150093809,823,242
1,14,3.054675,4.48998474671927,1.070988589171,1.02774023955472,480,271.614107883817,281,67,1429,885.879668049792,949,149
1,15,2.446275,3.75231493398826,1.060165278012,0.946414285606467,367,219.758203799655,226,59,1296,843.844559585492,873,204
1,16,2.868775,4.16923881554251,1.05449021401442,0.975,704,425.166421207658,435,138,1318,880.173784977909,915,148
1,17,3.13495,4.47229968070753,1.04333274196367,1.04809350727881,525,323.510781671159,337.5,78,1553,969.020215633423,1027.5,139
1,18,2.86455,4.14693434175952,1.077169406679,1.0090713552569,622,375.026548672566,377,105,1317,837.59587020649,855.5,222
1,19,2.209675,3.37617315730203,1.07375061921325,1.0090713552569,607,391.648183556405,414,115,1149,726.049713193117,782,102
1,20,2.826525,4.26848809129029,1.06627517017068,0.990050503762308,699,446.423019431988,458,103,1369,891.04932735426,924,224
1,21,3.5321,5.33923881554251,1.04455484901689,0.946414285606467,684,443.416267942584,446,96,1422,977.697368421053,985,178
1,22,2.209675,3.33724258660574,1.07289366056904,0.990050503762308,440,267.116634799235,272,50,1457,934.034416826004,983,111
1,23,2.873,4.10232539419352,1.08237384753596,1.07200746266059,616,372.851470588235,390.5,101,1896,1217.49117647059,1277.5,257
1,24,4.017975,5.93994857302801,1.12264801432376,0.990050503762308,470,279.920084121977,288,76,1614,1020.73080967403,1067,127
1,25,2.513875,3.6534309971885,1.06794200304375,1.0090713552569,653,395.887394957983,401,98,1484,954.087394957983,978,249
1,26,3.33775,4.93425973595304,1.10202270322049,1.02774023955472,537,328.588607594937,338,85,1695,1123.14683544304,1185,193
1,27,3.080025,4.51080302527855,1.04312127124924,1.01533245786787,540,332.59670781893,341,75,1604,1035.38545953361,1074,172
1,31,2.30685,3.63155374953077,1.08225727308894,0.946414285606467,527,339.020146520147,349,104,1299,828.774725274725,901.5,108
1,32,2.480075,3.72766981273101,1.0774590983698,1.0090713552569,455,258.640545144804,265,69,1377,960.284497444634,989,220
1,34,2.28995,3.54424927574778,1.07894785554672,0.946414285606467,483,316.046125461255,325,87,1324,822.036900369004,913,121
1,35,2.978625,4.099557520594,1.06592726817717,1.07594144822105,548,338.408510638298,346,70,1537,1001.90638297872,1075,178
