Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,5.733325,8.78311795926681,1.08196901238391,0.930658369112963,24066,18035.3986735446,19044,5185,2870,2074.11053795136,2230,314
1,2,4.35175,6.48040151263927,1.06753105299777,0.946414285606467,38706,27652.8514563107,28855,6497,3335,2203.37475728155,2363,347
1,4,2.86455,3.93652803604478,1.0318234151356,1.02774023955472,21263,15014.982300885,15930.5,4861,3095,2111.30825958702,2297.5,520
1,5,3.0927,4.94923881554251,1.0474749583133,0.867208164168212,18455,13325.7827868852,13895.5,4642,3796,2598.97404371585,2701.5,419
1,6,2.03645,3.18493811282275,1.05772503198282,0.937443331620637,15169,10660.2614107884,11135,4023,2446,1550.03941908714,1691.5,281
1,8,2.2139,3.36188770786299,1.05531799840322,0.867208164168212,20940,15082.0820610687,15709.5,4566,3700,2543.05534351145,2662,491
1,9,2.429375,3.72077164466275,1.02202707451295,0.867208164168212,13498,9503.08869565217,9955,2612,2626,1783.06086956522,1903,223
1,10,3.122275,4.854974286514,1.07251335350217,0.884095583067804,19458,14047.6630581867,14661,4090,2909,2044.5399188092,2190,345
1,11,3.992625,6.26388960392956,1.05195703127728,0.930658369112963,10849,7912.50158730159,8425,2608,2644,1833.71005291005,2009,388
2,1,2.623725,3.97885822331377,1.07375061921325,0.946414285606467,7852,5589.88727858293,5836,1333,2500,1703.03542673108,1811,239
2,2,2.66175,4.12654328932551,1.04074231761047,0.867208164168212,14452,10477.453968254,11059.5,3005,2295,1579.50158730159,1664,299
2,3,2.902575,4.32154328932551,1.03429721352147,0.867208164168212,14415,10513.1965065502,11010,2911,2689,1867.68558951965,1988,301
2,4,3.713775,5.7134052837025,1.07796214263523,0.884095583067804,16510,11983.8555176337,12642,3050,2962,2118.03754266212,2264,376
2,6,2.235025,3.31579256507328,1.04962471947159,1.0090713552569,18234,12971.0170132325,13615,3507,2878,1954.74291115312,2089,492
2,8,2.9913,4.57075639138202,1.06483342525065,0.937443331620637,14077,10090.081920904,10567,2787,2461,1727.56638418079,1823.5,303
2,9,2.463175,4.16689816806826,1.11934150767909,0.867208164168212,22067,16403.5454545455,17379,5490,2583,1756.18181818182,1876,242
2,10,2.30685,3.54154328932551,1.04088779597349,0.867208164168212,25044,17517.0641025641,18224,3860,4242,2807.44871794872,2904,416
2,11,2.5688,3.80154328932551,1.03843661857109,0.867208164168212,21497,15974.3996710526,16886,5621,2517,1754.99506578947,1853.5,288
3,2,3.105375,4.64001046020527,1.06119772726037,0.946414285606467,20915,15089.537414966,15788,3986,3396,2241.68299319728,2411,514
3,3,2.71245,4.18494857302801,1.03831372979228,0.990050503762308,12493,9118.32242990654,9606,2934,2424,1740.68535825545,1854,312
3,4,2.39135,3.74578210486802,1.07813720622286,0.946414285606467,7040,5111.71201413428,5325.5,1999,2856,2018.50530035336,2160.5,306
3,5,2.5012,3.87073547097149,1.05917540560048,0.845,18894,13988.3209459459,14843,4555,2337,1661.24324324324,1770,306
3,6,3.1603,4.93993811282275,1.07683677980269,0.884095583067804,16542,12238.7379679144,12886.5,4071,3352,2293.20855614973,2443,407
3,7,2.6195,3.93616269709676,1.06108653953442,0.946414285606467,23575,16972.6064516129,17779.5,4730,3439,2343.60806451613,2441,443
3,9,4.406675,6.77692954868405,1.05099342306515,0.937443331620637,14484,10424.4736337488,10795,2772,2244,1446.80345158197,1513,312
3,10,3.451825,5.31502092041053,1.0814526907492,0.884095583067804,20418,14521.3684210526,15075,4309,3132,2156.3782129743,2274,331
4,13,2.412475,3.26805040495976,1.07856302159913,1.07594144822105,10508,6609.68476357268,6926,1226,2816,1692.42206654991,1781,196
4,24,5.217875,6.77847763108502,1.06346103789448,1.07200746266059,21699,13989.1708502024,14511,1641,2818,1787.81700404858,1865,141
4,33,4.930575,5.83693434175951,1.05449021401442,1.13517619777724,16361,10101.1508140531,10597,1522,3243,1902.50471293916,2103,196
4,36,3.375775,4.42461940777126,1.02843284143722,1.0090713552569,17960,12189.5744680851,12982,1701,3229,2152.41802252816,2307,188
5,2,2.2139,3.65194480196478,1.07060404539402,0.91,13390,10074.7690839695,10701.5,2927,2167,1502.86832061069,1657,211
5,3,2.44205,3.89383250982777,1.04726662316704,0.937443331620637,19817,14767.892733564,15570.5,4533,3273,2339.48615916955,2498.5,378
5,4,3.50675,5.54384297003304,1.05264079847021,0.937443331620637,16055,12001.534939759,12519.5,3412,2592,1875.92409638554,1986,262
5,5,3.57435,5.85036533894801,1.07808559133537,0.872066511224918,23418,17293.4420803783,17910,5277,2642,1850.24586288416,1942,498
5,6,2.615275,4.19190862827352,1.06165954322988,0.930658369112963,15295,10697.7802907916,11223,3068,2538,1717.64620355412,1779,453
5,7,2.2308,3.707278760297,1.07289150749226,0.867208164168212,19239,14217.9090909091,14846.5,5892,3348,2379.86174242424,2466,679
