Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,3.958825,5.83076685158729,1.05687948371235,0.990050503762308,16173,11416.4236926361,11859,3539,2879,1829.95517609392,2037,286
1,2,2.4336,3.70961940777125,1.03339434035808,0.91,6150,4412.78993055556,4636,1275,1719,1180.85416666667,1218,260
1,3,2.818075,4.22308657865101,1.06181463866535,0.946414285606467,10145,7482.69415292354,7898,2684,2114,1378.32833583208,1469,207
1,4,5.876975,8.55535487874275,1.04460987530437,0.946414285606467,17438,12456.6146657081,13100,3319,2570,1772.70812365205,1909,391
1,5,5.319275,8.01575639138202,1.07719932235043,0.946414285606467,14425,10498.6640190627,11061,3082,2202,1371.60683081811,1531,228
1,6,3.105375,4.41845191759903,1.04877043462611,0.990050503762308,16010,11746.4326530612,12410,3347,2914,2018.7074829932,2203,325
1,7,4.389775,6.73928065636357,1.04056521067641,0.937443331620637,17485,13090.2906641001,13511,4530,2764,1886.26852743022,2001,392
1,8,3.8532,5.68654328932551,1.02668395417549,0.867208164168212,19153,13860.8596491228,14475,4166,2854,1778.4649122807,1977.5,293
1,9,3.696875,5.49154328932551,1.03030830944193,0.867208164168212,14505,10762.5531428571,11267,3358,3714,2654.48571428571,2762,475
1,10,4.04755,6.37732539419352,1.10127816870801,0.872066511224918,17494,12427.990605428,12810,2988,2542,1706.95407098121,1768.5,280
1,11,4.939025,7.37499520692453,1.07936230447873,0.946414285606467,11934,8433.20102651839,8764,2530,3639,2494.30367835757,2638,395
1,12,4.30105,6.7365746699413,1.07759335581246,0.930658369112963,22914,16929.3555992141,17610.5,5080,4194,2816.221021611,2939.5,462
1,13,4.4954,6.42543289325506,1.04315985962744,0.990050503762308,23384,16991.1118421053,17759,5248,4539,2921.34116541353,3161,545
1,14,4.761575,7.34345191759903,1.08062949716264,0.930658369112963,19255,13953.6051464064,14485,4563,2676,1801.76574977817,1956,314
1,15,2.505425,3.86377541572599,1.06556199932537,0.946414285606467,13884,10097.8650927487,10486,2531,3577,2479.86846543002,2608,542
1,16,5.53475,8.03423402246704,1.08869107458855,0.990050503762308,18300,13537.0022900763,14199.5,4434,3067,2008.30992366412,2267,257
1,17,4.732,6.81691908847878,1.07975903488427,0.990050503762308,13045,9424.08660714286,9853,2989,3647,2398.39107142857,2604,389
1,18,3.603925,5.43386868351903,1.0821348285431,0.990050503762308,13860,9927.37045720985,10353,3201,2286,1533.07385697538,1617,369
1,19,5.868525,8.93308178557555,1.13425351592636,0.959713498915171,15683,11685.939524838,12151,3605,3019,2169.03671706264,2308,349
2,1,3.908125,5.49504184082106,1.03769981223358,1.01533245786787,18065,13024.9037837838,13510,4149,4018,2719.28324324324,2868,476
2,2,3.130725,4.87764409924502,1.05596874224523,0.937443331620637,15402,11223.1349527665,11780,3723,1881,1183.85290148448,1318,217
2,3,3.096925,4.48345191759903,1.04822668568188,0.990050503762308,10727,7737.1105047749,8219,2427,3815,2587.5034106412,2808,540
2,4,3.05045,4.60002092041053,1.08225001847847,0.946414285606467,13953,9706.63850415512,10154,3309,2436,1592.61495844875,1731,304
2,5,3.561675,5.31687245458226,1.06700152524052,0.990050503762308,10152,7229.418742586,7629,2394,2743,1888.34163701068,2029,334
2,6,3.020875,4.56385822331377,1.068136251283,0.867208164168212,14782,10539.648951049,11095,3042,2276,1429.48111888112,1605,245
2,7,4.57145,6.83226350701627,1.07251300407244,0.975,12725,9356.92513863216,9757,3581,2832,1925.15988909427,2092.5,252
2,8,4.203875,6.17196572237531,1.05922978583613,0.990050503762308,15908,11297.2613065327,11915,3042,3047,2081.72060301508,2301,354
