Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,1.8759,2.88224258660574,1.06394031349614,1.0090713552569,558,328.292792792793,333.5,103,1114,684.666666666667,721,136
1,2,1.719575,2.68305040495976,1.07296268183417,1.0090713552569,806,531.189189189189,555,169,1163,746.358722358722,777,178
1,3,2.42515,3.57265935252575,1.05758665024018,0.946414285606467,672,433.728222996516,453.5,118,1332,901.121951219512,946,204
1,4,2.93215,4.39763363903975,1.07990576308038,0.990050503762308,648,403.180115273775,420,72,1316,860.020172910663,899.5,158
1,5,2.556125,3.82193434175952,1.07262428895756,1.0090713552569,445,248.157024793388,255,68,1317,853.935537190083,891,164
1,6,2.142075,3.11531870505149,1.08203080348908,1.13517619777724,730,468.923076923077,471,132,1159,735.205128205128,754,118
1,7,1.83365,2.72574593117676,1.07666160388368,0.990050503762308,489,293.513824884793,306.5,78,1111,689.587557603687,752,152
1,8,2.37445,3.26109034971425,1.06721848215611,1.19854077944808,757,453.571174377224,454,142,1182,711.962633451957,721,244
1,9,2.88145,4.34883250982777,1.07175155452499,1.0174109297624,491,283.482404692082,286,63,1162,699.66275659824,713,106
1,10,2.294175,3.27920264185125,1.07754303395025,1.0090713552569,636,401.324125230203,413,121,1412,888.454880294659,928,263
1,11,3.122275,4.95656420973603,1.07916188223312,0.946414285606467,646,417.024357239513,431,138,1407,908.672530446549,936,203
1,12,1.973075,2.93189816806826,1.11894526498133,1.08181560351106,760,483.702355460385,505,149,1419,915.54817987152,953,225
1,13,1.52945,2.34270598642227,1.0987484995605,1.0174109297624,624,380.093922651934,384.5,125,1510,914.853591160221,993.5,197
1,14,2.556125,3.74763363903975,1.06027399478677,0.990050503762308,577,373.933884297521,391,102,1351,901.626446280992,940,190
1,15,1.8083,2.82654328932551,1.06061661888387,0.91,846,542.292056074766,554.5,183,1285,849.331775700935,885.5,203
1,16,3.249025,4.68541197284454,1.07767159619382,1.0090713552569,695,453.936280884265,469,150,1549,1028.14564369311,1079,273
1,17,2.37445,3.24346717087976,1.05010851751204,1.0090713552569,544,331.79359430605,340.5,106,1209,770.560498220641,817,201
1,18,2.268825,3.34271644662753,1.04517445537336,0.975,474,296.10800744879,307,105,1196,746.83426443203,799,154
1,19,1.837875,2.85346717087976,1.0554471029397,0.946414285606467,620,391.342528735632,400,119,1146,726.919540229885,757,133
1,20,1.913925,2.81958323408,1.07049584617633,1.0090713552569,528,322.16114790287,332,92,1390,862.876379690949,935,196
1,21,3.603925,5.20349855149555,1.05765169621362,1.06607926534569,681,418.386869871043,433,116,1799,1158.04337631887,1208,177
1,22,2.091375,3.41616269709676,1.07617028878812,0.946414285606467,946,633.759595959596,654,238,1253,857.630303030303,901,146
1,23,2.953275,4.487278760297,1.09565655097567,1.0090713552569,830,530.845493562232,545,170,1211,752.409155937053,780,171
1,24,3.113825,4.65116269709676,1.05389589281603,0.946414285606467,938,603.561736770692,619,154,1518,990.164179104478,1018,212
1,25,2.57725,3.91847763108502,1.082039609461,0.946414285606467,1055,650.252459016393,676,222,1488,1012.10491803279,1044.5,259
1,26,1.812525,2.72951088669748,1.04395605017498,0.975,625,392.79020979021,400,132,1173,735.32634032634,797,162
1,27,2.6533,4.13195526217004,1.02999891607313,0.966294468575703,1157,756.165605095541,780,303,1390,912.974522292994,974.5,198
1,28,2.8223,4.03461940777126,1.0332270692291,0.946414285606467,657,434.002994011976,450,138,1514,1002.26796407186,1041.5,203
1,29,1.88435,2.71040151263927,1.06604259790424,1.02774023955472,817,490.961883408072,507,176,1652,1069.58071748879,1120.5,257
1,30,2.00265,3.06423881554251,1.06783298858801,0.946414285606467,700,435.556962025316,450,131,1233,808.478902953586,875.5,169
1,31,2.62795,4.15617315730203,1.082039609461,0.990050503762308,764,496.824758842444,504.5,167,1377,912.213826366559,949,204
1,32,1.913925,2.84693434175952,1.12564424938148,0.946414285606467,1086,725.916114790287,751,272,1582,1052.24944812362,1098,247
1,33,2.6533,4.10041197284454,1.06859403380017,0.990050503762308,534,304.176751592357,312,82,1461,940.245222929936,1003.5,149
1,34,2.082925,3.2230142312685,1.06296611645523,0.990050503762308,686,448.969574036511,475,127,1410,866.657200811359,927,189
1,35,2.665975,3.65577164466275,1.02242448522014,1.0090713552569,1069,676.480190174326,696,224,1698,1116.25673534073,1158,217
1,36,2.05335,2.91421310205652,1.02212830708784,0.990050503762308,1304,840.296296296296,872.5,284,1527,941.409465020576,1018,196
1,37,2.535,3.82883250982777,1.05238055438324,0.990050503762308,960,600.245,610.5,207,1469,913.511666666667,975,173
1,38,2.2646,3.41844145739376,1.07128807065954,1.0090713552569,707,450.470149253731,467.5,120,1418,933.102611940299,982.5,132
1,39,1.79985,2.69462986797652,1.0886838025885,1.0174109297624,1290,794.889671361502,833.5,220,1503,926.983568075117,979,141
1,40,1.863225,2.81262317883449,1.07342452149597,1.0090713552569,1366,902.28798185941,934,298,1433,893.539682539683,941,159
1,41,2.1125,2.99461940777126,1.04037397890098,1.0090713552569,503,296.934,307.5,79,1571,1006.202,1085.5,219
1,42,1.8928,2.756861994377,1.0335479409271,1.02774023955472,744,477.03125,496.5,168,1343,891.90625,928.5,172
2,2,2.623725,3.80616269709676,1.06255543232261,1.0090713552569,471,296.462157809984,306,88,1332,820.489533011272,890,163
2,3,2.716675,4.07810749906154,1.04378567480074,0.975,617,383.211508553655,394,100,1306,831.727838258165,890,200
2,4,1.8759,2.74847763108502,1.07194882797645,0.990050503762308,467,293.065315315315,308,76,1184,774.842342342342,823.5,159
2,5,2.471625,3.59958323408,1.06143841967998,0.975,1105,746.62905982906,778,196,1503,988.468376068376,1022,265
2,6,2.158975,3.31074593117676,1.10622779641843,0.992181938960794,811,540.199608610568,561,163,1347,879.389432485323,948,173
2,7,3.23635,5.08847763108502,1.07531716468635,0.930658369112963,1150,733.631853785901,754.5,170,1168,752.548302872063,777,117
2,8,2.74625,4.02617315730203,1.08153896502846,0.990050503762308,874,553.712307692308,568,202,1159,755.715384615385,786,164
2,9,2.573025,3.65847763108502,1.08238983168196,1.0090713552569,1089,700.105090311987,732,133,1388,914.137931034483,977,194
2,10,1.812525,2.74109034971425,1.04838484748553,0.975,937,605.389277389277,630,241,1250,819.659673659674,886,202
2,11,2.294175,3.25413029446874,1.04276420922933,1.01533245786787,573,354.079189686925,372,76,1352,870.561694290976,914,151
2,12,3.215225,4.91535487874275,1.05931912269412,0.946414285606467,419,254.741130091984,262,61,1206,754.315374507227,771,140
2,14,1.93505,2.75039105243401,1.06283649025031,1.0090713552569,455,275.006550218341,281,61,1108,705.711790393013,751,128
2,15,2.851875,4.292278760297,1.06772360200904,0.946414285606467,726,463.931851851852,476,173,1362,818.527407407407,875,183
2,17,2.471625,3.55497428651401,1.07883877065354,1.0090713552569,676,418.087179487179,434,124,1149,716.365811965812,783,165
2,18,2.3153,3.29688770786299,1.0510080789379,0.946414285606467,884,535.113138686131,561,134,1150,689.089416058394,760.5,143
2,19,3.21945,4.72035487874275,1.06691579248626,1.0090713552569,568,363.762467191601,376,93,1757,1198.21916010499,1238,209
2,20,3.1265,4.35961940777126,1.02882321552617,1.0090713552569,1057,684.62972972973,705.5,189,1392,902.421621621622,922,207
2,21,2.801175,4.2161265234055,1.07318709721259,0.946414285606467,1427,941.669683257919,967,326,1283,813.214177978884,878,143
2,23,2.640625,3.59958323408,1.06143841967998,1.04,771,492.3568,514,127,1423,912.0192,966,226
2,24,3.11805,4.55923881554251,1.058395096285,1.04,636,416.831978319783,432,149,1450,941.069105691057,966.5,220
2,25,2.93215,4.46263363903975,1.07353503962524,1.0090713552569,584,366.306916426513,380,116,1231,797.525936599424,843,131
2,26,2.404025,3.35806086516502,1.03698940281562,1.0174109297624,842,538.702987697715,557,148,1433,939.560632688928,998,216
2,27,1.8759,2.84459369428526,1.05155729967269,1.0174109297624,952,604.720720720721,626,196,1354,818.362612612613,888.5,159
2,28,2.7209,3.96998474671927,1.05872659520017,0.990050503762308,1123,730.555900621118,768.5,233,1354,897.30900621118,954.5,208
2,29,1.95195,2.98155374953077,1.07966912753363,1.0090713552569,600,388.948051948052,402.5,114,1593,1052.63203463203,1103,226
2,30,2.801175,4.42732539419352,1.08169915371763,0.946414285606467,1104,705.972850678733,719,275,1426,916.004524886878,958,181
2,31,3.020875,4.59306086516502,1.07447369579071,0.975,903,567.794405594406,585,191,1424,859.723076923077,922,191
2,32,2.6871,3.87110080991951,1.03782770293464,1.02774023955472,717,450.833333333333,464,134,1397,834.59748427673,906.5,177
2,33,1.73225,2.67423881554251,1.07343544978795,0.946414285606467,543,335.826829268293,347,116,1381,815.573170731707,863,142
2,34,2.725125,3.93382204962251,1.07917289471825,1.02774023955472,516,327.494573643411,339,85,1397,872.959689922481,942,187
2,35,2.150525,3.24346717087976,1.05010851751204,0.946414285606467,1021,656.119842829077,683,206,1300,856.320235756385,902,142
2,36,2.336425,3.36139859456047,1.04307543640306,1.02774023955472,662,412.547920433996,431,117,1478,975.397830018083,1014,185
2,37,2.412475,3.43421310205652,1.06697354438205,1.0174109297624,693,439.796847635727,456,107,1293,823.828371278459,887,128
2,38,2.437825,3.3688477631085,1.01546314390603,0.946414285606467,747,464.915077989601,480,139,1260,817.162911611785,848,193
3,2,2.79695,4.26195526217004,1.03867903813842,0.990050503762308,820,529.845921450151,543,163,1321,856.783987915408,917.5,175
3,3,2.57725,3.98532916525676,1.0607489315144,0.990050503762308,887,560.665573770492,568,132,1195,707.124590163934,727,109
3,4,2.44205,3.70770598642227,1.08010922269215,1.0090713552569,624,401.463667820069,409.5,128,1206,774.626297577855,815.5,153
3,5,2.05335,3.01039105243401,1.05889298903198,0.990050503762308,511,293.364197530864,297,72,1234,747.407407407407,793,157
3,6,2.7378,4.11618361750729,1.05353120186074,0.966294468575703,596,390.430555555556,404.5,95,1269,774.206790123457,837.5,174
3,7,1.728025,2.54423881554251,1.07531716468635,1.0090713552569,697,428.628361858191,443,122,1183,739.963325183374,786,163
3,8,1.829425,2.79770598642227,1.08112044966474,1.02774023955472,525,338.630484988453,351,92,1138,753.196304849885,785,134
3,9,2.00265,3.05770598642227,1.08234667648461,0.946414285606467,619,376.457805907173,391,108,1079,691.569620253165,717,138
3,10,2.606825,3.991861994377,1.07281278684008,1.0090713552569,696,415.095623987034,432,102,1261,787.760129659643,832,156
3,11,3.28705,4.94221687311975,1.05827720669416,1.01533245786787,1175,774.60411311054,786,244,1092,682.620822622108,717.5,113
3,12,3.122275,4.67149186235352,1.03368667273099,0.990050503762308,583,359.818673883627,374,119,1405,895.901217861976,953,201
3,13,2.81385,4.30194480196478,1.08020042269884,0.990050503762308,437,277.283783783784,287,70,1182,740.588588588589,789,139
3,14,2.0956,2.75692388155425,1.00957610719164,0.975,630,385.756048387097,395,120,1042,637.161290322581,688.5,137
3,15,2.243475,3.23878587593125,1.05045540733603,1.0090713552569,847,541.834274952919,563,142,1666,1086.43879472693,1137,223
3,16,1.8421,2.84502092041053,1.04183694186275,0.990050503762308,584,371.821100917431,391.5,120,1126,724.653669724771,775.5,105
3,17,2.67865,3.84460415449053,1.03260722418024,0.990050503762308,727,480.847003154574,494,152,1188,761.594637223975,818,130
3,18,3.64195,5.46960415449052,1.09034816139374,1.0174109297624,2018,1329.0464037123,1384.5,378,1551,1004.63341067285,1044.5,216
3,19,3.451825,5.1877269068328,1.05777465609009,0.990050503762308,679,417.790697674419,428,139,1348,830.204406364749,886,188
3,20,2.015325,2.92308657865101,1.07684967654196,1.0090713552569,886,585.530398322851,606,156,1242,840.262054507338,871,228
3,21,1.98575,3.08271644662753,1.03076530921409,0.975,1192,813.61914893617,858.5,277,1486,964.493617021277,1026.5,196
3,22,2.987075,4.65344145739376,1.07964919477915,0.990050503762308,1636,1075.37623762376,1110,345,1643,1074.2729844413,1116,180
3,23,3.477175,5.04116269709676,1.05055575498211,0.946414285606467,1268,844.08262454435,874,255,1394,866.951397326853,945,150
3,24,2.1125,3.07766981273101,1.09056860423878,1.01116269709676,1024,657.134,684.5,161,1363,891.726,925.5,177
3,25,2.437825,3.55306086516502,1.05100711433122,1.02774023955472,638,403.675909878683,424,99,1668,1078.00866551127,1140,231
3,26,2.45895,3.4338477631085,1.01518069504997,0.946414285606467,685,427.862542955326,450,133,1396,869.128865979381,964.5,179
3,27,2.784275,4.30656420973604,1.08556149796327,0.990050503762308,918,571.098634294385,581,202,1285,765.97875569044,825,117
3,28,1.44495,2.32650711563425,1.07673762602887,0.946414285606467,667,424.350877192982,437.5,127,1417,922.748538011696,943.5,398
3,29,1.7407,2.6784309971885,1.07658492284648,0.946414285606467,454,269.334951456311,277,74,1330,840.864077669903,878,169
3,30,1.5379,2.23039105243401,1.11859492808069,1.01533245786787,675,437.461538461538,443.5,140,1487,952.57967032967,1001.5,154
3,31,2.750475,4.08002092041053,1.07966912753363,1.0090713552569,514,306.874039938556,319,83,1501,962.196620583717,1028,210
3,32,2.970175,4.38605417602299,1.06999768876256,1.0090713552569,745,482.571834992888,490,135,1297,830.718349928876,887,198
3,33,2.218125,3.24155374953077,1.08183344450691,1.0090713552569,716,441.664761904762,463,85,1530,919.186666666667,964,173
3,34,2.674425,3.87848809129029,1.06807615956866,1.07200746266059,764,478.292259083728,491,116,1406,941.781990521327,975,199
4,1,2.674425,4.02340528370251,1.06264571532568,1.02774023955472,1008,620.988941548183,640,168,1261,798.911532385466,839,179
4,2,3.3631,5.04848809129029,1.07863274186607,1.0174109297624,491,301.93216080402,316.5,66,1323,889.433417085427,918,201
4,3,2.758925,4.20768027293628,1.05992456929579,0.990050503762308,858,532.944869831547,548,156,1247,780.098009188361,810,198
