Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.944825,4.34925973595304,1.07503394957303,1.02774023955472,1022,647.218077474892,669,224,1644,1018.79340028694,1085,158
1,2,2.7716,4.12654328932551,1.03851195379833,0.946414285606467,1400,891.032012195122,923,251,1449,918.986280487805,953.5,128
1,3,2.091375,2.91846717087976,1.05449021401443,1.04,971,600.29696969697,627,151,1222,758.09696969697,791,106
1,5,2.395575,3.59539105243401,1.05135584562486,0.946414285606467,920,638.312169312169,674,197,1242,821.620811287478,870,103
1,7,1.939275,2.95001046020527,1.0790617118338,0.975,700,460.82788671024,480,130,1328,806.799564270152,885,94
1,9,2.927925,4.37262317883449,1.0748600220206,0.975,424,267.834054834055,274,65,1316,836.323232323232,879,118
1,10,2.7716,4.17485530523497,1.07032707307503,0.975,778,517.858231707317,535,199,1241,799.474085365854,848.5,97
1,11,2.028,3.21420264185125,1.07778924854023,0.946414285606467,936,606.61875,623,215,1113,698.360416666667,749.5,79
1,13,2.5688,3.52385822331377,1.07802952550868,1.07200746266059,486,310.735197368421,320.5,83,1606,977.0625,1100,107
1,15,4.220775,6.10425973595304,1.08173377590579,0.990050503762308,1869,1246.16916916917,1307,338,1292,732.940940940941,814,81
1,16,2.784275,4.12924927574778,1.08233856094396,1.0090713552569,719,424.53717754173,432,116,1243,719.07435508346,783,79
1,17,3.756025,5.80809703885628,1.1057677422991,0.946414285606467,1684,1165.54330708661,1222,345,1478,972.676040494938,1036,116
1,18,2.72935,3.89845191759903,1.02125037332109,1.0174109297624,968,638.814241486068,665,217,1403,900.410216718266,985.5,110
1,19,3.510975,5.44964032818178,1.08219740437695,0.946414285606467,636,401.367027677497,409,120,1270,733.86642599278,798,70
1,20,2.3998,3.70998474671927,1.05301091206622,0.990050503762308,2663,1867.77288732394,1937.5,570,1557,915.529929577465,992,176
1,21,1.9773,2.90540151263927,1.10476132425265,1.07200746266059,1035,662.99358974359,678,187,1358,801.574786324786,886,70
1,22,2.091375,3.04846717087976,1.05265949037412,0.946414285606467,1527,959.737373737374,996,279,1686,945.630303030303,1061,123
1,23,1.9435,3.01039105243401,1.05889298903198,0.946414285606467,1856,1256.12608695652,1311,400,1250,710.969565217391,766,121
1,24,3.620825,5.27423881554251,1.05379396913936,0.946414285606467,1066,696.751458576429,719,222,1154,641.033838973162,680,81
1,25,3.9884,5.61303515167902,1.04720076066414,1.07594144822105,848,537.397245762712,552.5,132,1367,857.726694915254,910,126
1,26,2.133625,3.31770598642227,1.08208040372062,0.946414285606467,1005,683.188118811881,712,230,1426,919.934653465347,987,124
1,27,3.5321,5.2304224330498,1.05081539898436,1.06607926534569,1025,652.480861244019,661,156,1406,879.748803827751,924,122
1,28,2.91525,4.27502092041053,1.08109870010437,0.990050503762308,1762,1207.45797101449,1253.5,410,1440,885.966666666667,1002.5,106
1,29,1.83365,2.93189816806826,1.07243655533953,0.990050503762308,1121,763.741935483871,797,249,1278,791.670506912442,871.5,101
1,30,3.43915,4.97154328932551,1.03020407701254,0.975,1380,883.572481572482,922.5,305,1595,925.335380835381,1014,108
1,31,2.750475,3.89346717087976,1.04303248550369,0.975,2037,1366.6267281106,1417,325,1302,806.844854070661,880,104
1,32,2.657525,3.85539105243401,1.04852813742386,0.946414285606467,1014,683.055643879173,711,222,1426,945.767885532591,1006,118
1,33,2.184325,3.38923881554251,1.06346103789448,0.91,1286,871.056092843327,909,316,1414,924.390715667311,980,89
1,34,2.40825,3.72809703885628,1.07739245167326,0.990050503762308,2395,1683.22807017544,1747.5,458,1619,1008.71754385965,1102.5,91
1,36,2.082925,2.82192388155425,1.00935996290915,0.975,505,308.910750507099,318,107,1424,956.94523326572,1019,84
1,38,1.9097,2.79536533894802,1.02950273225224,0.975,1266,856.661504424779,892.5,273,1461,871.884955752212,967.5,100
1,39,2.091375,3.12923881554251,1.0669313226061,0.975,516,328.587878787879,344,86,1590,1049.61818181818,1113,143
1,40,2.725125,3.94263363903975,1.06528683788858,1.0090713552569,2390,1700.44186046512,1779,597,1568,1022.79689922481,1120,119
1,41,2.277275,3.341861994377,1.08509305034001,1.02774023955472,1536,1009.24304267161,1036,335,1536,973.00185528757,1081,113
1,42,2.522325,3.63383250982777,1.03457057848855,1.02774023955472,1691,1099.50586264657,1153,298,1723,1031.57286432161,1173,124
1,43,2.0618,3.00577164466275,1.0253382341712,0.946414285606467,1120,747.137295081967,778.5,238,1394,868.446721311475,938.5,62
1,44,2.750475,4.09308657865101,1.07993624169914,0.946414285606467,1245,804.909370199693,840,281,1398,838.745007680492,947,132
1,45,1.947725,2.79961940777126,1.04278824158896,0.946414285606467,692,421.904555314534,432,151,1202,676.444685466377,712,116
1,46,2.72935,3.99271644662753,1.069134514384,1.02774023955472,1287,866.47213622291,913,296,1411,826.814241486068,947.5,118
1,47,1.837875,2.61577164466275,1.02882321552617,0.946414285606467,1183,768.891954022989,798,229,1395,872.025287356322,921,112
1,48,3.156075,4.552278760297,1.06542616617224,1.0090713552569,1268,841.168674698795,864,309,1380,869.480589022758,917,100
1,49,3.1265,4.94923881554251,1.05106152944082,0.91,986,644.848648648649,659.5,274,1339,875.472972972973,911.5,140
1,50,1.939275,2.9630142312685,1.05357985609153,0.990050503762308,1302,894.882352941176,933,363,1268,808.43137254902,867,102
1,51,2.851875,3.942695526217,1.02808227541512,0.975,1590,1070.21185185185,1100,265,1303,857.053333333333,892,91
