Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.03645,2.95654328932551,1.04764756604936,0.946414285606467,2449,1688.4398340249,1754,556,1217,784.188796680498,834,175
1,2,2.35755,3.31961940777126,1.03688248887293,0.946414285606467,2204,1500.72580645161,1563.5,404,1058,667.862007168459,734,152
1,3,2.69555,4.09536533894801,1.07533155958171,1.0090713552569,1886,1254.47178683386,1303,332,1113,676.612852664577,749,107
1,4,2.4336,3.63346717087976,1.0456269584503,0.946414285606467,5091,3510.22222222222,3673,735,1119,718.663194444444,762,174
1,5,2.56035,3.80382204962251,1.07909411158974,1.0090713552569,2878,2068.07095709571,2188,651,1167,746.290429042904,820,119
1,6,3.77715,5.76035487874275,1.05673374114975,0.946414285606467,2455,1708.38926174497,1757,485,1165,759.326621923937,774,220
1,7,3.3293,5.06155374953077,1.07358477890234,0.946414285606467,2440,1632.69035532995,1697,517,1145,767.791878172589,793,198
1,8,2.2984,3.41616269709676,1.06725775199068,0.946414285606467,1884,1248.27573529412,1295.5,338,1199,722.413602941176,771,137
1,9,3.029325,4.68270598642227,1.0722665460656,0.946414285606467,2479,1704.75871687587,1754,515,1165,772.926080892608,801,190
1,10,2.581475,4.09031870505149,1.07526003328088,0.946414285606467,2665,1889.70867430442,1988,751,1099,705.649754500818,735,101
1,11,2.598375,3.74116269709676,1.06330884998426,0.946414285606467,3029,2121.86178861789,2254,651,1333,897.90081300813,950,187
1,12,2.8899,4.34464032818178,1.07347657528463,0.990050503762308,2909,2031.95175438596,2157,665,1219,810.021929824561,850.5,145
1,13,2.535,3.91613698361077,1.0909242566643,0.992181938960794,2106,1431.51,1492,342,953,620.743333333333,666.5,102
1,14,2.1632,3.032695526217,1.0327470226379,0.946414285606467,3644,2497.12109375,2581.5,742,1255,808.080078125,855.5,223
1,15,2.665975,3.682695526217,1.02741108590655,0.946414285606467,3783,2569.10618066561,2662,790,1080,639.846275752773,700,103
1,16,1.8928,2.83769552621701,1.03476668459675,0.946414285606467,4144,2835.73660714286,2943,658,1422,917.604910714286,943,270
1,17,2.589925,3.88964032818178,1.06283649025031,0.990050503762308,5962,4256.66068515498,4469,1344,1353,883.647634584013,917,170
1,18,2.6364,4.05309703885628,1.08926970313945,0.990050503762308,1596,1107.11698717949,1161,396,1136,749.753205128205,807.5,126
1,20,3.62505,5.39849855149555,1.06339524747038,0.990050503762308,2415,1628.25174825175,1697.5,508,1279,813.955710955711,847,175
1,21,2.28995,3.1738477631085,1.01725889843221,0.946414285606467,2370,1670.24538745387,1750.5,528,1198,809.581180811808,846,194
1,22,2.366,3.53039105243401,1.05210927797461,0.946414285606467,3749,2609.18571428571,2718.5,864,1219,814.7125,848,178
1,23,2.192775,3.12,1,0.91,2025,1428.2697495183,1480,521,1336,894.753371868979,916,246
1,24,4.153175,6.38847763108502,1.06604259790424,0.91,2720,1984.46490335707,2087,627,1378,902.087487283825,941,231
1,25,3.211,4.6027269068328,1.04224291366426,0.990050503762308,1939,1379.15263157895,1454,492,1204,791.988157894737,835.5,244
1,26,2.995525,4.64462986797652,1.07479743006598,0.946414285606467,2337,1604.93794076164,1651,597,1294,808.141043723554,831,175
1,27,2.285725,3.39109034971425,1.06984307327047,0.990050503762308,3089,2219.2033271719,2373,739,1299,867.853974121996,906,290
1,28,2.902575,4.34846717087976,1.03910772045548,0.946414285606467,4078,2846.71033478894,2977,1008,1327,870.758369723435,910,167
