Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.657525,3.85766981273101,1.07835575213922,1.07200746266059,586,375.621621621622,392,101,1184,773.033386327504,806,104
1,2,3.47295,5.16839482349724,1.09169075394719,1.0090713552569,683,427.121654501217,436.5,134,1156,742.081508515815,772,132
1,3,3.211,4.511861994377,1.07659519804186,1.0090713552569,571,360.086842105263,376,72,1088,678.498684210526,715.5,100
1,4,3.06735,4.65152803604478,1.06137186370925,1.01116269709676,454,274.435261707989,282.5,44,1185,722.217630853994,745,131
1,5,3.74335,5.27226350701627,1.05021575092606,1.01533245786787,401,265.507900677201,270,72,1308,798.081264108352,894,123
1,6,2.758925,3.86654328932551,1.03786731044288,0.946414285606467,804,520.465543644717,539,153,958,597.39663093415,654,101
1,7,2.89835,4.29270598642227,1.07559088283283,1.0090713552569,700,454.47667638484,467,136,1341,824.448979591837,875,143
1,9,2.378675,3.315,1,0.975,818,529.699822380107,552,172,1239,848.337477797513,889,163
1,10,2.57725,3.69464032818178,1.05605019756149,1.02774023955472,477,272.795081967213,284,80,1216,786.439344262295,832.5,179
1,11,2.8223,4.11305040495975,1.07575314822187,1.0090713552569,568,358.531437125748,373.5,109,1264,880.833832335329,929.5,171
1,12,2.30685,3.26577164466275,1.02344365057307,0.975,840,548.608058608059,575.5,186,1336,865.276556776557,909,223
1,13,2.632175,3.72077164466275,1.02072637137758,0.946414285606467,1577,1075.64365971108,1134,346,1205,781.202247191011,818,211
1,14,3.401125,5.15347763108502,1.07484954194208,0.946414285606467,763,482.398757763975,499,187,1301,857.55900621118,894,158
1,15,2.4843,3.64732539419353,1.08129196811767,1.0090713552569,635,366.590136054422,381.5,121,1436,969.452380952381,1018.5,301
1,16,2.49275,3.67154328932551,1.04316573548041,0.946414285606467,500,333.459322033898,343,84,1359,898.984745762712,936,231
1,19,2.2477,3.46347763108502,1.12158773354064,1.0090713552569,465,295.291353383459,307,77,1268,809.016917293233,869,195
1,20,2.32375,3.47924927574778,1.09512606070978,0.990050503762308,417,261.82,270.5,52,1187,783.732727272727,826,214
1,21,1.859,2.79961940777126,1.04278824158896,0.946414285606467,713,447.811363636364,467.5,153,1266,836.181818181818,871,255
2,2,2.708225,3.91151757583951,1.07648236243229,1.0090713552569,995,671.714508580343,705,204,1141,723.040561622465,767,159
2,3,2.64485,3.80154328932551,1.03843661857109,0.975,422,254.41054313099,262,66,783,512.944089456869,545.5,139
2,4,3.57435,5.202278760297,1.05999726009057,1.0090713552569,777,460.047281323877,472,124,1024,582.036643026005,619,128
2,5,2.066025,2.73461940777126,1.04365474598587,1.0090713552569,344,208.310838445808,214,66,776,467.519427402863,499,114
2,6,2.66175,3.93339482349724,1.07479231914709,1.0090713552569,417,237.846031746032,245,54,844,543.44126984127,581.5,92
2,7,3.096925,4.41759746534849,1.05613678246482,1.02774023955472,387,223.900409276944,231,46,884,552.832196452933,579,104
2,8,2.564575,3.37303994475449,1.03270775049064,1.0090713552569,349,202.550247116969,209,31,836,515.68039538715,553,82
2,9,2.6533,3.98766981273101,1.12137914655174,1.0090713552569,409,257.374203821656,269,85,1026,650.084394904459,693,156
