Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,2,3.1772,4.55541197284454,1.06975529699975,1.0090713552569,767,478.703457446808,503.5,173,913,608.433510638298,635,162
1,3,3.70955,5.50348809129029,1.10043354589193,0.990050503762308,935,610.841685649203,631.5,138,1116,674.152619589977,722,157
1,4,3.0251,4.43109034971425,1.07652733643901,1.0090713552569,548,353.370111731844,367,77,852,535.319832402235,582,119
1,5,4.225,5.75504184082106,1.04774503679781,1.06607926534569,682,423.148,441.5,117,945,615.573,632,141
1,6,2.84765,4.3503187050515,1.08500162195911,0.946414285606467,845,554.388724035608,566,163,1015,636.421364985163,699.5,135
1,8,2.535,3.44961940777126,1.03564393225383,1.0090713552569,562,370.935,392.5,101,807,500.735,530,97
1,9,3.30395,4.47846717087976,1.03810930059502,1.0090713552569,1276,873.621483375959,919.5,260,992,656.612531969309,713,147
1,10,2.8899,4.30805040495976,1.07445959566946,0.946414285606467,861,573.312865497076,603,181,1036,699.005847953216,730.5,165
1,11,2.116725,2.97231493398826,1.06459220434141,1.0090713552569,699,458.682634730539,475,153,1065,635.191616766467,677,142
1,12,3.0082,4.19652803604478,1.04118667200988,1.07594144822105,449,277.928370786517,287,77,974,617.689606741573,642.5,136
1,13,2.699775,3.94078210486802,1.07647135177847,1.0090713552569,940,605.871674491393,639,151,891,567.953051643192,587,129
1,14,2.1801,3.09386868351903,1.04365474598586,1.01116269709676,751,484.279069767442,510.5,114,937,598.341085271318,630,106
1,15,3.181425,4.41845191759903,1.04578743611811,1.02774023955472,1137,728.316069057105,755,258,1035,682.830013280212,712,231
1,16,2.885675,3.99037579915328,1.02133087398658,1.02774023955472,1724,1143.67642752562,1204,321,1302,832.96925329429,872,166
1,17,1.702675,2.30192388155425,1.01142193214792,1.0090713552569,704,447.70223325062,461,123,1083,676.838709677419,699,179
1,18,3.30395,4.79033962546203,1.02784859492769,0.990050503762308,896,588.514066496164,615,223,944,610.928388746803,644.5,120
1,20,3.54055,5.38464032818179,1.08207529616248,0.990050503762308,501,324.536992840095,334,52,1080,685.733890214797,704.5,110
1,21,3.358875,4.88965078838705,1.05202628428527,1.0174109297624,1082,681.05534591195,701,196,1071,651.272955974843,661,212
1,22,2.1125,3.00194480196478,1.05289923933089,1.02774023955472,1110,749.192,780.5,254,909,573.94,609.5,96
1,23,3.23635,4.62651757583951,1.07968234225176,1.0090713552569,1563,1022.62010443864,1067,270,1335,806.395561357702,829,154
1,24,3.18565,4.34150711563425,1.06355194799521,1.0090713552569,2379,1595.0649867374,1684,497,1215,789.423076923077,842,143
1,25,2.539225,3.85958323408,1.0751699923404,0.946414285606467,1030,705.422628951747,736,176,1066,695.289517470882,726,119
1,27,3.38845,4.82841574390777,1.0400725607308,1.01533245786787,974,625.856608478803,650.5,204,1278,814.335411471322,828.5,233
1,28,1.989975,2.98574593117676,1.09336996005902,1.02774023955472,2396,1650.7898089172,1727,536,1147,729.717622080679,747,215
1,29,3.6504,5.19234631460406,1.04316573548041,1.05812333874648,788,507.168981481481,527,149,1144,745.59375,775.5,135
1,30,2.1125,2.8107097574855,1.01865061418873,1.05812333874648,557,329.118,339,92,925,569.572,605,119
1,31,3.798275,5.42001046020527,1.06198951157454,1.0090713552569,1269,839.624026696329,873,255,1344,831.324805339266,885,194
1,32,3.172975,4.55455752059401,1.07306056937937,0.990050503762308,999,681.536617842876,707,202,1259,783.994673768309,828,165
1,33,1.8421,2.78612652340551,1.07664578566348,0.990050503762308,884,578.814220183486,601.5,208,821,525.516055045872,559.5,84
1,34,4.017975,5.56466124859232,1.01736801035145,0.975,1074,716.434279705573,749,166,1134,745.452155625657,778,178
1,35,3.375775,4.67149186235352,1.03518678893626,1.02774023955472,880,579.922403003755,597,176,925,569.116395494368,608,94
1,36,3.50675,4.77462986797652,1.07375061921325,1.07200746266059,683,442.88313253012,463.5,135,1136,764.353012048193,803.5,224
1,37,2.4505,3.37340528370251,1.0311873323709,1.01533245786787,832,542.151724137931,563.5,166,1005,626.241379310345,660.5,175
1,39,2.674425,3.52577164466275,1.02181042602799,1.0090713552569,1083,739.39336492891,765,157,1246,830.818325434439,875,191
1,41,3.62505,5.44687245458227,1.06898818596109,0.990050503762308,935,582.97668997669,594,174,1110,712.36013986014,730,169
1,42,2.4167,3.40771644662753,1.0591733660533,1.02774023955472,1183,760.391608391608,795,260,1016,685.687062937063,718.5,187
1,43,3.316625,4.80155374953077,1.07556212382778,1.0090713552569,1288,871.900636942675,903,210,1231,809.323566878981,842,97
1,44,2.54345,3.68348809129029,1.04870777482325,0.990050503762308,1207,818.495016611296,847,295,1151,767.137873754153,823.5,154
1,45,2.25615,3.13151757583951,1.05915922113501,1.07594144822105,945,631.707865168539,653.5,186,1218,816.426966292135,850.5,199
1,46,3.5152,5.06383250982778,1.07498800243471,1.0090713552569,1203,805.144230769231,825.5,242,1030,598.887019230769,645.5,85
1,47,2.640625,3.96117315730203,1.0811896094671,0.990050503762308,1434,976.496,1021,280,1339,870.2528,905,248
1,48,3.527875,5.00764409924502,1.05190304941034,1.02774023955472,874,569.784431137725,592,167,1108,754.956886227545,798,135
1,49,2.589925,3.67154328932551,1.04530702901419,0.946414285606467,789,519.978792822186,543,147,1093,742.070146818923,777,242
1,50,2.226575,3.08420264185125,1.07811412949543,1.04,696,461.170777988615,485,162,998,625.88045540797,681,107
1,51,4.237675,6.28072021769077,1.12899567054887,0.990050503762308,668,433.777666999003,447,128,1112,723.901296111665,748,190
1,52,3.59125,5.26536533894802,1.07969111936978,1.0090713552569,757,482.931764705882,499.5,151,1033,642.356470588235,696.5,136
1,53,3.54055,5.14460415449053,1.09621248742903,1.0174109297624,1215,750.879474940334,767,246,1148,738.463007159905,783,142
1,54,2.22235,3.21001046020527,1.07638352251439,0.946414285606467,1140,767.752851711027,792.5,202,1130,761.87072243346,789,172
