Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.480075,3.26577164466275,1.02344365057307,1.04,549,312.618398637138,322,97,629,396.115843270869,420,73
1,3,2.665975,3.315,1,0.975,436,264.667194928685,282,75,704,427.84469096672,450,63
1,4,2.327975,3.23650711563425,1.069137182015,1.0090713552569,563,357.219600725953,370,124,539,356.34664246824,374,80
1,5,4.1743,6.01233585439879,1.08193431459352,1.0174109297624,553,359.776315789474,375,75,733,461.900809716599,479,63
1,6,2.767375,3.80233585439879,1.04509776913262,1.11830228471554,202,117.268702290076,121,24,689,412.984732824427,445,55
1,7,2.8223,3.73654328932551,1.03902260612825,1.0090713552569,649,397.760479041916,412,94,617,403.72754491018,432,73
1,8,3.358875,4.70728922050226,1.07897188495419,1.02774023955472,308,173.110691823899,178,41,656,410.911949685535,431,100
1,9,4.30105,5.93384297003303,1.06172572321915,1.07594144822105,408,254.504911591356,262,75,573,351.867387033399,367,47
1,10,2.598375,3.47654328932551,1.04552018921728,1.07200746266059,571,371.843902439024,384,122,647,419.681300813008,438,116
1,11,3.739125,5.07270598642227,1.06896314025272,1.0090713552569,358,201.396610169492,208,50,582,401.256497175141,424,70
1,12,3.60815,5.01885822331377,1.07468842378213,1.0090713552569,546,362.077283372365,376,107,733,445.461358313817,464,77
1,13,3.088475,4.05309703885628,1.08072885594825,1.07594144822105,366,221.436388508892,229,63,630,433.272229822161,462,125
1,14,2.336425,3.23921310205652,1.04896351833882,1.105,1044,686.940325497288,712,209,676,415.452079566004,436,94
1,15,2.716675,3.6757354709715,1.0519182049359,1.0090713552569,281,177.877138413686,181,58,684,446.947122861586,475,93
1,16,3.549,4.95656420973603,1.07916188223312,1.02774023955472,576,372.940476190476,385,111,508,323.485714285714,346,61
1,17,3.722225,5.07541197284454,1.07744617690898,1.10691011378522,329,207.115777525539,213,32,689,429.299659477866,448,91
1,18,2.7547,3.90270598642227,1.10922249317564,1.0090713552569,367,206.121165644172,212,56,634,400.934049079755,417.5,102
1,19,2.843425,3.89808657865101,1.06531245501617,1.07200746266059,374,231.289747399703,236,62,612,418.096582466568,435,110
1,20,2.7378,3.91385822331377,1.07437962789608,1.0090713552569,276,169.842592592593,174,62,637,401.734567901235,418.5,73
1,21,2.49275,3.55540151263927,1.08170772741285,1.0090713552569,332,202.361016949153,206.5,42,681,432.367796610169,461,62
1,22,2.50965,3.49693434175952,1.09047028206355,1.0090713552569,477,313.698653198653,327.5,71,657,415.858585858586,435,69
1,23,2.547675,3.58885822331377,1.07744617690898,1.0090713552569,329,212.054726368159,218,58,670,424.033167495854,446,114
