Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,2,2.93215,4.34193434175952,1.06731621988053,0.946414285606467,5341,3770.87319884726,3934.5,1230,1206,781.131123919308,844,174
1,3,3.198325,4.8627269068328,1.05714452113122,0.975,5860,4185.13738441215,4353,1346,1223,839.262879788639,876,239
1,4,2.750475,3.7588477631085,1.01390986461495,1.0090713552569,2973,2154.26574500768,2305,697,1291,826.514592933948,887,222
1,5,3.113825,4.93425973595304,1.0717329905364,0.946414285606467,4684,3341.43147896879,3512,1096,1088,740.518317503392,783,181
1,6,2.277275,3.30655374953077,1.0820967514902,0.990050503762308,2789,1905.52690166976,1986,583,1149,740.588126159555,766,157
1,7,3.325075,4.83501046020526,1.05940154437024,0.946414285606467,3552,2451.49301143583,2566,803,1031,686.268106734435,710,148
1,8,2.099825,3.0057097574855,1.03477196073741,0.975,3022,2061.96981891348,2181,659,1224,819.907444668008,854,216
1,9,3.299725,4.8088791437243,1.05367589863188,0.990050503762308,2370,1643.77336747759,1723,548,1345,877.090909090909,928,176
1,10,3.840525,5.95466124859231,1.03377471314929,0.937443331620637,4933,3521.05060506051,3604,1126,1161,748.185918591859,770,246
1,11,4.263025,6.51003138061579,1.08143898215059,0.937443331620637,4005,2809.31813676908,2875,963,1205,770.297324083251,811,203
1,12,2.319525,3.24112652340551,1.07839726507371,1.04,3868,2650.1912568306,2768,872,1263,779.526411657559,833,183
1,13,3.50675,5.19765935252575,1.04889412669318,0.946414285606467,2405,1666.77469879518,1747.5,420,1266,824.385542168675,856.5,197
1,14,2.581475,3.77079256507328,1.09379118590881,0.990050503762308,3661,2621.60065466448,2724,841,1283,859.805237315876,899,285
1,15,2.28995,3.3507354709715,1.05555919877954,0.946414285606467,3805,2582.00184501845,2668,806,1112,726.90221402214,764,174
1,16,2.387125,3.58694480196478,1.06896314025272,0.990050503762308,6228,4462.67256637168,4683,1427,1414,917.334513274336,969,227
1,18,3.94615,6.21110080991951,1.07802006642908,0.937443331620637,5466,3835.23875802998,3987.5,1173,1455,949.570663811563,1001.5,211
1,19,2.589925,3.99648140214825,1.06038990632081,0.990050503762308,4526,3190.59053833605,3307,890,1180,727.179445350734,763,173
1,20,2.074475,3.27224258660574,1.07208159157805,0.946414285606467,5344,3601.12627291242,3724,1002,1334,865.887983706721,900,216
1,21,3.578575,5.73003138061579,1.07657490619211,0.930658369112963,2644,1847.70602125148,1908,558,1292,818.639905548996,841,166
1,22,1.96885,2.82654328932551,1.04943884835915,0.946414285606467,3249,2227.61373390558,2358.5,622,1281,802.645922746781,835.5,183
1,23,2.56035,3.86001046020526,1.06917191142103,0.946414285606467,3246,2330.94719471947,2422.5,818,1222,808.745874587459,878,188
1,24,3.637725,5.44076685158729,1.04630131761294,0.990050503762308,2686,1872.868757259,1964,643,1125,701.09756097561,766,137
1,25,2.32375,3.30193434175952,1.07790577136014,1.0090713552569,3443,2332.03272727273,2430.5,913,1309,856.254545454545,911.5,181
1,26,2.480075,3.644557520594,1.06534817867001,0.990050503762308,3128,2199.43611584327,2343,835,1223,762.083475298126,822,169
1,27,2.34065,3.39194480196478,1.07784575575014,1.02774023955472,2628,1842.3357400722,1922,642,1422,894.382671480144,943,240
1,28,2.52655,3.59539105243401,1.05135584562486,0.946414285606467,2841,2027.60869565217,2128,725,1422,952.824414715719,990.5,269
1,30,2.7547,4.10041197284454,1.05772362251712,0.990050503762308,2603,1876.17331288344,1974.5,516,1267,843.90490797546,874,267
1,31,2.1801,3.25461940777126,1.041115798688,0.91,4908,3499.37790697674,3640.5,1299,1457,1001.13372093023,1045,288
1,33,3.460275,5.11348809129028,1.08552925833575,0.946414285606467,2967,2097.05860805861,2228,646,1601,1060.01953601954,1118,295
1,35,2.56035,3.6938477631085,1.01414677034764,0.867208164168212,4922,3543.47194719472,3714.5,1189,1375,930.293729372937,973.5,274
1,36,2.6195,3.83961940777126,1.0323702573837,0.91,2543,1707.49677419355,1785,556,1177,742.422580645161,771,148
1,37,2.873,4.27231493398826,1.0491318508096,0.946414285606467,3210,2310.48970588235,2407,751,1179,804.072058823529,850,175
1,38,3.43915,5.26998474671927,1.07881917627728,0.946414285606467,4017,2832.10442260442,2933,1081,1220,797.178132678133,854.5,152
1,39,2.319525,3.47192388155425,1.00763600770152,0.867208164168212,2520,1850.78324225865,1967,668,1243,852.355191256831,899,269
1,40,3.64195,5.56116269709676,1.04664404944844,0.946414285606467,3804,2622.39675174014,2666.5,771,1679,1117.28886310905,1143,345
1,41,2.353325,3.65385822331377,1.07684967654196,0.884095583067804,3453,2472.24775583483,2599,897,1144,774.048473967684,821,238
1,42,2.5181,3.47192388155425,1.00763600770152,0.946414285606467,3451,2458.45805369128,2574,918,1208,828.845637583893,864,179
1,43,2.50965,3.70493811282275,1.07069969345443,0.990050503762308,3575,2491.47306397306,2593,686,1425,927.542087542088,964.5,271
1,44,2.23925,3.16731493398826,1.06181463866535,0.946414285606467,5550,3898.47547169811,4043,1466,1062,636.892452830189,700.5,140
1,45,1.922375,2.76154328932551,1.05038098032057,0.946414285606467,3139,2098.11868131868,2243,663,1081,662.646153846154,718,140
1,46,1.78295,2.56882204962251,1.05547185479951,1.01533245786787,3255,2223.24407582938,2331,731,1374,897.649289099526,928.5,298
1,47,2.45895,3.59077164466275,1.02283649612302,0.946414285606467,3103,2211.28178694158,2332.5,696,1296,867.281786941581,908.5,263
1,48,2.6195,4.20725304681101,1.06800875489173,0.930658369112963,4526,3387.02903225806,3554.5,1307,1554,1109.65483870968,1165.5,464
1,49,3.156075,4.48961940777126,1.02805273478168,0.946414285606467,2364,1739.52610441767,1841,528,1256,899.234270414993,945,329
1,50,2.9068,4.42221687311975,1.04188091473923,0.923823576230873,5343,3756.30959302326,3951.5,1259,1378,930.875,978,316
1,51,2.1632,3.33766981273101,1.11601385211343,0.990050503762308,4097,2884.396484375,3005,1002,1075,651.751953125,694.5,137
1,52,2.049125,3.10878587593125,1.05478974389031,0.937443331620637,2892,2030.68453608247,2150,693,1020,652.503092783505,690,171
1,53,2.125175,3.0438477631085,1.01704844576215,0.946414285606467,2627,1854.94035785288,1941,662,1348,897.616302186879,941,294
1,54,3.570125,5.38002092041053,1.11363731061502,0.946414285606467,4093,2873.1798816568,2970,1069,1227,779.708875739645,817,186
1,55,3.080025,4.42461940777125,1.03031598852387,0.946414285606467,3404,2396.23182441701,2477,789,1373,941.130315500686,984,217
1,56,2.8223,4.02346717087976,1.04183694186275,0.946414285606467,3007,2113.18862275449,2240.5,756,1134,733.811377245509,770.5,189
1,57,3.5828,5.79503138061579,1.09213151937588,0.946414285606467,3175,2198.49764150943,2301.5,817,1304,832.30070754717,874.5,206
1,58,2.4674,3.43846717087976,1.04777156427428,1.0090713552569,2419,1709.35273972603,1789,648,1360,925.352739726027,960,313
1,59,2.32375,3.487695526217,1.03110021546863,0.91,3448,2517.85818181818,2610,865,1310,871.325454545455,900,334
1,60,1.7914,2.71502092041053,1.03617507466852,0.966294468575703,2705,1854.21698113208,1953,645,1120,713.122641509434,748,177
1,61,2.86455,4.49041197284454,1.06839721374156,0.937443331620637,2300,1590.20943952802,1660,604,1117,753.373156342183,785.5,216
1,62,4.263025,6.73806086516502,1.07829748166503,0.884095583067804,2474,1739.00693756194,1808,607,1290,864.995044598612,897,270
1,63,2.615275,3.93148140214825,1.05852538165709,0.990050503762308,2259,1606.26817447496,1679,636,1423,937.715670436187,991,274
1,64,2.843425,4.03461940777126,1.03094432229408,0.946414285606467,1965,1333.5646359584,1399,488,1381,905.68499257058,950,287
1,65,2.454725,3.79771644662753,1.0638821202286,0.990050503762308,1896,1319.9604130809,1368,462,1115,730.368330464716,766,212
1,66,3.99685,6.10696572237531,1.05886842981554,0.975,2357,1626.3266384778,1683.5,555,1380,922.903805496829,965.5,207
1,67,2.3322,3.59809703885628,1.07531716468635,0.946414285606467,2217,1529.39311594203,1593.5,465,1497,950.536231884058,984,226
1,68,3.2955,4.917695526217,1.02089955717991,0.867208164168212,4392,3182.80512820513,3310.5,1022,1204,823.488461538462,862.5,252
1,69,3.549,5.13961940777126,1.0247388194659,0.91,6880,4934.89642857143,5222,1721,1292,865.410714285714,916,193
1,70,2.944825,4.16461940777126,1.03006017667721,0.946414285606467,2196,1510.9368723099,1591,524,1184,788.209469153515,825,228
1,71,2.91525,4.3952929915655,1.04327339689103,0.990050503762308,2175,1476.80434782609,1532,574,1249,778.371014492754,811.5,246
1,72,2.8899,4.40650711563425,1.05706517286998,0.946414285606467,3191,2251.57602339181,2369,712,1264,869.701754385965,908,218
1,73,2.52655,3.65656420973604,1.04952317880925,0.990050503762308,1787,1173.42307692308,1215,384,1324,868.802675585284,902,245
1,74,3.4307,5.11078210486802,1.06604259790424,0.946414285606467,2670,1917.5184729064,2008.5,679,1247,836.600985221675,855.5,295
1,75,2.873,4.28340528370251,1.06440376431944,0.937443331620637,4117,2976.02794117647,3116.5,1069,1307,890.239705882353,914.5,278
1,76,2.71245,4.43805040495976,1.07354341110706,0.867208164168212,4085,2959.65264797508,3078.5,946,1061,735.774143302181,762,188
1,77,3.5997,5.22039105243401,1.03745087458637,0.946414285606467,4312,3012.2676056338,3071.5,1046,1456,976.306338028169,1005.5,350
1,78,2.471625,3.68348809129029,1.05304428308739,1.02774023955472,1058,708.316239316239,734,191,873,563.562393162393,601,130
1,79,2.361775,3.90732539419352,1.09223625111796,0.884095583067804,2670,1932.68515205724,2015,652,1087,734.440071556351,765,197
1,80,2.27305,3.51270598642227,1.08126520382422,0.930658369112963,3951,2808.36059479554,2897.5,1199,1441,930.156133828996,968,321
1,81,2.919475,4.64462986797652,1.07479743006598,0.867208164168212,4151,3070.79594790159,3189,1297,1119,797.657018813314,833,307
1,82,1.812525,2.81305040495976,1.1303089650934,0.992181938960794,2816,1964.11421911422,2054,725,1632,1066.18414918415,1089,352
1,83,3.080025,4.30577164466275,1.01803382946793,0.91,2124,1448.52126200274,1512,469,1136,734.38683127572,786,178
1,84,1.897025,3.02886868351903,1.04483977435419,0.937443331620637,2569,1884.27394209354,1977,812,1158,808.953229398664,832,250
1,85,2.30685,3.55731493398826,1.0567678010646,0.867208164168212,3648,2639.3021978022,2720,1109,1336,892.111721611722,918.5,284
1,86,2.0111,3.13109034971425,1.06391103260667,0.990050503762308,2973,2066.86554621849,2189.5,705,1455,997.741596638655,1041,401
1,87,1.7914,2.70578210486802,1.08168780697771,0.990050503762308,3074,2103.18867924528,2170.5,762,1036,681.792452830189,703,194
1,88,3.32085,5.06808657865101,1.06173334861575,0.946414285606467,4369,3043.02926208651,3135,1045,1483,990.035623409669,1015,267
1,89,1.761825,2.84040151263927,1.10074893017497,1.0090713552569,2437,1659.17745803357,1721,545,1120,711.525179856115,739,177
1,90,2.2984,3.55035487874275,1.07182142497161,0.91,2795,1944.33639705882,2032.5,693,1242,830.591911764706,865,281
1,91,2.4674,3.85347763108502,1.08219740437695,0.946414285606467,1868,1321.19863013699,1384.5,465,1167,750.592465753425,780,270
1,92,2.6871,4.11618361750729,1.05353120186074,0.937443331620637,2649,1971.89779874214,2076.5,756,1207,811.918238993711,840,268
1,93,2.12095,3.254557520594,1.04087102145271,0.959713498915171,2733,1888.58565737052,1987,712,1257,823.802788844622,861,317
1,94,2.83075,4.38462986797652,1.07684967654196,0.884095583067804,2544,1774.07611940299,1847,699,1371,941.837313432836,974,371
1,95,2.59415,4.13806086516502,1.08229454175107,0.937443331620637,4233,2987.02931596091,3099.5,1031,1370,907.802931596091,940,258
1,96,1.956175,3.11346717087976,1.0517839955886,0.867208164168212,3061,2075.93304535637,2172,674,1085,731.097192224622,758,210
1,97,2.61105,4.29270598642227,1.07559088283283,0.845,3633,2578.0355987055,2655,945,989,660.244336569579,680.5,173
1,98,1.837875,3.0461265234055,1.07824785424096,0.872066511224918,3071,2097.68505747126,2198,684,934,583.75632183908,613,136
1,99,2.674425,4.24113698361077,1.07137257860214,0.930658369112963,4061,2914.57187993681,3033,1058,1134,756.129541864139,787,272
1,100,2.8054,4.45154328932551,1.03575530834375,0.867208164168212,1994,1349.15662650602,1379.5,463,1026,707.724397590361,718,250
1,101,3.401125,5.45234631460405,1.05900453312546,0.930658369112963,1923,1271.7801242236,1310,442,1211,825.472049689441,845,279
1,103,2.9575,4.77271644662753,1.10631632281756,0.930658369112963,3208,2319.84714285714,2395,862,1209,794.368571428571,816,343
1,104,2.792725,3.99654328932551,1.03973664007649,0.946414285606467,2883,2001.90317700454,2092,644,1089,693,743,183
1,105,4.094025,6.3465746699413,1.07393584198518,0.990050503762308,2307,1630.92672858617,1677,524,1310,876.980392156863,899,206
1,106,3.2786,4.944557520594,1.0762244690828,0.946414285606467,2946,2066.65721649485,2154.5,737,1226,811.099226804124,838.5,268
1,107,2.4674,3.90498474671927,1.07537293225582,0.937443331620637,3796,2741.69520547945,2829,913,1186,773.26198630137,796.5,170
1,108,2.4167,3.92920264185125,1.07330828417544,0.872066511224918,1998,1386.87762237762,1426.5,468,1047,712.106643356643,742,150
1,109,2.18855,3.45423881554251,1.06263020768144,0.867208164168212,2488,1776.70463320463,1846.5,603,1059,721.198841698842,740.5,260
1,110,2.539225,4.08840528370251,1.0595528753157,0.937443331620637,3446,2411.42928452579,2463,730,1256,843.352745424293,864,240
1,111,3.088475,4.88226350701627,1.03125285721436,0.937443331620637,3910,2720.8098495212,2786,1050,1113,694.740082079343,702,232
1,112,3.992625,6.49383250982777,1.08032364177609,0.930658369112963,5295,3586.12380952381,3630,1273,1057,684.885714285714,698,214
1,113,2.366,3.56464032818178,1.05756472952529,0.990050503762308,1616,1110.30714285714,1132,426,1070,714.178571428571,733.5,156
1,116,3.519425,5.73109034971425,1.07159225019268,0.872066511224918,6410,4487.01200480192,4612,1605,1084,699.166866746699,712,201
1,117,2.3322,3.59496382630874,1.04278866551788,0.872066511224918,4091,2826.80072463768,2899,1045,1017,693.807971014493,708,205
1,118,2.08715,3.14771644662753,1.03339434035808,0.966294468575703,1802,1184.47570850202,1216.5,435,1116,709.133603238866,736.5,228
1,119,2.18855,3.28382204962251,1.07587535955584,1.0090713552569,1870,1239.22200772201,1277,414,945,606.552123552124,628,182
2,1,3.9039,6.12613698361077,1.07939873105597,0.946414285606467,2917,2061.61688311688,2164.5,550,1355,889.310606060606,942,147
2,2,2.4843,3.76574593117676,1.07861076428013,0.946414285606467,4285,3027.90816326531,3180.5,947,1150,769.125850340136,797.5,149
2,3,2.6533,3.71041197284454,1.04410895004105,1.0174109297624,3525,2477.03025477707,2594,676,1246,810.707006369427,880.5,171
2,4,3.33775,4.59731493398826,1.04624356284983,1.0090713552569,1664,1134.46455696203,1166.5,316,1236,743.650632911392,816,146
2,5,2.387125,3.97694480196478,1.09100284149429,0.884095583067804,4196,3026.30973451327,3153,804,1106,683.350442477876,759,105
2,7,2.028,3.01728922050227,1.03875840807162,0.990050503762308,1676,1091.75416666667,1123,342,1005,586.30625,641.5,82
2,8,2.37445,3.59347763108502,1.08234209501489,0.946414285606467,4539,3135.09608540925,3259.5,950,1319,811.14768683274,886.5,137
2,10,2.1294,3.27501046020526,1.07567487113583,0.91,5369,3841.48214285714,3959.5,1292,1147,726.571428571429,778.5,128
2,11,2.682875,3.92032916525676,1.05022862496781,1.0174109297624,2683,1857.67874015748,1972,623,1176,759.188976377953,798,112
2,13,2.404025,3.49693434175952,1.07597979746447,0.946414285606467,2967,2126.05448154657,2251,636,1410,859.316344463972,953,167
2,14,2.44205,3.57913029446874,1.08113310565379,0.990050503762308,2517,1826.8892733564,1926,514,1205,784.307958477509,847.5,151
2,15,2.911025,4.12924927574777,1.08233856094396,1.0090713552569,1262,837.436865021771,877,189,1253,812.413642960813,861,164
2,16,3.037775,4.60421310205652,1.07745633372208,0.946414285606467,2466,1700.31154381085,1779,544,1278,832.101529902643,878,148
2,17,2.192775,3.12732539419353,1.09093760401949,1.04,2595,1817.1753371869,1897,599,1378,860.653179190751,928,111
2,18,4.4785,6.57879633613651,1.07739691636338,0.990050503762308,2465,1738.46698113208,1813,430,1169,763.191509433962,806,155
2,19,2.699775,4.12420264185125,1.07172319052306,0.946414285606467,5394,3926.03286384977,4117,1233,1248,841.558685446009,905,160
2,20,2.5012,3.68916646815999,1.07490110961711,0.990050503762308,4141,2929.35641891892,3062,996,1294,821.761824324324,885.5,145
