Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.704,3.86462986797652,1.08047970539618,1.0090713552569,1975,1334.1640625,1403.5,461,1073,683.878125,735.5,131
1,2,2.623725,3.85113698361077,1.06258883653393,0.990050503762308,1737,1131.80515297907,1189,266,1028,650.77616747182,673,94
1,3,3.375775,5.01232539419352,1.07894785554672,0.946414285606467,2121,1451.53817271589,1514,437,1063,682.158948685857,713,177
1,4,2.10405,3.10607988950898,1.08492171083894,0.946414285606467,2321,1606.03212851406,1681.5,478,1263,804.433734939759,850,202
1,5,2.1463,3.10921310205652,1.03766618720751,0.975,3096,2152.37204724409,2291.5,714,1035,661.037401574803,697,128
1,6,2.125175,2.95192388155425,1.0089556517268,0.946414285606467,2043,1395.45725646123,1466,424,1086,701.679920477137,732,149
1,7,1.897025,2.77688770786299,1.05204576773662,0.946414285606467,1879,1278.79732739421,1334,436,1041,701.541202672606,745,103
1,8,2.116725,3.19147094194299,1.07451452554357,0.946414285606467,2421,1665.74251497006,1730,540,958,548.245508982036,586,93
1,9,3.2955,5.12925973595304,1.08516458432124,0.990050503762308,1860,1326.14102564103,1372.5,512,1163,751.164102564103,784.5,193
1,10,3.341975,5.00579256507328,1.08955279076973,0.946414285606467,2289,1516.95195954488,1563,543,1218,762.055625790139,803,136
1,11,2.015325,2.9407097574855,1.03142171858819,0.975,2822,1993.70859538784,2096,672,1384,916.335429769392,958,262
1,12,2.8223,4.39386868351903,1.1071227239132,0.946414285606467,2034,1393.6122754491,1449,561,1062,710.416167664671,758.5,179
1,13,3.003975,4.40693434175952,1.06667604227605,1.0090713552569,2260,1498.27566807314,1561,482,1460,994.194092827004,1023,210
1,15,2.4505,3.69002092041053,1.07437962789608,0.990050503762308,919,592.374137931035,612,168,1037,684.624137931035,719.5,97
1,16,3.003975,4.16461940777126,1.03326992793117,1.0090713552569,1837,1221.26582278481,1274,460,1205,796.873417721519,840,185
1,17,2.936375,4.65848809129029,1.07400248298786,0.946414285606467,2043,1376.00431654676,1429,493,1240,836.797122302158,874,297
1,18,2.5012,3.74848809129029,1.04852813742386,0.990050503762308,1810,1216.90540540541,1280,331,1115,739.886824324324,797.5,159
1,19,2.35755,3.52996382630874,1.04129179487558,0.946414285606467,1909,1332.03405017921,1377.5,395,991,671.247311827957,701.5,153
1,20,1.9604,3.0930142312685,1.0587486677953,0.990050503762308,1297,857.834051724138,900.5,300,1009,677.323275862069,708,221
1,21,3.181425,5.00536533894801,1.11090195038303,0.990050503762308,2107,1396.75564409031,1443,450,1247,818.385126162019,839,222
1,22,2.125175,3.37155374953077,1.09375991576616,0.930658369112963,3109,2175.86083499006,2305,692,965,614.65606361829,658,123
1,23,3.25325,5.14503138061579,1.06828836667959,0.937443331620637,3017,2131.67662337662,2236,663,1205,735.997402597403,774,179
1,24,2.944825,4.61807132537028,1.03533985988546,0.990050503762308,2265,1531.5050215208,1573,585,996,649.123385939742,684,78
2,1,1.96885,3.08228922050227,1.03974864564043,0.937443331620637,1203,779.605150214592,804,246,993,647.045064377682,684,169
2,2,3.16875,4.52116269709676,1.05509585784226,0.975,1801,1273.27066666667,1326,377,1131,682.848,762,99
2,3,2.674425,3.81269552621701,1.02654306970036,0.946414285606467,1994,1417.01105845182,1477,497,1098,727.159557661927,769,173
2,4,2.556125,3.66118361750729,1.01990150833744,0.975,2596,1843.54380165289,1965,554,1152,726.304132231405,759,134
2,5,2.40825,3.51413029446874,1.0592552848467,0.990050503762308,2215,1542.02280701754,1635,469,970,608.954385964912,660,75
2,6,3.181425,4.63539105243401,1.04827769804199,0.946414285606467,1776,1175.34528552457,1208,352,1212,784.682602921647,831,176
2,8,3.4645,5.29228922050227,1.07994883135377,0.990050503762308,962,635.434146341463,656,216,1064,662.309756097561,689,84
2,9,2.32375,3.36182582068574,1.02927437495093,0.975,925,611.474545454545,640,210,939,597.110909090909,644.5,94
2,10,3.211,4.877278760297,1.06264471010589,0.946414285606467,2252,1624.80394736842,1706.5,593,1111,746.934210526316,786,159
2,11,2.834975,4.47002092041053,1.09034468189493,1.01533245786787,2422,1614.38897168405,1663,372,1485,967.144560357675,1020,186
2,12,3.088475,4.94732539419352,1.07931419615581,0.946414285606467,3182,2241.55813953488,2332,864,981,630.047879616963,659,107
