Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,3.15185,4.91578210486802,1.06771960496683,0.946414285606467,368,230.19436997319,238.5,61,1181,777.124664879357,799.5,214
1,2,2.17165,3.31579256507328,1.04962471947159,0.990050503762308,589,396.264591439689,412,118,1067,708.924124513619,746.5,223
1,3,1.8421,2.65846717087976,1.05849312387088,0.946414285606467,451,273.383027522936,286,66,1259,798.901376146789,827.5,156
1,4,2.71245,4.13195526217004,1.02999891607313,0.966294468575703,347,200.457943925234,205,44,1142,678.764797507788,744,107
1,5,2.420925,3.92920264185125,1.07330828417544,0.884095583067804,2918,2060.31239092496,2174,840,1117,728.717277486911,782,182
1,6,2.919475,4.2138477631085,1.0124499341393,0.946414285606467,896,578.96526772793,595,173,1376,931.412445730825,966,273
1,7,2.69555,4.33540151263927,1.08128116397437,0.946414285606467,597,379.34012539185,390,108,1288,835.550156739812,866,272
1,8,2.2477,3.23921310205652,1.04896351833882,1.01533245786787,322,193.772556390977,196.5,44,1083,717.712406015038,746.5,259
1,9,2.784275,4.31266981273101,1.07944837148125,0.930658369112963,377,228.593323216995,237,67,1142,778.97875569044,833,149
1,10,1.829425,2.65846717087976,1.05849312387088,0.946414285606467,426,265.551963048499,278,85,1336,888.009237875289,909,310
1,11,1.559025,2.71693434175952,1.10150009911415,0.946414285606467,401,225.69647696477,226,68,1146,706.837398373984,710,243
1,12,2.260375,3.49650711563425,1.06629449341212,0.91,512,336.052336448598,350,91,1204,794.869158878505,827,247
1,13,1.820975,2.81347763108502,1.07375061921325,0.946414285606467,668,403.027842227378,409,110,1409,913.443155452436,923,274
1,14,2.640625,3.88687245458226,1.01880793774637,0.975,491,298.7728,302,91,1235,793.5072,848,139
1,15,2.62795,4.04003138061579,1.03404014774074,0.937443331620637,535,336.212218649518,344,76,1288,820.131832797428,860,192
