Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,2,2.488525,3.74806086516502,1.05985736637188,1.0090713552569,1372,929.414261460102,964,341,856,551.388794567063,573,99
1,3,2.0618,2.91846717087976,1.06153980926978,1.0090713552569,815,521.340163934426,546,129,799,500.973360655738,520,118
1,4,2.9068,4.17385822331377,1.07185887225621,1.0174109297624,657,438.686046511628,453,135,723,485.751453488372,510.5,131
1,5,3.181425,4.29461940777126,1.02922426948357,1.0090713552569,743,482.065073041169,502,150,939,579.758300132802,616,113
1,6,2.3998,3.49040151263927,1.08134803506587,1.0174109297624,845,519.139084507042,537.5,113,963,630.014084507042,656.5,169
1,7,2.94905,4.07269552621701,1.02496028554899,0.975,783,529.515759312321,556,144,881,550.732091690544,580,123
1,8,2.911025,4.21883250982778,1.05890824481577,1.0174109297624,723,432.923076923077,445,128,872,571.806966618287,599,102
1,9,2.251925,3.23693434175952,1.0785168470185,1.0090713552569,999,653.660412757974,679,200,905,563.793621013133,603,127
1,10,2.032225,2.91378587593125,1.03249652793171,1.01533245786787,917,601.754677754678,632,174,998,679.588357588358,708,196
1,11,1.91815,2.71231493398826,1.06854258936386,1.0090713552569,693,412.301762114537,431,98,918,567.629955947137,593,160
1,12,3.654625,4.73846717087976,1.03625298013505,1.0090713552569,742,445.504046242775,466,104,870,573.803468208092,604,136
1,13,2.7547,4.09579256507328,1.07403680422226,1.0090713552569,746,507.23773006135,526,190,687,463.98773006135,484,83
1,14,3.9546,5.33923881554251,1.05172227562873,1.0090713552569,729,464.792735042735,481.5,146,780,481.291666666667,517,71
1,15,2.006875,2.73,1,0.975,579,377.292631578947,397,132,826,542.385263157895,565,111
1,17,2.387125,3.30335864980598,1.05830956190638,1.07200746266059,705,463.591150442478,482,114,869,570.026548672566,595,132
1,18,1.981525,2.73036533894802,1.02361434116188,1.06607926534569,821,529.044776119403,544,177,786,469.326226012793,508,73
1,19,2.015325,2.93189816806826,1.07243655533953,1.0090713552569,533,317.077568134172,326,94,808,512.450733752621,548,106
1,20,2.34065,3.18308657865101,1.07375061921325,1.0090713552569,1708,1139.06137184116,1188.5,310,784,493.111913357401,523.5,111
1,21,3.265925,4.54155374953077,1.07747723155648,1.0090713552569,805,522.987063389392,547,116,1049,696.106080206986,728,180
1,22,2.62795,3.6107354709715,1.05871535053436,1.0090713552569,794,537.607717041801,563,186,1040,695.353697749196,716,158
1,23,3.2786,4.35265935252575,1.04977802682724,1.07200746266059,1025,660.22293814433,693,167,956,629.596649484536,657.5,178
1,24,2.0618,2.99079256507328,1.03274399916079,1.01533245786787,747,491.729508196721,514.5,170,823,517.665983606557,543.5,90
1,25,3.5659,4.97616269709676,1.05108665109326,1.0090713552569,1758,1149.60308056872,1181,382,959,615.879146919431,644.5,109
1,26,2.226575,3.1357097574855,1.04650915888886,1.0174109297624,907,581.910815939279,609,151,758,480.943074003795,510,114
1,27,3.519425,4.84424927574778,1.11122857538635,1.07594144822105,1719,1109.83793517407,1149,427,891,532.8787515006,583,78
1,28,2.809625,3.95846717087976,1.04611133161226,1.0090713552569,635,391.23007518797,404,97,881,572.873684210526,592,86
1,29,2.623725,3.71417692836526,1.03568314205164,0.975,1042,708.457326892109,741,210,1027,676.623188405797,713,140
1,30,2.3153,3.13805040495976,1.07817527945244,1.02774023955472,961,624.686131386861,653,194,1023,697.18795620438,722,176
1,31,2.987075,4.09998474671927,1.0827120377915,1.02774023955472,1154,793.596888260255,842,242,871,578.994342291372,615,139
1,32,2.420925,3.48806086516502,1.04758382117163,1.02774023955472,747,469.841186736475,488,117,1044,688.636998254799,712,239
1,33,2.6871,3.92962986797652,1.08008539113874,1.0090713552569,766,513.014150943396,536,152,882,555.616352201258,581,76
1,34,3.4645,4.69613698361077,1.10280199542899,1.07594144822105,1020,672.64756097561,696.5,217,881,570.457317073171,610.5,122
1,35,1.880125,2.49692388155425,1.01055050385483,1.0090713552569,934,619.676404494382,644,219,897,572.449438202247,617,142
1,36,3.23635,4.36423881554251,1.05257077141232,1.0090713552569,593,366.600522193211,379,98,740,464.672323759791,504,97
1,37,1.95195,2.56192388155425,1.01028880179665,1.0090713552569,729,479.982683982684,503,119,912,565.735930735931,585.5,145
1,38,2.01955,2.73461940777126,1.04365474598586,1.0090713552569,899,567.374476987448,589,200,800,473.654811715481,528,87
1,39,2.116725,3.032695526217,1.0327470226379,0.946414285606467,791,513.59880239521,535,136,924,597.794411177645,645,129
1,40,2.175875,3.21924927574778,1.0733798031766,1.0090713552569,520,323.064077669903,335,99,860,538.807766990291,572,96
1,42,2.79695,3.95193434175952,1.07127507751837,1.0090713552569,766,475.891238670695,490,148,865,560.344410876133,605,107
1,43,2.175875,3.11346717087976,1.05792286481288,1.0090713552569,1132,722.015533980583,741,227,953,629.18640776699,657,124
1,44,2.547675,3.3688477631085,1.01546314390603,1.0090713552569,858,569.699834162521,597,168,1001,653.878938640133,704,155
1,45,1.956175,2.63154328932551,1.0523647784842,1.04,738,494.120950323974,528,181,833,545.576673866091,617,92
1,46,2.05335,3.07724258660574,1.06880598223121,0.990050503762308,1317,890.41975308642,930,297,976,596.820987654321,625,123
1,47,2.539225,3.39577164466275,1.02259783107727,1.0090713552569,769,494.279534109817,515,139,774,465.91846921797,500,90
1,48,3.350425,4.69151757583952,1.11305593816575,1.0090713552569,999,679.9394703657,706,195,1124,710.139974779319,729,146
1,49,2.251925,2.9788477631085,1.01840949166103,1.0090713552569,815,522.872420262664,538,179,968,627.671669793621,651,144
1,50,3.840525,5.3680142312685,1.07470767628943,1.0090713552569,726,460.550055005501,476,120,783,450.675467546755,493,52
1,51,2.91525,3.97460415449053,1.04180374049085,1.04809350727881,1040,694.011594202899,728,223,1059,689.771014492754,731.5,148
1,52,2.07025,2.85346717087976,1.0554471029397,1.04,793,510.295918367347,533.5,162,829,518.34693877551,549,75
1,53,1.922375,2.56192388155425,1.01028880179665,1.0090713552569,1447,960.562637362637,998,337,976,578.516483516484,620,124
1,54,1.90125,2.88266981273101,1.06563284950438,0.990050503762308,1602,1095.72222222222,1144,346,1052,666.184444444444,718.5,125
1,55,3.7518,5.33732539419353,1.07698625977504,1.0090713552569,1298,854.304054054054,878.5,273,1216,783.453828828829,823,133
1,56,3.42225,4.73846717087976,1.04131510501464,0.946414285606467,600,379.107407407407,393.5,97,964,620.237037037037,644,129
1,57,3.11805,4.20072021769077,1.02530037882391,1.02774023955472,507,307.455284552846,317.5,86,882,574.917344173442,617,108
1,58,2.0111,2.87109034971425,1.05467513757083,1.02774023955472,673,430.817226890756,447.5,122,978,626.180672268908,657,164
1,59,2.1801,3.04846717087976,1.05265949037412,1.0090713552569,90,41.1046511627907,40,3,125,57.8391472868217,57,7
1,60,3.096925,4.47464032818179,1.07550341524862,1.02774023955472,1210,801.859481582538,835,292,1012,644.755798090041,682,131
1,61,3.18565,4.52116269709676,1.05509585784226,1.0090713552569,1382,872.328912466843,906,246,1121,715.01724137931,750.5,178
1,62,2.028,3.05074593117676,1.07731964679155,0.990050503762308,1096,732.410416666667,771.5,232,1002,644.01875,679,159
1,63,2.725125,3.76425973595304,1.03661942173403,1.0174109297624,1131,766.804651162791,800,245,1095,690.905426356589,733,147
