Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.522325,4.05118361750729,1.04901384098168,0.990050503762308,540,358.892797319933,376,86,1193,766.110552763819,845,127
1,4,2.4505,3.74535487874275,1.06999221661724,0.946414285606467,1181,743.777586206897,782.5,241,1210,788.651724137931,842,118
1,5,2.2815,3.46539105243401,1.05867892684971,0.946414285606467,520,330.040740740741,343.5,123,1165,736.653703703704,762,131
1,6,1.5379,2.56882204962251,1.05547185479951,0.990050503762308,817,534.873626373626,554.5,152,1281,770.634615384615,839.5,111
1,7,2.378675,3.48763363903975,1.05126846593503,0.992181938960794,870,557.175843694494,583,187,1313,872.843694493783,919,195
1,8,2.10405,3.19381158941724,1.05919226933694,0.946414285606467,730,489.028112449799,512.5,118,1163,748,787,145
1,9,3.130725,4.51542243304981,1.01275691164297,0.990050503762308,789,516.408906882591,532,162,1223,783.790823211876,807,166
1,10,3.240575,5.26536533894802,1.07969111936978,0.946414285606467,1085,727.61147327249,755,274,1149,708.748370273794,732,152
1,11,2.4843,3.70265935252575,1.07402783216657,0.946414285606467,861,566.724489795918,599,162,1154,778.267006802721,819.5,150
1,12,1.736475,2.5238477631085,1.02038841083446,0.946414285606467,803,511.150851581509,524,173,1013,642.856447688564,697,123
1,13,2.344875,3.44579256507328,1.06024386617639,0.990050503762308,621,405.985585585586,420,107,1209,788.398198198198,803,192
1,14,1.711125,2.69882204962251,1.06148821702039,0.990050503762308,764,486.807407407407,499,165,1111,724.555555555556,757,120
1,15,2.8223,4.11952134690275,1.04233825158082,1.02774023955472,787,515.642215568862,537.5,142,1295,852.318862275449,874.5,179
1,16,2.8054,4.67340528370251,1.07120524614235,0.946414285606467,775,495.281626506024,510.5,163,1208,826.978915662651,852.5,341
1,17,2.218125,3.53771644662753,1.05449021401442,0.946414285606467,655,425.114285714286,445,126,1119,793.342857142857,839,198
1,18,1.96885,3.05579256507328,1.03832565024373,0.975,684,453.3669527897,472,136,1407,875.603004291846,924,195
1,19,2.860325,4.70501046020526,1.07737392225673,0.946414285606467,671,450.019202363368,456,138,1114,727.183161004431,744,313
1,20,2.52655,3.63303994475449,1.03064548246781,0.946414285606467,1394,931.267558528428,983.5,301,1367,801.516722408027,885.5,142
1,21,2.1632,3.21654328932551,1.04440242452788,0.946414285606467,896,586.673828125,609,173,1178,803.32421875,839,120
1,22,2.480075,4.03541197284454,1.05943514572999,0.937443331620637,1241,855.64395229983,890,257,1287,856.669505962521,917,142
1,23,1.711125,2.67885822331377,1.08231174597005,0.990050503762308,939,614.874074074074,645,179,1411,887.254320987654,933,145
