Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.539225,3.41154328932551,1.04636260744217,1.0090713552569,641,415.396006655574,431,103,1104,732.782029950083,758,180
1,2,2.539225,3.78847763108502,1.11387036312423,1.0174109297624,1168,774.966722129784,814,162,1082,647.24459234609,712,99
1,3,2.632175,3.74116269709676,1.06330884998427,0.975,1254,780.711075441413,805,170,1099,741.821829855538,776,231
1,4,2.868775,3.94731493398826,1.0523647784842,0.946414285606467,1462,960.574374079529,1009,222,959,633.231222385862,659,207
1,5,3.5152,5.10233585439879,1.07611591897905,1.02774023955472,997,657.961538461538,681,211,1088,702.853365384615,731,131
1,6,2.704,3.86228922050227,1.0692833134094,1.02774023955472,942,603.340625,635.5,162,1183,769.0015625,791.5,153
1,7,2.81385,4.032278760297,1.07004720099638,1.0090713552569,1215,849.867867867868,884.5,205,1140,762.90990990991,790.5,157
1,8,3.198325,4.72078210486802,1.09589623017538,0.975,480,288.322324966975,295,82,1012,667.997357992074,698,120
1,9,2.1801,3.29035487874275,1.07412569316259,0.975,957,598,624.5,190,1119,741.616279069767,778.5,137
1,10,2.589925,3.67154328932551,1.03962597048738,0.946414285606467,854,535.972267536705,561,159,1139,759.256117455139,793,148
1,11,2.7378,3.80886868351903,1.07109818872567,1.02774023955472,1332,865.637345679012,896,245,1143,715.726851851852,777,155
1,12,2.9406,4.18266981273101,1.07939776278818,1.0090713552569,1056,695.823275862069,726,188,1108,715.448275862069,769,139
1,13,2.556125,3.76425973595304,1.032656542283,0.975,1302,873.738842975207,906,266,1058,702.249586776859,746,154
1,14,2.522325,3.579557520594,1.05033688984281,1.02774023955472,1006,687.998324958124,725,146,1090,708.904522613065,762,157
1,15,3.080025,4.40231493398826,1.05503397199103,0.946414285606467,1238,810.880658436214,846,241,1072,704.706447187929,734,163
1,17,3.265925,4.66231493398826,1.04570319691299,1.0090713552569,992,618.8382923674,636,184,1027,667.490297542044,689,107
1,18,2.3153,3.23693434175952,1.0785168470185,1.0090713552569,827,527.155109489051,545,164,1002,669.881386861314,686,180
1,19,2.361775,3.46539105243401,1.05288244020121,1.0090713552569,925,610.286225402504,636,130,1449,948.180679785331,1021,237
1,20,2.547675,3.3688477631085,1.01546314390603,1.0090713552569,1211,800.897180762852,834,231,1087,669.114427860697,742,128
1,21,2.30685,3.16306086516502,1.02612310004775,1.0174109297624,1197,831.549450549451,866.5,272,1215,776.344322344322,841,141
1,22,2.2477,3.26485530523497,1.05726730534404,1.02774023955472,1485,989.90977443609,1027,256,1180,796.836466165414,837.5,181
1,23,2.437825,3.36040151263927,1.12869102830869,1.02774023955472,823,526.041594454073,537,142,996,635.86828422877,650,161
1,24,3.020875,4.17577164466275,1.01857026770862,0.946414285606467,2579,1728.71468531469,1804,471,1177,749.683916083916,802,138
1,25,3.57435,5.06808657865102,1.05394499223146,0.946414285606467,2521,1782.64420803783,1876,395,1149,734.275413711584,776.5,139
1,26,2.57725,3.79771644662754,1.07791194095029,0.990050503762308,794,520.080327868852,545,129,930,582.286885245902,643.5,101
1,27,2.2139,3.17421310205652,1.04209318417804,0.990050503762308,1362,900.177480916031,940.5,239,987,646.551526717557,690,112
1,29,2.361775,3.44308657865101,1.07060404539402,1.0090713552569,1987,1358.3595706619,1433,483,1282,838.618962432916,875,173
1,30,2.4843,3.41154328932551,1.04636260744217,1.0090713552569,823,535.84693877551,554.5,136,1263,834.831632653061,872.5,175
1,31,2.429375,3.42731493398826,1.05837547601535,1.0090713552569,916,622.930434782609,656,216,919,600.87652173913,633,113
1,32,3.527875,5.15766981273101,1.11449733280854,1.0090713552569,864,564.098203592814,579,157,1110,723.77245508982,749,131
1,33,2.598375,3.6757354709715,1.0519182049359,1.0090713552569,889,577.855284552846,606,160,993,657.684552845528,684,121
