Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,2,2.6026,4.12462986797652,1.07878171402305,0.930658369112963,255,136.654220779221,138.5,36,913,578.767857142857,607.5,204
1,4,2.1801,3.09763363903975,1.03089500226927,1.02774023955472,374,204.575581395349,208.5,54,788,475.910852713178,489,160
1,5,2.387125,3.46539105243401,1.05288244020121,0.946414285606467,283,164.962831858407,166,36,938,639.693805309735,654,193
1,8,4.068675,5.8880142312685,1.07225392830776,1.0090713552569,566,364.088265835929,370,131,868,546.43717549325,560,162
1,9,2.9575,4.27310749906154,1.04679588990053,1.02774023955472,434,258.295714285714,272.5,49,1098,627.745714285714,698.5,73
1,10,2.64485,3.617695526217,1.02997629726505,1.0090713552569,595,383.931309904153,402,97,1322,826.953674121406,903,155
1,11,2.091375,3.12461940777126,1.03890404128266,0.946414285606467,419,252.341414141414,258,68,1101,769.024242424242,787,370
1,12,3.468725,4.9334052837025,1.07411963337861,1.0090713552569,736,442.88915956151,464,95,1315,764.790499390987,840,105
1,14,2.184325,3.14039105243401,1.05706368889328,1.0090713552569,502,316.549323017408,318,122,927,610.061895551257,629,234
1,15,2.7885,4.14921310205652,1.07212213912001,1.0090713552569,403,230.668181818182,238,55,1080,658.639393939394,697,51
1,16,1.96885,3.23040151263927,1.0788733328908,0.930658369112963,762,457.251072961373,466.5,188,1217,830.480686695279,850,302
1,17,1.8759,3.07809703885628,1.07514758934682,0.937443331620637,761,503.704954954955,520,169,1304,861.407657657658,911,193
1,18,4.11515,5.90883250982777,1.07998667171912,1.0090713552569,592,369.703285420945,386.5,80,1359,817.774127310062,887,109
1,19,3.20255,4.37539105243401,1.04365474598586,1.0090713552569,702,438.203166226913,457,114,1625,969.945910290238,1087,134
1,20,3.27015,4.86655374953077,1.0750713750238,0.975,682,423,423.5,148,1315,857.306201550388,865,276
1,21,4.03065,5.86003138061579,1.07778130984339,1.0090713552569,773,474.82285115304,489,124,1345,859.320754716981,910,177
1,22,2.716675,3.98994857302801,1.02879523102464,0.990050503762308,304,174.404354587869,173,50,994,594.654743390358,598,221
1,23,2.1125,2.83769552621701,1.03476668459675,1.0090713552569,294,148.38,150.5,48,882,565.898,579.5,215
1,24,2.032225,3.14771644662753,1.03765577839755,0.990050503762308,289,167.773388773389,174,41,978,609.438669438669,646,107
1,25,2.40825,3.31961940777126,1.04204970935704,1.0090713552569,1009,638.568421052632,664.5,155,1399,859.708771929825,918.5,192
1,27,2.066025,3.16731493398826,1.08044438680037,0.946414285606467,537,325.922290388548,330,81,1442,899.509202453988,918,263
1,28,1.52945,2.32693434175952,1.08134803506587,1.0090713552569,346,200.093922651934,200,17,1230,778.273480662983,794,201
1,29,2.378675,3.74997428651401,1.07858904328055,1.0090713552569,306,164.095914742451,166,44,1014,667.232682060391,675,299
1,30,3.03355,4.44224258660574,1.07508917599303,1.0090713552569,1200,749.683844011142,772,152,1452,899.715877437326,973,83
1,31,2.6026,3.76340528370251,1.0590212537324,1.02774023955472,469,278.590909090909,288,63,1296,846.896103896104,879.5,212
1,32,2.39135,3.42269552621701,1.03169433708053,0.946414285606467,507,300.446996466431,309,77,1183,746.689045936396,763.5,228
1,33,3.105375,4.03881158941724,1.04774127509764,1.07200746266059,678,413.702040816327,441,101,1306,733.232653061224,805,119
