Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,2.344875,3.41424927574778,1.07714940074813,0.990050503762308,2085,1387.52972972973,1458,308,1077,637.67027027027,699,81
1,2,4.017975,5.762695526217,1.01796893478986,0.975,2000,1339.72975814932,1380,262,1272,833.031545741325,860,110
1,3,2.8899,4.15340528370251,1.06129703019118,1.02774023955472,1436,914.081871345029,960.5,214,1262,767.065789473684,829,94
1,5,2.657525,3.89425973595304,1.04594402299714,0.990050503762308,1470,940.68839427663,977,167,1072,609.974562798092,648,52
1,6,2.133625,2.92493811282275,1.04620661257676,1.05812333874648,953,597.471287128713,626,111,1151,652.118811881188,687,75
1,7,2.978625,4.229557520594,1.06844743866937,1.07594144822105,952,622.744680851064,646,125,1047,642.873758865248,701,55
1,8,3.595475,5.56386868351903,1.08187316382261,0.975,824,511.745005875441,521,173,894,564.867215041128,575,186
1,9,2.082925,2.7838477631085,1.0197244553511,1.0090713552569,290,150.354969574037,152,34,949,473.432048681542,456,94
1,10,2.88145,4.14502092041053,1.08021941572248,1.0174109297624,1775,1155.03372434018,1224.5,315,1151,707.475073313783,767,101
1,11,2.7378,3.96493811282275,1.11072715020389,1.07200746266059,353,209.145061728395,216.5,26,1219,696.086419753086,774,86
1,12,3.0758,4.19695526217004,1.03738789255899,1.06607926534569,1139,755.565934065934,802,149,1265,736.384615384615,825,87
1,14,2.78005,4.28383250982777,1.06548328954528,0.975,1715,1120.12765957447,1147.5,397,869,561.082066869301,577,175
1,16,2.598375,3.56846717087976,1.04632172643537,1.0090713552569,567,353.806504065041,373,88,1177,686.788617886179,761,102
1,19,2.7716,4.11113698361077,1.08073272734475,1.0174109297624,1369,880.585365853659,908.5,197,1187,698.4375,759,86
1,20,2.370225,3.2880142312685,1.06476692570482,1.07594144822105,1178,755.212121212121,783,135,1338,772.540106951872,839,130
1,21,2.640625,4.04656420973604,1.08028573565516,1.07200746266059,334,189.0928,190,55,1037,670.3152,684,167
1,22,2.45895,3.34192388155425,1.00792809537235,1.0090713552569,371,222.719931271478,226,36,1047,660.219931271478,681,177
1,23,2.725125,3.80154328932551,1.04172594140683,1.0090713552569,1284,843.288372093023,882,229,999,585.279069767442,635,104
1,24,3.38,4.75885822331377,1.06633734857385,1.0090713552569,758,474.39625,482,125,1319,840.09625,880.5,94
1,26,2.885675,4.20731493398826,1.04974933687708,1.0090713552569,995,631.657393850659,649,120,1156,730.221083455344,777,65
1,27,2.040675,3.08377541572599,1.0716213303436,1.0090713552569,726,458.739130434783,473,126,1054,675.387163561077,718,112
1,28,3.080025,4.70962986797652,1.07427495756156,0.946414285606467,680,435.130315500686,439,133,1115,726.691358024691,756,198
1,29,2.2815,3.357695526217,1.03313708498985,0.946414285606467,2057,1376.13333333333,1438,248,844,547.064814814815,568.5,70
1,30,2.52655,3.74386868351903,1.06956763273314,1.02774023955472,809,501.908026755853,518,149,1166,725.673913043478,750.5,158
1,32,2.2139,2.79961940777126,1.04278824158896,1.07200746266059,707,411.05534351145,425.5,129,1124,577.032442748092,554,111
1,33,3.94615,5.52196572237531,1.03570806572182,1.02774023955472,1569,1014.24411134904,1043.5,249,1192,687.079229122056,738.5,82
1,34,2.082925,2.95839482349724,1.10877346687167,1.0174109297624,349,217.748478701826,223,49,1091,709.713995943205,745,160
1,36,3.071575,4.27693434175952,1.0679627982988,1.04,2237,1466.78266850069,1544,358,1095,607.389270976616,649,84
1,37,2.3998,3.42731493398826,1.05837547601535,1.07594144822105,2420,1541.61443661972,1625.5,526,915,452.970070422535,439.5,64
1,38,1.373125,2.25731493398826,1.07583319079416,0.946414285606467,649,353.750769230769,368,85,1775,1099.95384615385,1176,123
1,40,3.4645,4.90037579915328,1.0576486814488,1.05812333874648,1039,585.329268292683,604.5,123,1189,697.623170731707,755.5,80
1,41,2.936375,4.359557520594,1.070555593621,1.07200746266059,1401,843.306474820144,889,237,936,479.789928057554,465,95
1,42,3.33775,4.71616269709676,1.057780626007,0.975,1835,1180.11265822785,1216,397,916,495.656962025316,504,92
1,43,2.725125,3.89808657865101,1.07278603963609,1.07200746266059,1513,931.345736434109,978,311,906,476.454263565891,473,82
1,44,2.20545,3.37155374953077,1.0822715281007,0.946414285606467,1406,924.674329501916,949.5,214,1059,662.208812260536,708,87
1,45,3.10115,4.69385822331377,1.0669313226061,0.946414285606467,1161,766.156675749319,785,234,1245,812.110354223433,828.5,192
1,46,2.2984,3.449557520594,1.04461445749436,0.990050503762308,845,562.926470588235,585,138,1074,703.667279411765,735,121
1,47,3.11805,4.65195526217004,1.06392957383837,0.990050503762308,2087,1423.12737127371,1477.5,316,1132,685.375338753387,723.5,89
1,48,2.1632,2.90269552621701,1.03406707159539,1.0090713552569,1534,953.99609375,985.5,239,1073,575.751953125,595,77
1,49,2.76315,4.09308657865101,1.06318240851159,0.946414285606467,1510,1019.33944954128,1064.5,246,1088,687.021406727829,729,154
1,50,2.704,4.33454706038874,1.06932912135174,0.946414285606467,1245,804.99375,813,280,1204,763.8015625,772,227
1,51,2.530775,3.48954706038874,1.07413652838859,1.07200746266059,1187,758.911519198664,797,169,1244,671.285475792988,728,69
1,52,2.32375,2.98346717087976,1.05356128345522,1.04,629,375.196363636364,400,71,1043,590.203636363636,657,62
1,55,2.83075,4.22998474671927,1.06582890209374,1.02774023955472,823,535.940298507463,549.5,130,1017,634.523880597015,686.5,92
1,56,2.260375,3.162695526217,1.03152324704481,0.946414285606467,1415,892.456074766355,945,233,1164,619.358878504673,647,91
1,57,2.50965,3.8484309971885,1.06596455311605,0.946414285606467,1460,968.393939393939,1014.5,214,1180,722.232323232323,754.5,105
1,59,2.420925,3.94497428651401,1.07795638440592,0.946414285606467,2149,1520.48691099476,1603,636,1384,974.118673647469,1000,387
1,61,2.8561,4.17385822331377,1.10695967911756,1.0090713552569,416,216.097633136095,224,44,1353,760.739644970414,818,117
1,63,2.9575,4.4602929915655,1.05258109677909,0.990050503762308,1497,945.355714285714,952,326,1021,664.788571428571,674,221
1,64,2.505425,3.4988477631085,1.01490834568102,0.975,1285,849.467116357504,899,230,1398,877.370994940978,968,138
1,65,2.08715,2.9138477631085,1.01777700919844,0.946414285606467,995,649.19028340081,668,220,1242,821.823886639676,858,190
1,66,2.843425,3.98077164466275,1.0194371770886,0.975,2469,1608.43833580981,1654,309,1204,769.922734026746,810,102
1,67,2.725125,3.81916646815999,1.10371084271496,1.02774023955472,60,20.9891472868217,21,0,42,15.1937984496124,15,0
1,69,2.2477,3.0438477631085,1.01704844576215,0.975,1217,806.524436090226,832.5,172,1387,888.486842105263,949,113
1,71,4.1067,5.68733585439879,1.09218362871228,1.07200746266059,3310,2202.01646090535,2342,473,1591,906.385802469136,1012.5,95
1,72,2.463175,3.59539105243401,1.05671408267428,0.946414285606467,874,580.818181818182,603,139,1211,738.145797598628,766,93
1,73,3.308175,4.70956798079927,1.04362432793888,1.02774023955472,2060,1364.05874840358,1413,299,1423,869.10472541507,936,54
1,74,3.172975,4.359557520594,1.070555593621,1.0174109297624,3654,2463.74034620506,2572,640,1351,772.572569906791,853,99
1,75,2.142075,3.15148140214826,1.02327701547843,1.02774023955472,2496,1711.96646942801,1800,496,1094,588.832347140039,599,84
1,77,2.758925,4.12733585439879,1.06153980926978,0.990050503762308,2218,1468.39509954058,1544,335,1326,757.450229709035,847,92
1,78,3.139175,4.62041197284454,1.10462464562216,1.07594144822105,1082,717.668909825034,729,269,1219,774.983849259758,824,172
1,79,3.384225,4.88183628089101,1.03813299599208,1.02774023955472,643,408.704119850187,421,145,1134,661.951310861423,678,161
1,80,2.6026,4.17847763108502,1.08105700875117,1.0090713552569,1290,842.176948051948,882.5,201,1114,716.657467532468,789.5,84
1,81,2.302625,3.33077164466275,1.02464790465032,0.946414285606467,2393,1670.87339449541,1705,528,1217,790.785321100917,832,154
1,82,2.88145,4.37347763108502,1.08004470372591,0.946414285606467,1381,903.763929618768,930,261,1396,935.947214076246,963.5,205
1,84,2.50965,3.86462986797652,1.08047970539618,0.946414285606467,1712,1126.25589225589,1167.5,306,1197,732.424242424242,777,156
1,85,3.11805,4.58695526217004,1.06169138163003,0.975,1950,1274.45528455285,1323,310,1501,916.30487804878,987,135
1,86,1.81675,2.73461940777126,1.05144816906801,1.0090713552569,2022,1347.8,1387,355,1151,715.260465116279,761,109
1,88,1.871675,2.60881158941724,1.08474494362463,1.04,1468,906.180586907449,953,294,1157,569.176072234763,554,121
1,89,2.99975,4.32695526217004,1.04602372915257,1.02774023955472,1509,980.92676056338,1022,226,1227,758.264788732394,828,89
1,90,2.522325,3.62459369428526,1.07475245580608,1.0090713552569,1145,718.941373534338,744,224,991,541.536013400335,535,107
1,91,3.806725,5.00961940777125,1.02679313129771,1.04,411,232.771365149834,239,43,1282,747.758046614872,827,94
1,92,3.042,4.684557520594,1.07435785236472,1.0090713552569,1608,1062.28055555556,1103,197,1303,755.466666666667,808.5,92
1,93,1.854775,2.87385822331377,1.08224057966853,0.946414285606467,956,617.312072892939,648,162,1322,755.53986332574,800,136
1,94,2.83075,4.11077164466275,1.01990993777155,0.975,842,566.023880597015,573,221,1224,815.882089552239,843.5,193
1,95,3.18565,4.69003138061579,1.07263780643915,1.0174109297624,1446,934.23474801061,964.5,256,1578,968.168435013263,1058.5,148
1,96,2.843425,4.30194480196478,1.08020042269884,0.990050503762308,2084,1351.77563150074,1384,317,1242,776.04309063893,803,143
1,97,2.6533,3.84417692836526,1.04417389511537,1.0174109297624,2010,1263.89808917197,1300,363,1165,662.257961783439,670.5,134
1,98,2.708225,4.14650711563425,1.08060672786566,0.946414285606467,1735,1158.63494539782,1181,297,1175,778.511700468019,814,70
