Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,2,2.547675,3.97041197284454,1.066397455078,0.946414285606467,4184,3017.44941956882,3080,923,1101,663.998341625207,705,98
1,3,2.84765,4.14231493398826,1.05038098032057,0.946414285606467,2039,1401.36795252226,1466,323,1156,745.056379821958,787,81
1,4,3.367325,4.97652803604478,1.06988158029818,0.990050503762308,1656,1107.46047678795,1131,423,1085,711.73400250941,724,211
1,6,3.55745,5.15113698361077,1.07953232392268,1.01533245786787,2812,1926.67933491686,2004.5,673,1217,763.580760095012,837,174
1,7,2.294175,3.48677918678922,1.06000105878829,0.990050503762308,2352,1593.03314917127,1694,434,1133,648.399631675875,682,101
1,8,4.056,5.83502092041053,1.07936957715937,1.0090713552569,1724,1133.215625,1191,289,1236,743.123958333333,823,76
1,9,2.235025,3.41844145739376,1.06468191473069,0.990050503762308,2205,1473.3988657845,1524,367,1236,759.153119092628,814,141
1,10,2.539225,4.06190862827352,1.05780125928339,0.937443331620637,1878,1288.76039933444,1329,452,1004,642.336106489185,668,217
1,11,2.040675,3.032695526217,1.0327470226379,0.91,2361,1605.43685300207,1696,455,1202,800.786749482402,850,125
1,14,2.1463,3.23459369428526,1.08643472193186,0.990050503762308,2360,1545.67913385827,1622.5,414,1201,743.622047244094,802.5,77
1,15,2.792725,4.11575639138202,1.05153178492954,0.990050503762308,1695,1137.8532526475,1203,333,1089,674.199697428139,740,80
1,16,2.50965,3.89346717087976,1.04303248550369,0.91,528,331.478114478114,340.5,97,1511,990.198653198653,1027.5,139
1,17,3.87855,5.61501046020526,1.06445265566905,0.946414285606467,2956,2107.09477124183,2225.5,598,1279,844.750544662309,883.5,110
1,18,1.81675,2.82839482349724,1.06896976791977,0.946414285606467,1476,991.104651162791,1011.5,390,1287,839.637209302326,846,308
1,20,3.1096,4.60846717087976,1.04252690752926,0.946414285606467,1929,1282.95923913043,1325,314,1206,770.695652173913,804.5,97
1,21,2.5857,3.87848809129029,1.05398659825588,0.975,2225,1445.45751633987,1510.5,403,1160,689.014705882353,739.5,103
1,22,2.49275,3.80844145739376,1.07331153157434,1.0090713552569,2119,1411.56440677966,1475,410,1041,618.3,675,83
1,23,3.42225,5.08151757583951,1.08778962535522,0.990050503762308,1812,1183.82345679012,1243.5,278,1128,669.345679012346,736,111
1,24,2.404025,3.56150711563425,1.06558901389415,0.946414285606467,3842,2657.49912126538,2723,708,1072,707.268892794376,758,135
1,25,1.981525,3.24574593117676,1.07317911999323,0.930658369112963,1751,1186.69936034115,1206,441,1097,719.588486140725,746,241
1,26,3.7518,5.60385822331377,1.05920699754198,0.946414285606467,3975,2729.17905405405,2841,600,1190,702.801801801802,783,55
1,27,2.108275,3.08420264185125,1.07811412949543,1.0090713552569,1020,688.911823647295,718,158,1119,700.5250501002,759,76
1,29,2.98285,4.47569929728024,1.06324495517879,0.946414285606467,1847,1234.00283286119,1268.5,224,1141,725.584985835694,761.5,68
1,30,3.2955,4.93149186235352,1.04214231280192,0.990050503762308,2946,2018.73333333333,2107.5,669,1093,643.997435897436,694.5,106
1,32,2.6533,4.05309703885628,1.08072885594825,0.946414285606467,3092,2127.37420382166,2226,732,1134,743.578025477707,761.5,189
1,33,3.080025,4.66650711563425,1.05474487942436,0.946414285606467,3343,2243.83950617284,2353,558,1226,763.058984910837,833,112
1,34,2.995525,4.70032916525676,1.06968724201781,0.990050503762308,4093,2703.57404795487,2816,678,1207,704.255289139633,791,84
1,35,2.8561,4.18075639138202,1.05384895007205,0.990050503762308,2759,1963.85650887574,2057.5,461,915,557.260355029586,605,65
1,37,2.454725,3.59077164466275,1.02283649612302,0.91,3073,2206.18760757315,2362,651,1206,827.110154905336,873,128
1,38,3.696875,5.65074593117676,1.0726940020794,0.946414285606467,2559,1724.62171428571,1823,386,1289,732.891428571429,815,124
1,39,2.987075,4.50305040495975,1.10312568943375,0.946414285606467,2887,2042.42715700141,2131,718,1174,805.953323903819,836,304
1,40,2.784275,4.30656420973603,1.07015863606634,0.946414285606467,2342,1669.65553869499,1724,523,861,555.993930197269,590,99
1,41,3.054675,4.58695526217004,1.05314453201522,1.01533245786787,3393,2317.47994467497,2410,921,960,543.125864453665,548,119
1,42,3.249025,4.80808657865101,1.05618359319458,0.946414285606467,2134,1374.22756827048,1404,367,1418,850.362808842653,900,175
1,44,3.57435,5.1115746699413,1.04852813742386,1.02774023955472,1946,1293.78368794326,1314.5,305,1095,635,654.5,82
1,45,2.370225,3.39577164466275,1.0241686428036,0.946414285606467,2421,1611.83778966132,1673,543,1215,756.283422459893,797,187
1,46,3.08425,4.19154328932551,1.03792732805331,1.0090713552569,1961,1254.31643835616,1276.5,367,1097,563.804109589041,573,112
1,47,3.1434,4.58844145739376,1.07952571041972,1.07200746266059,889,547.344086021505,560.5,171,867,470.346774193548,481,82
1,48,1.183,2.0934309971885,1.07474918746,0.884095583067804,718,437.435714285714,446,120,3034,1829.21428571429,1912,301
1,50,2.3491,3.43002092041053,1.08994506309689,0.990050503762308,1918,1318.10071942446,1369.5,354,1085,668.987410071942,746,81
1,52,2.1801,3.08654328932551,1.04597190599802,0.946414285606467,1946,1296.45542635659,1375.5,346,1178,702.389534883721,794,110
1,53,3.7349,5.41718069942849,1.04660086474483,0.990050503762308,1321,881.316742081448,905,241,1318,792.529411764706,873,107
1,54,2.936375,4.17577164466275,1.01857026770862,0.946414285606467,2600,1775.20143884892,1896,414,1129,640.110791366906,674,72
1,55,3.33775,4.68461940777126,1.0269701942148,0.946414285606467,2605,1753.8,1824,443,1194,663.141772151899,732.5,109
1,56,2.3153,3.43193434175952,1.07663395749603,0.946414285606467,2092,1400.72810218978,1473.5,352,1304,757.111313868613,853,94
1,57,2.028,3.14962986797652,1.11606756344662,0.946414285606467,2695,1847.55208333333,1921,677,1105,729.28125,768.5,140
1,58,2.556125,3.87997428651401,1.0782022936487,0.946414285606467,3052,2095.6,2213,590,1278,805.55041322314,887,97
1,59,4.474275,6.18885822331377,1.05857812771107,1.0090713552569,3190,2153.46081208687,2269,614,1188,649.245514636449,701,97
1,60,2.2477,3.22848809129029,1.01790239087125,1.02774023955472,4369,2998.77255639098,3118.5,836,1306,806.317669172932,900,87
1,61,2.76315,3.95846717087976,1.04242674840674,0.946414285606467,1324,860.937308868502,890,277,909,494.665137614679,492.5,112
1,62,3.5152,4.70039105243401,1.04105092745238,1.0090713552569,2490,1630.91346153846,1696.5,502,1264,703.402644230769,738,132
1,64,2.826525,4.63618361750729,1.08406039557575,0.937443331620637,2833,1988.55156950673,2046,783,1046,705.825112107623,713,183
1,65,3.206775,4.32111606320024,1.02081828023539,0.975,1563,1082.73781291173,1121,362,1113,628.973649538867,665,108
1,66,3.223675,4.69613698361077,1.07701348994918,1.0090713552569,1656,1023.50851900393,1066,276,1159,667.499344692005,723,104
1,67,4.056,5.76995903323327,1.0531187179149,0.990050503762308,1664,1071.86979166667,1124.5,196,1165,721.040625,791.5,78
1,69,1.8759,3.08882204962251,1.07282782938659,0.930658369112963,2788,1917.21396396396,2064,526,1325,849.304054054054,938,125
1,70,2.615275,3.92458323408,1.05796501908732,0.946414285606467,3051,2155.80936995153,2308,662,1296,821.612277867528,916,156
1,71,2.167425,3.54424927574778,1.11071434625272,0.884095583067804,3662,2613.83820662768,2666,875,841,542.512670565302,588,112
1,72,3.629275,5.60613698361077,1.08013041283817,0.946414285606467,2637,1866.22235157159,1917,517,989,654.299185098952,684,116
1,73,3.9377,5.00493811282275,1.07672548680464,1.13517619777724,3885,2727.46995708155,2850.5,790,1472,845.692060085837,893,139
1,74,2.3829,3.1738477631085,1.01725889843221,1.0090713552569,1067,687.803191489362,712.5,186,1073,639.968085106383,716.5,89
1,76,2.67865,3.89155374953077,1.08142009940254,1.0090713552569,3236,2304.93217665615,2403.5,648,1402,881.780757097792,953,85
1,77,3.722225,5.64193434175951,1.05593627985518,0.872066511224918,2378,1611.52099886493,1673,542,1255,806.657207718502,832,215
1,78,3.443375,5.18268027293628,1.0785641420214,0.975,4017,2800.1717791411,2918,809,1309,821.078527607362,889,117
1,79,1.947725,2.68539105243401,1.0638821202286,1.04,1774,1082.49240780911,1102,411,1003,516.466377440347,493,120
1,80,2.505425,3.72724258660574,1.07562841417592,0.990050503762308,2319,1566.14502529511,1638,408,1131,717.694772344013,775,66
1,81,4.465825,6.049557520594,1.07748624270917,1.02774023955472,3188,2111.99337748344,2225,560,1222,692.758751182592,738,89
1,83,2.826525,4.33768027293628,1.06996452816158,0.990050503762308,2315,1584.10612855007,1638,545,1210,799.560538116592,829,163
1,84,3.316625,4.65116269709676,1.05389589281603,1.0090713552569,1897,1240.22165605096,1273,435,968,544.796178343949,544,135
1,85,4.051775,6.05041197284454,1.08229033660103,0.946414285606467,2428,1673.89155370177,1752,454,1285,796.860271115746,856,81
