Slice,Mean
1,-0.00121867
2,-0.00015816
3,-0.00062356
4,-0.00055474
5,-0.00092607
6,-0.00019506
7,-0.00141577
8,-0.00036429
9,-0.00062729
10,-0.00149098
11,-0.00143421
12,-0.00170242
13,-0.00081886
14,-0.00159522
15,-0.00189286
16,-0.00082473
17,-0.00175470
18,-0.00113595
19,-0.00104148
20,-0.00024167
21,-0.00077593
22,-0.00077917
23,0.00009237
24,-0.00097351
25,-0.00128221
26,-0.00139464
27,-0.00020589
28,-0.00080686
29,-0.00108237
30,-0.00048727
31,-0.00136790
32,-0.00127603
33,-0.00127577
34,-0.00126477
35,-0.00148722
36,-0.00083928
37,-0.00028275
38,-0.00060305
39,-0.00114829
40,-0.00071897
41,-0.00121691
42,-0.00127414
43,-0.00114297
44,-0.00062570
45,-0.00050018
46,-0.00070183
47,-0.00163936
48,-0.00000898
49,-0.00145924
50,-0.00197673
51,-0.00109143
52,-0.00106845
53,-0.00103833
54,-0.00127647
55,-0.00167327
56,-0.00081953
57,0.00002332
58,-0.00153338
59,-0.00028680
60,-0.00098006
61,-0.00127542
62,-0.00158814
63,-0.00102674
64,-0.00094608
65,-0.00074691
66,-0.00117420
67,-0.00162285
68,-0.00174886
69,-0.00096896
70,-0.00156248
71,-0.00114614
72,-0.00099051
73,-0.00178799
74,-0.00131995
75,-0.00204038
76,-0.00077099
77,-0.00118922
78,-0.00068882
79,-0.00104070
80,-0.00128199
81,-0.00072859
82,-0.00110227
83,-0.00184688
84,-0.00077129
85,-0.00105355
86,-0.00134684
87,-0.00058642
88,-0.00143596
89,-0.00202408
90,-0.00166634
91,-0.00184067
92,-0.00133458
93,-0.00189263
94,-0.00078241
95,-0.00096826
96,-0.00220895
97,-0.00180038
98,-0.00233489
99,-0.00129953
100,-0.00145115
101,-0.00088853
102,-0.00202583
103,-0.00146106
104,-0.00096540
105,-0.00196851
106,-0.00053031
107,-0.00040613
108,-0.00083276
109,-0.00093277
110,-0.00067667
111,-0.00034542
112,-0.00006228
113,-0.00067882
114,-0.00121548
115,-0.00158929
116,-0.00090560
117,-0.00192601
118,-0.00176680
119,-0.00105336
120,-0.00152881
121,-0.00181149
122,-0.00098878
123,-0.00120421
124,0.00001087
125,-0.00121633
126,-0.00061675
127,-0.00045351
128,-0.00012506
129,-0.00022951
130,-0.00114791
131,-0.00044861
132,-0.00078877
133,-0.00080789
134,-0.00080431
135,-0.00125794
136,-0.00057861
137,-0.00049540
138,-0.00134631
139,-0.00064592
140,-0.00025848
141,-0.00114801
142,-0.00038732
143,-0.00049189
144,-0.00142514
145,-0.00139246
146,0.00004751
147,0.00029909
148,-0.00138098
149,0.00105320
150,0.00036940
151,0.00068445
152,0.00068729
153,-0.00039290
154,0.00056162
155,-0.00176828
156,-0.00112849
157,0.00065720
158,-0.00162550
159,-0.00101583
160,0.00016607
161,-0.00065069
162,-0.00146053
163,-0.00066703
164,0.00011640
165,0.00025401
166,0.00019498
167,-0.00055935
168,-0.00037042
169,-0.00048451
170,-0.00067585
171,-0.00023069
172,0.00022603
173,-0.00031327
174,0.00033891
175,0.00012571
176,-0.00021983
177,-0.00040976
178,-0.00037023
179,0.00094070
180,0.00063143
181,0.00069929
182,0.00066311
183,0.00039237
184,0.00023011
185,0.00073100
186,-0.00023641
187,0.00123821
188,-0.00112908
189,0.00073416
190,0.00049477
191,0.00004028
192,-0.00031374
193,-0.00011382
194,0.00019513
195,0.00053126
196,-0.00057362
197,0.00013350
198,0.00023307
199,0.00015816
200,0.00032270
201,-0.00123638
202,0.00011024
203,0.00036384
204,-0.00066760
205,0.00095642
206,0.00022008
207,-0.00022534
208,-0.00156635
209,0.00080109
210,0.00052880
211,-0.00056491
212,-0.00001178
213,-0.00054232
214,-0.00075834
215,0.00090394
216,0.00026015
217,0.00016068
218,-0.00015533
219,0.00012048
220,0.00003504
221,-0.00069476
222,0.00102310
223,0.00098878
224,0.00017713
225,0.00027671
226,0.00121527
227,-0.00115558
228,0.00118018
229,0.00155935
230,0.00128390
231,0.00026642
232,0.00076903
233,0.00129811
234,0.00048145
235,0.00004901
236,0.00010225
237,-0.00007658
238,0.00046895
239,-0.00087497
240,0.00033119
241,0.00093977
242,0.00100131
243,0.00126953
244,0.00031612
245,-0.00097997
246,0.00106485
247,0.00059882
248,-0.00031346
249,0.00047118
250,-0.00032921
251,0.00065332
252,-0.00026367
253,0.00088336
254,0.00052464
255,-0.00028087
256,0.00068867
257,0.00158930
258,0.00169709
259,0.00093091
260,-0.00067707
261,-0.00056931
262,0.00009460
263,0.00011505
264,-0.00067747
265,0.00058123
266,0.00056922
267,0.00119260
268,0.00031317
269,0.00044274
270,-0.00042362
271,0.00098289
272,0.00042521
273,0.00078213
274,0.00005560
275,0.00062820
276,0.00013229
277,-0.00047078
278,0.00102725
279,0.00050464
280,0.00046439
281,0.00008114
282,0.00120382
283,0.00030372
284,-0.00028646
285,0.00027614
286,-0.00066115
287,-0.00007300
288,-0.00060391
