Slice,Mean
1,0.00100361
2,-0.00026491
3,0.00104285
4,-0.00219989
5,-0.00141286
6,0.00102455
7,-0.00206251
8,-0.00122377
9,0.00019236
10,-0.00106623
11,-0.00192732
12,-0.00078952
13,0.00025041
14,0.00044356
15,0.00023475
16,-0.00029909
17,-0.00062890
18,-0.00030788
19,-0.00101416
20,-0.00006107
21,0.00052828
22,-0.00038652
23,0.00038921
24,0.00026836
25,-0.00055244
26,-0.00067274
27,-0.00071718
28,0.00121182
29,0.00069546
30,0.00080627
31,0.00096221
32,0.00047832
33,0.00009242
34,0.00075503
35,-0.00038311
36,0.00146887
37,-0.00190747
38,0.00087704
39,0.00065591
40,-0.00009706
41,-0.00042702
42,-0.00040183
43,0.00011671
44,0.00075470
45,-0.00057139
46,0.00009677
47,0.00032109
48,0.00024223
49,0.00042503
50,-0.00168272
51,0.00037686
52,0.00054566
53,-0.00111793
54,0.00140877
55,0.00027816
56,-0.00016069
57,-0.00211349
58,0.00123550
59,0.00073570
60,-0.00090895
61,-0.00007191
62,-0.00067394
63,-0.00110712
64,0.00112815
65,0.00030743
66,0.00028241
67,-0.00023755
68,0.00028475
69,0.00010367
70,-0.00109676
71,0.00132548
72,0.00112411
73,0.00060303
74,0.00029115
75,0.00150713
76,-0.00163688
77,0.00137295
78,0.00196294
79,0.00157041
80,0.00035812
81,0.00088557
82,0.00151088
83,0.00051800
84,-0.00011063
85,-0.00001670
86,-0.00035227
87,0.00064202
88,-0.00137427
89,0.00022743
90,0.00113654
91,0.00120129
92,0.00152888
93,0.00028553
94,-0.00135048
95,0.00138296
96,0.00071103
97,-0.00063320
98,0.00059400
99,-0.00032013
100,0.00079908
101,-0.00053882
102,0.00100510
103,0.00076108
104,-0.00043429
105,0.00073231
106,0.00204795
107,0.00210667
108,0.00131423
109,-0.00100608
110,-0.00093557
111,0.00028095
112,-0.00001251
113,-0.00100696
114,0.00084087
115,0.00078712
116,0.00157623
117,0.00044038
118,0.00053952
119,-0.00058781
120,0.00144034
121,0.00064943
122,0.00103498
123,0.00019284
124,0.00086901
125,0.00024516
126,-0.00060046
127,0.00122470
128,0.00062456
129,0.00066438
130,0.00036297
131,0.00157529
132,0.00044869
133,-0.00043386
134,0.00054113
135,-0.00109371
136,0.00014936
137,-0.00083400
138,0.00169077
139,0.00176198
140,0.00160339
141,0.00120222
142,-0.00011491
143,0.00028485
144,-0.00036720
145,0.00160385
146,0.00094573
147,0.00061040
148,0.00203914
149,-0.00028284
150,0.00083170
151,0.00091560
152,0.00132400
153,0.00080413
154,-0.00002084
155,0.00141048
156,0.00054230
157,0.00102244
158,0.00000979
159,0.00159384
160,0.00062150
161,0.00074804
162,0.00134617
163,-0.00082632
164,0.00072186
165,-0.00065865
166,0.00126503
167,0.00046734
168,-0.00012928
169,0.00142090
170,0.00147600
171,0.00040584
172,0.00154115
173,0.00102649
174,-0.00009136
175,0.00061745
176,0.00088691
177,-0.00143969
178,0.00139133
179,0.00066431
180,0.00072315
181,0.00072315
182,-0.00014361
183,0.00120593
184,-0.00039529
185,-0.00049687
186,0.00202280
187,0.00123140
188,-0.00050433
189,0.00053579
190,0.00053579
191,0.00171024
192,0.00166268
193,0.00167923
194,0.00040349
195,0.00040788
196,0.00117822
197,0.00170594
198,0.00185869
199,-0.00037158
200,0.00042137
201,-0.00058549
202,0.00120315
203,0.00074182
204,0.00134538
205,0.00097557
206,-0.00004878
207,0.00067987
208,0.00148503
209,0.00121776
210,0.00038475
211,-0.00077016
212,0.00062740
213,0.00174665
214,0.00101590
215,0.00069944
216,0.00006898
217,0.00072317
218,-0.00035992
219,0.00076024
220,0.00053630
221,-0.00054475
222,0.00056029
223,-0.00096943
224,0.00050406
225,0.00155160
226,0.00071838
227,0.00087753
228,0.00044079
229,-0.00069017
230,-0.00112489
231,0.00005198
232,-0.00071938
233,0.00116987
234,0.00114069
235,0.00091642
236,0.00021757
237,0.00065739
238,-0.00160202
239,-0.00031847
240,-0.00068617
241,0.00149102
242,0.00076629
243,0.00117904
244,0.00034668
245,-0.00045346
246,0.00023523
247,0.00150297
248,0.00203745
249,0.00072492
250,0.00212664
251,0.00121512
252,0.00079594
253,0.00044415
254,0.00235053
255,0.00147709
256,0.00084624
257,0.00120855
258,0.00142946
259,0.00009965
260,0.00084801
