		L v S log2 FC				
PA1673	726.7724038	-1.752177919	0.658055458	-2.662659957	0.007752571	0.994061663
EBG00001435431	336.3928165	-1.636297989	0.62974644	-2.598344166	0.009367455	0.994061663
PA4153	295.1900417	-1.621426856	0.62593974	-2.590388103	0.009586778	0.994061663
PA3819	423.0300024	-1.613150306	0.633599282	-2.546010313	0.010896197	0.994061663
PA0984	27.12701605	-1.606822867	0.656994397	-2.445717764	0.014456412	0.994061663
PA0912	512.8743232	-1.60651467	0.63987177	-2.510682211	0.012049812	0.994061663
PA4674	1058.75541	-1.604934417	0.659111583	-2.434996527	0.014891933	0.994061663
PA3032	815.5476797	-1.562543188	0.654152403	-2.388653135	0.016910259	0.994061663
PA2560	193.3635085	-1.559340588	0.614805681	-2.53631454	0.011202606	0.994061663
PA0913	263.2077797	-1.556332105	0.618240215	-2.517358248	0.011823854	0.994061663
PA1592	243.5640785	-1.551350042	0.61662549	-2.515870762	0.011873871	0.994061663
PA4332	731.8503674	-1.546233617	0.650187241	-2.378135896	0.017400412	0.994061663
PA2839	422.584567	-1.542919893	0.627994178	-2.456901587	0.014014107	0.994061663
PA2353	467.0390202	-1.535520419	0.630915336	-2.433797899	0.014941335	0.994061663
PA5191	370.0231894	-1.532353936	0.623312789	-2.458402848	0.013955653	0.994061663
PA2549	144.3656142	-1.531933908	0.61018042	-2.510624494	0.012051782	0.994061663
PA1197	613.4090937	-1.530668808	0.642346863	-2.382931864	0.017175373	0.994061663
PA1765	402.6736045	-1.525991415	0.62511868	-2.441122724	0.014641678	0.994061663
PA0652	283.1632858	-1.51413746	0.615612081	-2.459564238	0.01391058	0.994061663
PA3820	79.28750177	-1.48468	0.609952949	-2.434089387	0.014929308	0.994061663
PA0655	195.7243162	-1.481377508	0.607424815	-2.438783319	0.014736802	0.994061663
PA4032	404.9898686	-1.475458385	0.620974292	-2.37603779	0.01749967	0.994061663
PA0906	955.6816575	-1.458655194	0.653787164	-2.231085702	0.025675453	0.994061663
PA3524	231.403692	-1.455045071	0.606746636	-2.398109828	0.016479923	0.994061663
PA0661	72.87323196	-1.453981284	0.609475	-2.385629081	0.017049938	0.994061663
EBG00001435523	2153.591087	-1.447680276	0.657080962	-2.20319924	0.027580709	0.994061663
PA2289	118.2630995	-1.446353123	0.601273833	-2.40548157	0.016151167	0.994061663
PA0509	154.165193	-1.435819486	0.601081525	-2.388726698	0.016906874	0.994061663
PA2842	100.7129447	-1.435395467	0.6009981	-2.388352753	0.016924089	0.994061663
PA3902	317.4618119	-1.430244045	0.610129534	-2.344164584	0.019069754	0.994061663
EBG00001435476	688.4204156	-1.427232346	0.640989828	-2.226606855	0.02597356	0.994061663
PA0834	804.5454252	-1.420122601	0.647070494	-2.194695345	0.028185459	0.994061663
PA1413	30.3786945	-1.41883042	0.645788022	-2.197052859	0.028016671	0.994061663
PA0277	177.4614646	-1.415654005	0.600054987	-2.359207132	0.01831403	0.994061663
PA5408	333.3193122	-1.413160827	0.609744318	-2.317628531	0.020469518	0.994061663
EBG00001435451	539.734078	-1.406873865	0.62731839	-2.242679136	0.024917513	0.994061663
PA1547	101.5147284	-1.405760774	0.5979166	-2.351098421	0.018718082	0.994061663
PA0015	36.97113846	-1.403970885	0.635876411	-2.207930442	0.027249122	0.994061663
PA0916	195.1897937	-1.402115226	0.599470552	-2.338922606	0.019339439	0.994061663
EBG00001435484	700.8926069	-1.40188211	0.640201971	-2.189749757	0.02854239	0.994061663
PA3140	866.104598	-1.399856608	0.648562248	-2.158399771	0.030896764	0.994061663
PA2620	416.9275374	-1.399640895	0.615174342	-2.275193875	0.022894302	0.994061663
PA4565	168.1518647	-1.398685164	0.597884921	-2.33938859	0.019315331	0.994061663
PA0673	33.05130692	-1.393091883	0.640593024	-2.174690997	0.02965328	0.994061663
PA2805	33.05130692	-1.393091883	0.640593024	-2.174690997	0.02965328	0.994061663
PA2668	356.5710403	-1.383692429	0.608741313	-2.27303848	0.023023861	0.994061663
PA0773	229.6219503	-1.383615698	0.599466271	-2.308079313	0.020994726	0.994061663
PA3613	431.5378186	-1.383466578	0.614943828	-2.249744634	0.02446516	0.994061663
PA3010	129.7553329	-1.381651693	0.594659548	-2.323433126	0.020155896	0.994061663
PA1561	1918.445738	-1.379064738	0.659409776	-2.091362287	0.0364956	0.994061663
PA1414	30.77958636	-1.377218229	0.642997894	-2.141870514	0.032203903	0.994061663
PA4765	610.7364813	-1.376993093	0.631510331	-2.180475956	0.029222199	0.994061663
PA0457.1	238.8870067	-1.372302654	0.598879625	-2.291449896	0.021937407	0.994061663
PA2949	797.7748071	-1.372035512	0.644064967	-2.130275021	0.033148915	0.994061663
PA4603	137.9958879	-1.371120608	0.593757279	-2.309227452	0.020930963	0.994061663
PA2024	366.2369885	-1.370644952	0.608271698	-2.253343296	0.024237512	0.994061663
PA4046	35.72391934	-1.370605871	0.635385225	-2.157125816	0.030995863	0.994061663
PA1795	346.4151131	-1.369967255	0.606589127	-2.258476443	0.023915972	0.994061663
PA2564	160.8912676	-1.368454627	0.594398295	-2.302251936	0.021320969	0.994061663
PA4274	18.61919985	-1.366125536	0.658936457	-2.073228034	0.038151063	0.994061663
PA0293	414.7449039	-1.365358465	0.611821836	-2.231627549	0.025639589	0.994061663
PA0315	294.7891498	-1.361330471	0.601679929	-2.262549249	0.02366349	0.994061663
PA5332	1048.154047	-1.360205413	0.651817501	-2.086788729	0.036907236	0.994061663
