,Locus tag,Mean count,L v S log2 FC,Locus,Protein name
0,,,L v S log2 FC,NaN,NaN
1,PA1673,726.7724038,-1.752177919,-,bacteriohemerythrin
2,EBG00001435431,336.3928165,-1.636297989,NaN,NaN
3,PA4153,295.1900417,-1.621426856,-,"2,3-butanediol dehydrogenase"
4,PA3819,423.0300024,-1.613150306,-,hypothetical protein PA3819
5,PA0984,27.12701605,-1.606822867,-,colicin immunity protein
6,PA0912,512.8743231999999,-1.60651467,-,hypothetical protein PA0912
7,PA4674,1058.75541,-1.604934417,-,hypothetical protein PA4674
8,PA3032,815.5476797,-1.562543188,snr1,cytochrome C Snr1
9,PA2560,193.3635085,-1.559340588,-,hypothetical protein PA2560
10,PA0913,263.2077797,-1.556332105,mgtE,Mg transporter MgtE
11,PA1592,243.56407850000002,-1.551350042,-,hypothetical protein PA1592
12,PA4332,731.8503674,-1.546233617,-,hypothetical protein PA4332
13,PA2839,422.584567,-1.542919893,-,hypothetical protein PA2839
14,PA2353,467.0390202,-1.535520419,-,hypothetical protein PA2353
15,PA5191,370.0231894,-1.532353936,-,hypothetical protein PA5191
16,PA2549,144.3656142,-1.531933908,-,hypothetical protein PA2549
17,PA1197,613.4090937000001,-1.530668808,-,NAD-dependent protein deacylase
18,PA1765,402.6736045,-1.525991415,-,hypothetical protein PA1765
19,PA0652,283.1632858,-1.51413746,vfr,cAMP-regulatory protein
20,PA3820,79.28750177,-1.48468,secF,preprotein translocase subunit SecF
21,PA0655,195.72431619999998,-1.481377508,-,"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"
22,PA4032,404.9898686,-1.475458385,-,two-component response regulator
23,PA0906,955.6816574999999,-1.458655194,-,transcriptional regulator
24,PA3524,231.403692,-1.455045071,gloA1,lactoylglutathione lyase
25,PA0661,72.87323196,-1.453981284,-,hypothetical protein PA0661
26,EBG00001435523,2153.5910870000002,-1.447680276,NaN,NaN
27,PA2289,118.26309950000001,-1.446353123,-,hypothetical protein PA2289
28,PA0509,154.165193,-1.435819486,nirN,cytochrome C
29,PA2842,100.71294470000001,-1.435395467,-,hypothetical protein PA2842
30,PA3902,317.4618119,-1.430244045,-,hypothetical protein PA3902
31,EBG00001435476,688.4204156000001,-1.427232346,NaN,NaN
32,PA0834,804.5454252000001,-1.420122601,-,acyltransferase
33,PA1413,30.3786945,-1.41883042,-,transcriptional regulator
